"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q9Y5X9","Low_vs_Control",0.390940972296345,8.29807601065005,4.73853877173527,2.79327226176606e-06,0.00400555242337253,4.31963821385325,TRUE
"Q6EMK4","Low_vs_Control",0.306529480534664,10.3663343732983,4.41063992510743,1.25391827418903e-05,0.00899059402593535,2.97587536630804,TRUE
"P05090","Low_vs_Control",0.324495885047277,12.5090928069042,4.26566396006255,2.36923863024118e-05,0.0113249606525528,2.40766713942072,TRUE
"P58335","Low_vs_Control",0.325900030842005,9.06891161186794,3.98218397077231,7.8041768250482e-05,0.0219634081276751,1.34770339400332,TRUE
"Q9H6X2","Low_vs_Control",0.364567462551566,8.48097339830864,3.98006511652171,7.87197183144164e-05,0.0219634081276751,1.34003715674212,TRUE
"P08195","Low_vs_Control",0.349959956723101,7.34264566609518,3.94229125887558,9.1897105136716e-05,0.0219634081276751,1.20310531886214,TRUE
"P04278","Low_vs_Control",0.398281612493626,10.6527842920064,3.85831379250255,0.000128557953632616,0.0263360150727388,0.905960924701656,TRUE
"Q9H8L6","Low_vs_Control",0.374462799030914,10.7485586581377,3.80416727942258,0.00015923621259817,0.028543091108222,0.716988102708331,TRUE
"Q96IY4","Low_vs_Control",0.283058318481842,12.6369758746046,3.76440264928577,0.000186034909753646,0.0296415622874143,0.579811269854408,TRUE
"P04180","Low_vs_Control",0.305152860987066,11.8711718459701,3.71209231876348,0.000227798701474036,0.0326663337913768,0.401427250786371,TRUE
"Q96PD5","Low_vs_Control",0.354389910509507,12.8582879207523,3.66631062869593,0.000271445410629512,0.0337858256352369,0.247242565297145,TRUE
"P15291","Low_vs_Control",0.285542255211285,8.76843422974652,3.65560753972062,0.000282726574353447,0.0337858256352369,0.211457492343692,TRUE
"Q9Y646","Low_vs_Control",0.272420519037343,8.41227064146051,3.59214789529669,0.000359317162471931,0.0396354469988268,0.00144641585651861,TRUE
"Q9NP78","Low_vs_Control",0.404787977795261,10.6115179720627,3.53275641562536,0.000450867572320058,0.0461817213362116,-0.192152936919335,TRUE
"P00966","Low_vs_Control",0.41612466606705,7.86739839602239,3.48065230495499,0.000544646498625025,0.0520682052685524,-0.35838310301806,FALSE
"Q16658","Low_vs_Control",0.485123593170182,6.41987347472856,3.45907276775343,0.000599772369629961,0.0537545986280853,-0.428286085782527,FALSE
"Q99784","Low_vs_Control",0.303083787875771,8.99926726650334,3.42353488044832,0.000667023687567965,0.0562654098807331,-0.540029843163286,FALSE
"Q76LX8","Low_vs_Control",0.322803697948558,9.86551978752602,3.36549138537959,0.000820696067724085,0.0599505411131185,-0.720649624211334,FALSE
"P00326","Low_vs_Control",0.448957630668747,9.50723702676621,3.35037573335151,0.000866747477624143,0.0599505411131185,-0.767179801358631,FALSE
"P07357","Low_vs_Control",0.306556085380358,13.2653744776644,3.34928788851228,0.000869140256446852,0.0599505411131185,-0.770545437254144,FALSE
"P02765","Low_vs_Control",0.355086596740886,17.0126491328544,3.34413206554069,0.000885104026219561,0.0599505411131185,-0.786373662387185,FALSE
"Q86UD1","Low_vs_Control",0.250515337472853,10.3448795806351,3.3285375632682,0.000935063147798873,0.0599505411131185,-0.834106556012023,FALSE
"Q9BYJ0","Low_vs_Control",0.349889407923625,10.4278262147083,3.31500062888383,0.000980542135197671,0.0599505411131185,-0.875368630026087,FALSE
"P02751","Low_vs_Control",0.309267385612429,13.8064220105094,3.30842814305416,0.00100335633662123,0.0599505411131185,-0.895344333621748,FALSE
"O75882","Low_vs_Control",0.364653504064238,8.33429264489881,3.25062114310601,0.00122676218673587,0.0703670790311694,-1.0689478670609,FALSE
"P09619","Low_vs_Control",0.327188568352497,10.0526943388665,3.21909598003578,0.00136645193740655,0.0753650799323459,-1.16308823714126,FALSE
"Q08722","Low_vs_Control",0.463102581812176,8.23883829507143,3.20941969120066,0.00143071762332388,0.0756016720443273,-1.18128702844226,FALSE
"A2CJ06","Low_vs_Control",0.311892545194908,9.49209063448589,3.19881311466402,0.00147618327562145,0.0756016720443273,-1.21132031367607,FALSE
"Q8TER0","Low_vs_Control",0.28467919168852,9.20717810656895,3.18239455467107,0.00154819121994071,0.0765553865308614,-1.27105366870961,FALSE
"Q8TB73","Low_vs_Control",0.306058690130355,8.07615447087365,3.12429871287306,0.00188318392281004,0.0856861877900461,-1.43911760983747,FALSE
"Q8IWE2","Low_vs_Control",0.352175528073697,6.35918696206355,3.11648547766324,0.00195303156932986,0.0856861877900461,-1.43454213729069,FALSE
"Q5JRA6","Low_vs_Control",0.277860902942141,11.1089883338995,3.11092818418724,0.00196767177625262,0.0856861877900461,-1.47787809795434,FALSE
"O75309","Low_vs_Control",0.357582847013584,7.29110766952984,3.11082850979522,0.00197185787801361,0.0856861877900461,-1.47331267055364,FALSE
"Q9UBE0","Low_vs_Control",0.408603909623521,9.46894582074166,3.09589739623505,0.00207325926866864,0.0874427585667892,-1.51655098195229,FALSE
