"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"O14594","High_vs_Control",-0.299550563141048,11.5722738638009,-4.64335607885777,4.35361455061074e-06,0.0062430832655758,3.93543944137584,TRUE
"P13591","High_vs_Control",-0.272219585427742,13.0734206101582,-4.39489061852564,1.34586695667049e-05,0.00828693681437971,2.91932801738185,TRUE
"O60704","High_vs_Control",-0.283742453680695,8.03422834848486,-4.29504280014052,2.09504222230195e-05,0.00828693681437971,2.52064010016225,TRUE
"Q9Y274","High_vs_Control",-0.222948847199888,9.55754211351743,-4.27151729494856,2.31155838615891e-05,0.00828693681437971,2.43395502299872,TRUE
"Q8TC71","High_vs_Control",-0.614308510263053,12.8311649015776,-4.03646080334119,6.42089827507396e-05,0.0176814466760703,1.51804487794941,TRUE
"Q92859","High_vs_Control",-0.249188956503509,10.3899493920525,-3.99538573309265,7.39809484354405e-05,0.0176814466760703,1.39422769284275,TRUE
"P16112","High_vs_Control",-0.344640525100768,10.6510882050929,-3.94039560990714,9.25389727660805e-05,0.0189572695637942,1.19492669767623,TRUE
"Q6P4E1","High_vs_Control",-0.229915029506074,11.3306596712396,-3.87267786894024,0.000121469584097252,0.0217734229494325,0.953059251821077,TRUE
"O14786","High_vs_Control",-0.218969557080085,14.1375728854174,-3.80160684314855,0.000160918332118058,0.0256396542508106,0.703456644867435,TRUE
"Q9Y240","High_vs_Control",-0.24886155630028,12.749148533936,-3.63474859230983,0.000306106383334468,0.0414122719332192,0.134601651397912,TRUE
"P00738","High_vs_Control",0.766273201305047,14.5137405000573,3.60290449975351,0.000345138219641979,0.0414122719332192,0.0287510610400119,TRUE
"P32942","High_vs_Control",-0.229916621672279,9.81024861689009,-3.60180794916789,0.000346546208646186,0.0414122719332192,0.0251555595382458,TRUE
"Q5VU65","High_vs_Control",0.695114047362363,11.1205905552696,3.53536302804352,0.000448999609582692,0.0460369403824331,-0.188332584865967,TRUE
"Q9BUN1","High_vs_Control",-0.314556705642387,11.5545038270895,-3.52977136057491,0.000453082540011587,0.0460369403824331,-0.210893464731428,TRUE
"P49641","High_vs_Control",-0.195046039443785,9.54410550985163,-3.51321953506188,0.000481557953791141,0.0460369403824331,-0.264490485028857,TRUE
"P09326","High_vs_Control",-0.291981588216821,8.28199278238026,-3.49371063489465,0.000519406430199214,0.0465518013066046,-0.325218926894586,TRUE
"P07357","High_vs_Control",0.275234983272886,13.2972350811412,3.47304876697126,0.000557778298741336,0.0470502400232398,-0.393572568339264,TRUE
"Q14697","High_vs_Control",-0.209793817537776,9.86136371014761,-3.45301751804932,0.00059986499386681,0.0477892445113892,-0.457411835186285,TRUE
"Q92696","High_vs_Control",-0.337171436086919,9.23238341247186,-3.42314377494214,0.000672515922625508,0.0507572543707884,-0.546248705611611,FALSE
"Q9BS26","High_vs_Control",-0.369175455830051,9.69343425731949,-3.39507419627175,0.000739313032361686,0.0510078796773194,-0.63870575325085,FALSE
"A0A0C4DH34","High_vs_Control",0.537362942427908,9.28850136400806,3.37913590836345,0.000786849951838472,0.0510078796773194,-0.678209049008864,FALSE
"P07333","High_vs_Control",-0.262417128065685,11.7426022954591,-3.36631173139144,0.000818547866804154,0.0510078796773194,-0.729682668947815,FALSE
"Q14515","High_vs_Control",-0.224621582103747,14.4796947191466,-3.36591811942087,0.000819691403336998,0.0510078796773194,-0.730903617963181,FALSE
"P05386","High_vs_Control",-0.319191036927247,8.54484264593767,-3.34405308620446,0.00088871848007613,0.0510078796773194,-0.789619912644951,FALSE
"Q9UKM7","High_vs_Control",-0.274681556494757,9.62294390718644,-3.34288421337473,0.000889258711250338,0.0510078796773194,-0.802115332724808,FALSE
"Q7Z6Z7","High_vs_Control",-0.325509020188565,7.22559910719059,-3.33123881830201,0.000927858598952972,0.0510735599615815,-0.835911844671714,FALSE
"P05067","High_vs_Control",-0.368207775189207,11.1518094333675,-3.32063405221874,0.000961636066222246,0.0510735599615815,-0.870460483627959,FALSE
"Q86TY3","High_vs_Control",-0.238008046117249,8.87911592402595,-3.30250088272388,0.00102462833991152,0.051528439193383,-0.925836968228992,FALSE
"Q10472","High_vs_Control",-0.172362048717673,9.00230464286026,-3.29184449890756,0.00106354723094829,0.051528439193383,-0.958246182367971,FALSE
"P31431","High_vs_Control",-0.353157603666487,9.0113402193752,-3.28792933814438,0.00107800081994525,0.051528439193383,-0.97012656712239,FALSE
"Q12797","High_vs_Control",-0.206534788401383,9.36551977780953,-3.21597585944944,0.00138143597279333,0.0615808873931379,-1.18607729737842,FALSE
"P21810","High_vs_Control",-0.212219459344389,10.8360095439395,-3.20946835509425,0.00141245677212529,0.0615808873931379,-1.20538226007947,FALSE
"Q9NS62","High_vs_Control",-0.201661720704079,9.42991048023247,-3.20620515976146,0.00142874853425859,0.0615808873931379,-1.21490759784174,FALSE
"P01709","High_vs_Control",0.569320664882573,11.8643371855961,3.20040179558518,0.00146007682801024,0.0615808873931379,-1.22494345785498,FALSE
"O94985","High_vs_Control",-0.178042920686872,11.0024076545337,-3.1727133487601,0.00160009301131173,0.0655580965206007,-1.31371451786293,FALSE
"P09603","High_vs_Control",-0.193420723653007,11.608594323106,-3.15519424825829,0.00169740020155882,0.0676131080287597,-1.36492926672967,FALSE
"P51693","High_vs_Control",-0.241595409212971,12.1039767546521,-3.13942120145683,0.0017896496749758,0.069035356295402,-1.41080677141068,FALSE
"Q8IZP7","High_vs_Control",-0.192534250512907,8.75403505671408,-3.13285642784204,0.00182938880001763,0.069035356295402,-1.42983601128826,FALSE
"P04406","High_vs_Control",-0.250847961141361,12.5489555375224,-3.1052568743186,0.00200551583628783,0.0720016130083876,-1.50941987867551,FALSE
"P63000","High_vs_Control",-0.298056399403459,9.52405087127627,-3.10583808180396,0.00200841319409728,0.0720016130083876,-1.4998994413005,FALSE
"P35625","High_vs_Control",-0.32247045540392,8.94016664402428,-3.07996452956853,0.00218383748792557,0.0746696655523481,-1.57692452019185,FALSE
"P39059","High_vs_Control",-0.262385561408129,10.3689530057002,-3.06701404248,0.00227541914458959,0.0746696655523481,-1.61857480395883,FALSE
"Q96PD5","High_vs_Control",0.237441524516816,12.8901485242291,3.06536206516148,0.00228779752853116,0.0746696655523481,-1.62326065950367,FALSE
"P21281","High_vs_Control",0.455494858164457,6.79412352731809,3.06558374904636,0.00232715891344142,0.0746696655523481,-1.58863597410853,FALSE
"P62826","High_vs_Control",-0.361761863257705,11.7536798182523,-3.05137739463627,0.00239509440704312,0.0746696655523481,-1.66283201205275,FALSE
"P07585","High_vs_Control",-0.176644022009494,12.3537084873039,-3.05135564402214,0.0023952612380809,0.0746696655523481,-1.66289243992931,FALSE
"P05160","High_vs_Control",0.380721044009874,10.936170347324,3.03002218561185,0.00256813391720254,0.0783554050482647,-1.72268137048028,FALSE
"Q9H251","High_vs_Control",-0.221863844983694,10.2062172419821,-3.01727054350103,0.00267641874791852,0.0799580100940657,-1.75860765676107,FALSE
"P12259","High_vs_Control",-0.170052652267817,18.036978549636,-3.00328003572128,0.00280033882320422,0.0819527729076499,-1.79759495650169,FALSE
"P07359","High_vs_Control",-0.191970517617257,17.2534723103829,-2.98736758540032,0.00294765612689984,0.0840811163113099,-1.84172587271644,FALSE
"Q14112","High_vs_Control",-0.27042761706738,10.4493253813049,-2.97506630451793,0.00306636521092306,0.0840811163113099,-1.8756868283652,FALSE
"O00232","High_vs_Control",-0.36299946611624,7.34937528440308,-2.97462107827147,0.00309364801704874,0.0840811163113099,-1.84911125817648,FALSE
"P05543","High_vs_Control",0.307674498006,9.64764534408052,2.96305287368435,0.00318650119104635,0.0840811163113099,-1.90872266703079,FALSE
"P11226","High_vs_Control",0.504049927002606,9.40176207274214,2.95270165224515,0.00329380094994941,0.0840811163113099,-1.93619086228891,FALSE
"O15335","High_vs_Control",-0.220971466320455,11.1964778054576,-2.94590702289176,0.0033654221613828,0.0840811163113099,-1.95564883655106,FALSE
"A0A075B6J9","High_vs_Control",0.546565369807908,9.24820948052288,2.94453161269163,0.003392298436538,0.0840811163113099,-1.93339473615096,FALSE
"P08493","High_vs_Control",-0.191338652054618,14.5406500132036,-2.94314406246305,0.00339509793633135,0.0840811163113099,-1.96318614927765,FALSE
"Q14520","High_vs_Control",-0.184926044256539,17.7970841946522,-2.94261844053282,0.00340077039473917,0.0840811163113099,-1.96461926494873,FALSE
"O75752","High_vs_Control",-0.180948028294788,9.11581501697889,-2.91803760243933,0.00367651286974918,0.0863234524140126,-2.03099037571828,FALSE
"Q5SYB0","High_vs_Control",0.338983132433414,11.1216556101054,2.91680444811544,0.00369361841228191,0.0863234524140126,-2.02845979294729,FALSE
"Q969P0","High_vs_Control",-0.221791303889497,6.53142700343676,-2.91669949980997,0.00371876077636932,0.0863234524140126,-1.9994560423378,FALSE
"P14543","High_vs_Control",-0.211176410335129,12.2145969082518,-2.91321162886336,0.00373225526476205,0.0863234524140126,-2.0444037178525,FALSE
"P58335","High_vs_Control",0.250755990404782,9.10077221534471,2.90216821374758,0.00386416655978105,0.0879557912178733,-2.07416605167014,FALSE
"Q09327","High_vs_Control",-0.246768896550272,7.52538769144078,-2.88234587933965,0.00412521579484545,0.0888067584605009,-2.1046881257099,FALSE
"Q0VD83","High_vs_Control",-0.208890408141444,10.4483006348461,-2.87178452629656,0.00424930690900651,0.0888067584605009,-2.15548734643383,FALSE
"P08238","High_vs_Control",-0.193030702395404,12.975132135491,-2.86938945596264,0.00428110376796556,0.0888067584605009,-2.16186252742644,FALSE
"O00468","High_vs_Control",-0.173666437053416,10.2121064147963,-2.86360881984862,0.00435874055631623,0.0888067584605009,-2.17722819905735,FALSE
"P98160","High_vs_Control",-0.180580521759314,12.0437862285462,-2.85638340658881,0.00445758050298321,0.0888067584605009,-2.19639214328083,FALSE
"P11049","High_vs_Control",-0.227492482040009,11.2325932902348,-2.84962698654765,0.00455252925471341,0.0888067584605009,-2.21313758274986,FALSE
"Q06481","High_vs_Control",-0.299195828370827,9.19139600839188,-2.8483091651453,0.00457078176774964,0.0888067584605009,-2.21745026327774,FALSE
"P13611","High_vs_Control",-0.171206115917649,13.0399222110457,-2.84545941727248,0.00461088667951084,0.0888067584605009,-2.22527690082834,FALSE
"Q8NFU4","High_vs_Control",-0.271683171100994,10.7888607810119,-2.84417320024216,0.00464181821512803,0.0888067584605009,-2.21592233333354,FALSE
"P02745","High_vs_Control",0.484569770981725,11.1979107760628,2.84127488257242,0.00467095662766388,0.0888067584605009,-2.23632456455443,FALSE
"Q6ZN30","High_vs_Control",-0.240650879424294,15.4546574286397,-2.84168569880055,0.00467216542343189,0.0888067584605009,-2.22815573331092,FALSE
"Q92823","High_vs_Control",-0.197569331814639,8.69957818819083,-2.84014138967293,0.00468723898046188,0.0888067584605009,-2.2392998628169,FALSE
"P17927","High_vs_Control",-0.229411326625894,7.52850280451463,-2.83940732618529,0.00470663433960814,0.0888067584605009,-2.2284218296713,FALSE
"P07942","High_vs_Control",-0.181186417097599,9.98404091937617,-2.82215088721612,0.00495411985218397,0.0919374766041344,-2.28655035537266,FALSE
"Q14956","High_vs_Control",-0.261789009732253,8.15733169878894,-2.81773431339551,0.005030034186469,0.0919374766041344,-2.28500248599335,FALSE
"P01817","High_vs_Control",0.491585767937538,8.7717380267817,2.81580109730138,0.00506489585197114,0.0919374766041344,-2.28822156698865,FALSE
"Q8IZF2","High_vs_Control",-0.191428887330481,10.5074117436934,-2.7952851426311,0.00537837190303378,0.0964073163618805,-2.35656980687558,FALSE
"Q9BXX0","High_vs_Control",-0.19379373940283,9.8821188271743,-2.78206881031939,0.00559892375610039,0.0979080822910181,-2.39077715677708,FALSE
"P13987","High_vs_Control",-0.206064566938849,10.3046369917012,-2.78013511821139,0.00563541631859495,0.0979080822910181,-2.38895520360284,FALSE
"P18827","High_vs_Control",-0.323384646121452,12.3591477511565,-2.77529962124863,0.00571581122943265,0.0979080822910181,-2.40779685620555,FALSE
"P60520","High_vs_Control",-0.258495317692744,7.09834479558001,-2.77617566684324,0.00573520147311403,0.0979080822910181,-2.3649324408608,FALSE
"Q14242","High_vs_Control",-0.164521509103515,12.1063880932504,-2.74306126230719,0.00629841073019731,0.106257893965917,-2.49082285276276,FALSE
"P01619","High_vs_Control",0.394742483141902,11.535935839526,2.73731455097207,0.00640839927693261,0.106856332129318,-2.50536000541187,FALSE
