"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"P13591","High_vs_Low",-0.270613841148766,13.0734206101582,-4.56881991157801,6.14151876851671e-06,0.00510733128667722,3.62126704626413,TRUE
"P16112","High_vs_Low",-0.379411469632119,10.6510882050929,-4.53637836344668,7.12319565784828e-06,0.00510733128667722,3.48797084647135,TRUE
"Q8TB73","High_vs_Low",-0.321343673728117,8.10112646133671,-4.4290072784448,1.15889594368817e-05,0.00553952261082946,3.05069830344204,TRUE
"Q9Y240","High_vs_Low",-0.273218406007173,12.749148533936,-4.17303328952172,3.52661495711221e-05,0.0126429146212473,2.05503987710233,TRUE
"Q99983","High_vs_Low",-0.29950393347244,14.0528982638172,-3.99043749211934,7.54941382422728e-05,0.017349289266496,1.37694201588767,TRUE
"Q14520","High_vs_Low",-0.238443406208088,17.7970841946522,-3.96777029098304,8.28088782687112e-05,0.017349289266496,1.29474361173102,TRUE
"Q6UWP8","High_vs_Low",-0.327702909729496,8.89885793104355,-3.962249126104,8.46896965589063e-05,0.017349289266496,1.27478858316474,TRUE
"Q92859","High_vs_Low",-0.229361757020833,10.3899493920525,-3.84570760897627,0.000135219937124223,0.0199449653918164,0.859663270477529,TRUE
"Q13444","High_vs_Low",-0.355084598811195,7.62966867828703,-3.83669477256831,0.000141978199535939,0.0199449653918164,0.820301225894127,TRUE
"O75487","High_vs_Low",-0.234368080530757,8.66428219070161,-3.82143142511865,0.000148875309747128,0.0199449653918164,0.774546922476497,TRUE
"Q92696","High_vs_Low",-0.362445245230678,9.23238341247186,-3.81672433437304,0.000153104182180546,0.0199449653918164,0.75411720455973,TRUE
"P49746","High_vs_Low",-0.24014805208537,12.048204242222,-3.77898731023769,0.000175824283842944,0.0199449653918164,0.627251843056029,TRUE
"O14594","High_vs_Low",-0.231632627194692,11.5722738638009,-3.75480090080047,0.000193198559722795,0.0199449653918164,0.543948569047438,TRUE
"Q13316","High_vs_Low",-0.271931623450946,8.81815048672528,-3.75404822323245,0.000194720722095837,0.0199449653918164,0.540741568963371,TRUE
"P09326","High_vs_Low",-0.2986853931334,8.28199278238026,-3.7326707605299,0.000211612399665524,0.0199732151901696,0.466958004370205,TRUE
"P98160","High_vs_Low",-0.224763964572713,12.0437862285462,-3.71789922225988,0.000222853168091154,0.0199732151901696,0.417823890562008,TRUE
"Q9BRK5","High_vs_Low",-0.24559106895223,9.54851976814779,-3.67819075295856,0.000259523371871677,0.0218915597214109,0.283420743092504,TRUE
"O15335","High_vs_Low",-0.259592459901,11.1964778054576,-3.6190971694066,0.000324734389221363,0.0246106438746691,0.0859324068557461,TRUE
"P35443","High_vs_Low",-0.246440127144011,15.4121288405984,-3.61799747396129,0.000326082450222254,0.0246106438746691,0.0822859796372679,TRUE
"Q9BYH1","High_vs_Low",-0.204131998985186,11.1086181608733,-3.56201369408755,0.000402081751521321,0.0268000839183204,-0.101959487368839,TRUE
"P07585","High_vs_Low",-0.196918254846793,12.3537084873039,-3.55717469460801,0.000409376756213231,0.0268000839183204,-0.117756890713195,TRUE
"P04004","High_vs_Low",-0.166236796085819,18.3429654980238,-3.54905778026188,0.000421892437684564,0.0268000839183204,-0.144209601348716,TRUE
"Q14393","High_vs_Low",-0.322796454187063,9.17488690080229,-3.54410458412572,0.00042984792895493,0.0268000839183204,-0.159901984012027,TRUE
"P22466","High_vs_Low",-0.398541728533351,8.37166519063389,-3.50296845471049,0.000506907209792687,0.0299754312049427,-0.295946054330195,TRUE
"P28906","High_vs_Low",-0.24648855766652,10.9052815996709,-3.47269469605675,0.000558756727989245,0.0299754312049427,-0.389898147244707,TRUE
"Q9BUD6","High_vs_Low",-0.276793128102367,8.29527652697458,-3.44446372204807,0.000621357982257065,0.0299754312049427,-0.479034163536478,TRUE
"Q13103","High_vs_Low",-0.19930277763736,16.3500664835058,-3.44282895096163,0.000622391755203015,0.0299754312049427,-0.485108591904893,TRUE
"P49641","High_vs_Low",-0.182163569008479,9.54410550985163,-3.43127093141243,0.000648900967723138,0.0299754312049427,-0.521604731599964,TRUE
"P08493","High_vs_Low",-0.212909271451881,14.5406500132036,-3.42474875191777,0.00066432117607229,0.0299754312049427,-0.542147864657604,TRUE
"P49747","High_vs_Low",-0.211723444835146,15.0868130804617,-3.40666836172274,0.000708873284911325,0.0299754312049427,-0.598901532983463,TRUE
"Q14515","High_vs_Low",-0.217306508692891,14.4796947191466,-3.40525885654894,0.000712460945847145,0.0299754312049427,-0.603313884860526,TRUE
"Q0VD83","High_vs_Low",-0.236501901995728,10.4483006348461,-3.40011277603129,0.000725703592002989,0.0299754312049427,-0.619408528972107,TRUE
"O14786","High_vs_Low",-0.186842400672019,14.1375728854174,-3.39222172519063,0.000746456114483675,0.0299754312049427,-0.644043131952464,TRUE
"Q9BY76","High_vs_Low",-0.310161159121977,8.05614298021451,-3.39239904152765,0.00074863583340769,0.0299754312049427,-0.640014599466991,TRUE
"O75787","High_vs_Low",-0.233025032215748,9.90727067351303,-3.3912694984644,0.000748997395581993,0.0299754312049427,-0.647012141042871,TRUE
"O43897","High_vs_Low",-0.206620827642283,9.74327999171729,-3.38562508263505,0.000771515116491512,0.0299754312049427,-0.656686022048382,TRUE
"Q99715","High_vs_Low",-0.213873833609121,10.7697855631921,-3.38226692056441,0.000773424654520836,0.0299754312049427,-0.675042567835384,TRUE
"P22694","High_vs_Low",0.441186916985881,6.84713242219677,3.36963878304878,0.000825705427051158,0.0311595153260884,-0.702358692727237,TRUE
"Q7LGC8","High_vs_Low",-0.172552867971119,11.0400559129999,-3.33957950000833,0.000899678416824026,0.0321372459353127,-0.806986027229638,TRUE
"P26572","High_vs_Low",-0.253018672747748,8.89739489991466,-3.3380058031026,0.000904800606190002,0.0321372459353127,-0.8117359558861,TRUE
"Q9H251","High_vs_Low",-0.233626173240054,10.2062172419821,-3.32257310075784,0.000955117321363035,0.0321372459353127,-0.859105645680936,TRUE
"Q14956","High_vs_Low",-0.299201801032598,8.15733169878894,-3.32135819453851,0.000962077908568804,0.0321372459353127,-0.852837009741195,TRUE
"Q9NQ79","High_vs_Low",-0.17913083916398,12.4524472089805,-3.32003179103316,0.0009636691598455,0.0321372459353127,-0.866872178946798,TRUE
"Q6ZRP7","High_vs_Low",-0.254659927233885,8.49049862178951,-3.30175092999807,0.00102731426786742,0.033481105911861,-0.922573188623986,TRUE
"P09603","High_vs_Low",-0.192978941044682,11.608594323106,-3.29198879511617,0.00106287838828709,0.0338703913067485,-0.952197562150022,TRUE
"Q14767","High_vs_Low",-0.265368552409686,9.55989713764494,-3.27877474841453,0.00111297824899529,0.0346958871534618,-0.99207347821785,TRUE
"P06734","High_vs_Low",-0.274377626138039,9.34932414604806,-3.26020545569267,0.00119070442546593,0.0355994835758464,-1.03916122108839,TRUE
"Q14517","High_vs_Low",-0.255180904390915,10.1939722540472,-3.25757337182306,0.00119757000497324,0.0355994835758464,-1.05596586104193,TRUE
"Q06828","High_vs_Low",-0.184132445321648,11.4184374384081,-3.24781857626386,0.00123852916847449,0.0355994835758464,-1.08518835763086,TRUE
"Q9HC84","High_vs_Low",-0.461568429276664,8.7834549064345,-3.24757955437969,0.00124126511770733,0.0355994835758464,-1.08445502690533,TRUE
"Q6P4E1","High_vs_Low",-0.183421388891501,11.3306596712396,-3.2308687897028,0.00131279882036835,0.0368009345506511,-1.1357653211467,TRUE
"P35052","High_vs_Low",-0.183607959914778,8.00997159771454,-3.22608741303632,0.00133448298231092,0.0368009345506511,-1.1499867705161,TRUE
"Q8IUX7","High_vs_Low",-0.185278486738342,10.8902052739821,-3.19368425120439,0.00149039358049101,0.0403249885740398,-1.24583290494673,TRUE
"Q5JRA6","High_vs_Low",-0.22275140511606,11.1408489373762,-3.15827323464735,0.00167991243198858,0.044292457424112,-1.34951485764633,TRUE
"P12109","High_vs_Low",-0.172287750969799,9.47418068100672,-3.1508546723842,0.00172233301128244,0.044292457424112,-1.37109554502362,TRUE
"Q6V0I7","High_vs_Low",-0.240307570110723,9.8137616266396,-3.14958499336213,0.0017296915033126,0.044292457424112,-1.37478417424449,TRUE
"Q08378","High_vs_Low",-0.309801665229495,10.9904828046497,-3.13116120294849,0.00185630768887987,0.0467007934360304,-1.41137756932159,TRUE
"P55290","High_vs_Low",-0.179450773661024,10.6418609267667,-3.11562596573946,0.00193759145850094,0.0473058842872306,-1.47291102590592,TRUE
"P51888","High_vs_Low",-0.234216620322531,7.71282771539986,-3.11481855923372,0.00194633694068801,0.0473058842872306,-1.47162907979078,TRUE
