"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"O14594","High_vs_Control",-0.331850521428319,11.5404132603241,-4.71287614777422,3.15564012657035e-06,0.00452518794150189,4.24188864711631,TRUE
"Q9UKM7","High_vs_Control",-0.350172645016553,9.59108330370966,-4.36323083553119,1.55204426969854e-05,0.00629515832513395,2.79466217925762,TRUE
"Q9Y274","High_vs_Control",-0.273223026559648,9.52568151004066,-4.31751419690839,1.89683182742694e-05,0.00629515832513395,2.61303489656411,TRUE
"P13591","High_vs_Control",-0.279070689265863,13.0415600066814,-4.24626385619005,2.58386439754911e-05,0.00629515832513395,2.33349873769375,TRUE
"P18827","High_vs_Control",-0.410569320881784,12.3310194637787,-4.24403942174471,2.61047178747942e-05,0.00629515832513395,2.32432735523233,TRUE
"Q9BUN1","High_vs_Control",-0.317288678290369,11.5226432236128,-4.18049988673792,3.4237350461987e-05,0.00629515832513395,2.07932020197432,TRUE
"Q9Y240","High_vs_Control",-0.296713141308553,12.7172879304592,-4.1510590686534,3.87880485769253e-05,0.00629515832513395,1.96672684001943,TRUE
"Q8TC71","High_vs_Control",-0.566083657086221,12.7714126731029,-4.15151072445625,3.99323298785013e-05,0.00629515832513395,1.94597643647562,TRUE
"Q6ZN30","High_vs_Control",-0.355776094264439,15.4410483494086,-4.14552280295155,3.99570966903034e-05,0.00629515832513395,1.94079394387746,TRUE
"P00738","High_vs_Control",0.769187746550555,14.4818798965806,4.09681283974351,4.8720752919689e-05,0.00629515832513395,1.76120940472718,TRUE
"Q92859","High_vs_Control",-0.278444878308415,10.3580887885757,-4.09575034832194,4.89375701665722e-05,0.00629515832513395,1.75720921655897,TRUE
"Q92696","High_vs_Control",-0.396514462550888,9.20255972567773,-4.07291358073451,5.45105993056351e-05,0.00629515832513395,1.66726933670783,TRUE
"P16112","High_vs_Control",-0.388330384455813,10.6192276016162,-4.0588243004986,5.7069078261326e-05,0.00629515832513395,1.61878761055577,TRUE
"Q14515","High_vs_Control",-0.268367071023359,14.4478341156698,-3.96301932367755,8.45723991342297e-05,0.0086626300256061,1.26511871463098,TRUE
"Q86TY3","High_vs_Control",-0.291291755156761,8.84725532054918,-3.93492284665858,9.47708923511057e-05,0.00905992039966194,1.16289983377274,TRUE
"O75752","High_vs_Control",-0.225244453325523,9.08650774546357,-3.90172432845287,0.00010837521054824,0.00905992039966194,1.0426762713794,TRUE
"P51693","High_vs_Control",-0.2942662846245,12.0721161511754,-3.87848466044015,0.000118878760922881,0.00905992039966194,0.959632601768453,TRUE
"Q6P4E1","High_vs_Control",-0.255440171113976,11.2987990677628,-3.86534582981897,0.000125269985079983,0.00905992039966194,0.912707769457912,TRUE
"O60704","High_vs_Control",-0.308320121132391,8.00567400083972,-3.85107228310309,0.000132925255567048,0.00905992039966194,0.862720378873886,TRUE
"Q9NS62","High_vs_Control",-0.247118282631053,9.39777268852531,-3.84803806659255,0.000134279206062751,0.00905992039966194,0.850610662956359,TRUE
"P12259","High_vs_Control",-0.205705526630101,18.0051179461592,-3.84271847223225,0.000137044611071715,0.00905992039966194,0.832245984903698,TRUE
"O14786","High_vs_Control",-0.236858339832171,14.1057122819407,-3.83914963658845,0.000138994594694953,0.00905992039966194,0.819595946930149,TRUE
"P13987","High_vs_Control",-0.266685148790975,10.2741209241963,-3.79021356966992,0.000168856290446088,0.0105278226304213,0.64650985654357,TRUE
"A0A075B6J9","High_vs_Control",0.539909549491872,9.23374051793308,3.77119525301979,0.000183161008988878,0.0109438702870855,0.575333988463856,TRUE
"P05067","High_vs_Control",-0.388529525651144,11.1199488298907,-3.72276398771833,0.000219015271784026,0.0125627159895318,0.41312890198133,TRUE
"P32942","High_vs_Control",-0.255049649838423,9.77838801341332,-3.71012049754265,0.000229942823097507,0.012682231089301,0.369683533609277,TRUE
"P14543","High_vs_Control",-0.2527010113287,12.1827363047751,-3.68363111895794,0.000254522530357847,0.0131005266064824,0.27911396537472,TRUE
"P07333","High_vs_Control",-0.285151195605904,11.7107416919824,-3.68232290020359,0.000255798287992683,0.0131005266064824,0.274656943382466,TRUE
"P09603","High_vs_Control",-0.246147087542111,11.5767337196292,-3.67219996381403,0.000265875305977251,0.0131470754748751,0.240219322662063,TRUE
"Q15582","High_vs_Control",-0.192986684294757,10.6948285205239,-3.66327439852043,0.000275068877355826,0.0131482923376085,0.209929468578427,TRUE
"P07359","High_vs_Control",-0.24726204452789,17.2216117069061,-3.62535619874311,0.000317559592825849,0.0146896921326538,0.0820277861923069,TRUE
"Q9H251","High_vs_Control",-0.264896163676251,10.1743566385053,-3.6120252561054,0.000333909317658347,0.0149633112975647,0.0373606744372008,TRUE
"P98160","High_vs_Control",-0.2477713937506,12.0119256250694,-3.57798521808484,0.000379312972689773,0.0161526342114161,-0.0759874383326986,TRUE
"Q969P0","High_vs_Control",-0.286308781804319,6.55218704633007,-3.57513662008273,0.000389501391854866,0.0161526342114161,-0.0794720907435966,TRUE
"P21810","High_vs_Control",-0.264469206046671,10.8041489404627,-3.5676251894449,0.000394241420780728,0.0161526342114161,-0.110282723725051,TRUE
"P11226","High_vs_Control",0.517279610247684,9.37016905630677,3.55516860057959,0.00041299096917738,0.016450806938899,-0.151480557345911,TRUE
"Q76I76","High_vs_Control",-0.247961507325892,9.18738133900111,-3.54654691222687,0.000432955524693592,0.0167799519570435,-0.171511188402375,TRUE
"Q8IZF2","High_vs_Control",-0.249870940712956,10.4755511402166,-3.53158295721275,0.000450577320544718,0.0167826702712918,-0.228859609984664,TRUE
"Q16363","High_vs_Control",-0.325331000011897,7.94111359494882,-3.52817378958763,0.000456432455076973,0.0167826702712918,-0.240187197979449,TRUE
"P05386","High_vs_Control",-0.369775396735665,8.52301341331791,-3.49845072525542,0.000511104063202556,0.0183230806658116,-0.335494372133901,TRUE
"P17927","High_vs_Control",-0.280414611163419,7.51328681995119,-3.4868631523036,0.000533101385556931,0.0186455460216741,-0.376083809201024,TRUE
"O00468","High_vs_Control",-0.215085575796813,10.1802458113195,-3.47444598996098,0.000555544863052358,0.0189678888956448,-0.414492422205321,TRUE
"P49641","High_vs_Control",-0.217305955128591,9.51224490637486,-3.45768666859475,0.000590421095305535,0.0196898569922823,-0.468395685463765,TRUE
"P11049","High_vs_Control",-0.280292829657208,11.2024668889406,-3.4483903102377,0.000610826436851801,0.019907388873761,-0.497897094841051,TRUE
"Q5VU65","High_vs_Control",0.620679287401046,11.1033428096121,3.40793354395919,0.000713743428841599,0.0222169554790362,-0.620710253995028,TRUE
"A0A0C4DH34","High_vs_Control",0.460312979506213,9.26274418042485,3.40395302532187,0.00072108519919715,0.0222169554790362,-0.640981870696601,TRUE
"Q8IZP7","High_vs_Control",-0.216926792887628,8.72217445323731,-3.39944121750317,0.000728170786272455,0.0222169554790362,-0.653800884760888,TRUE
