"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"P13591","High_vs_Low",-0.343317884924941,13.0415600066814,-5.5937698975706,3.63027218362361e-08,5.20581031131626e-05,8.39204885522473,TRUE
"Q14520","High_vs_Low",-0.323515675957591,17.7652235911754,-5.28247575534243,1.89163104972935e-07,9.75396839558581e-05,6.85028567465034,TRUE
"Q9NQ79","High_vs_Low",-0.268810368106706,12.4205866055037,-5.19578669868874,2.95374327799189e-07,9.75396839558581e-05,6.43493123983735,TRUE
"Q13444","High_vs_Low",-0.383638294450212,7.67045513309621,-5.19485772768399,3.09331002555841e-07,9.75396839558581e-05,6.39489483610167,TRUE
"Q9Y240","High_vs_Low",-0.340802487960824,12.7172879304592,-5.10552380662542,4.6669964990913e-07,9.75396839558581e-05,6.00900024702902,TRUE
"P04004","High_vs_Low",-0.247725281237074,18.311104894547,-5.1013426571052,4.76616774013807e-07,9.75396839558581e-05,5.98943278045961,TRUE
"P16112","High_vs_Low",-0.454262479942749,10.6192276016162,-5.08418287876636,5.19495154539134e-07,9.75396839558581e-05,5.90927732130236,TRUE
"P01042","High_vs_Low",-0.315071920480566,15.4118958099664,-5.07492486271198,5.44154443268385e-07,9.75396839558581e-05,5.86613289997319,TRUE
"Q92696","High_vs_Low",-0.453561461626389,9.20255972567773,-4.98249138210543,8.84584890249239e-07,0.000125391560193881,5.41920158365357,TRUE
"P02760","High_vs_Low",-0.171952344653977,15.7761766532437,-4.96662977379636,9.31167109044956e-07,0.000125391560193881,5.36672121549348,TRUE
"Q8TB73","High_vs_Low",-0.372910328280463,8.07615447087365,-4.95299912095192,9.99181768001355e-07,0.000125391560193881,5.30176119487903,TRUE
"Q8WWZ8","High_vs_Low",-0.363830546355093,10.3959110692191,-4.94228145993994,1.04930175894461e-06,0.000125391560193881,5.25577717467942,TRUE
"Q6UWP8","High_vs_Low",-0.411534265117172,8.86699732756677,-4.89604029283019,1.31469455180445e-06,0.000145020922099044,5.04643687871041,TRUE
"Q92859","High_vs_Low",-0.309510122362974,10.3580887885757,-4.87511109636779,1.45509723449676e-06,0.000149043531019168,4.95227398228701,TRUE
"P08493","High_vs_Low",-0.302622368959886,14.5087894097268,-4.84466153601918,1.68547027874478e-06,0.000153560369137135,4.81593183519376,TRUE
"Q13316","High_vs_Low",-0.356359962362884,8.79183929707337,-4.82288938943881,1.89548623599154e-06,0.000153560369137135,4.71083756374523,TRUE
"Q08378","High_vs_Low",-0.453472950808198,10.9803317747758,-4.82777710572651,1.91279097850238e-06,0.000153560369137135,4.70917847348302,TRUE
"Q7LGC8","High_vs_Low",-0.253709393904494,11.0081953095231,-4.81408849990356,1.95195809473734e-06,0.000153560369137135,4.67981794030366,TRUE
"O95715","High_vs_Low",-0.361950928926703,8.76671663485513,-4.80132120663559,2.13448029513069e-06,0.000153560369137135,4.6002376415404,TRUE
