"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q9Y5X9","Low_vs_Control",0.361102335945901,8.29807601065005,4.4828559749076,9.13107962892619e-06,0.00708261371597236,3.27191327984867,TRUE
"P00747","Low_vs_Control",0.217327839549991,15.1152510353278,4.44578623802677,1.07551236765631e-05,0.00708261371597236,3.12466202410054,TRUE
"Q6EMK4","Low_vs_Control",0.219690983344455,10.3663343732983,4.29894335230269,2.05683353927847e-05,0.00708261371597236,2.54043713644054,TRUE
"Q96IY4","Low_vs_Control",0.267712831664285,12.6369758746046,4.2349947047676,2.71224551523658e-05,0.00708261371597236,2.29169060840743,TRUE
"A6NL88","Low_vs_Control",0.280889537687742,9.38920501769363,4.15097076114606,3.90752022613679e-05,0.00708261371597236,1.96492451577833,TRUE
"Q9H6X2","Low_vs_Control",0.316562052954728,8.48097339830864,4.11339516529593,4.54530087568295e-05,0.00708261371597236,1.82825368100963,TRUE
"Q9H8L6","Low_vs_Control",0.279027453262216,10.7485586581377,4.10856332061594,4.63830059363842e-05,0.00708261371597236,1.81009835770815,TRUE
"P07225","Low_vs_Control",0.202794449970357,14.80708803435,4.09619272688606,4.88471849818387e-05,0.00708261371597236,1.76370737596873,TRUE
"P03952","Low_vs_Control",0.193042705128775,13.4525817248286,4.08525900808334,5.11283111496344e-05,0.00708261371597236,1.72281343876302,TRUE
"Q99784","Low_vs_Control",0.239089054714134,8.99926726650334,4.06506870278274,5.56092982524029e-05,0.00708261371597236,1.64756639319578,TRUE
"A0A0B4J1X5","Low_vs_Control",0.533592928632105,12.4634443026714,4.06484432358117,5.5724450320054e-05,0.00708261371597236,1.64601226733198,TRUE
"A2CJ06","Low_vs_Control",0.332064202978387,9.49209063448589,4.05453211539572,5.92687340248733e-05,0.00708261371597236,1.59438330936272,TRUE
"P02671","Low_vs_Control",0.228494178834342,16.1605282045091,3.90848021271095,0.000105424194099637,0.0116290995645292,1.07582412448398,TRUE
"P05090","Low_vs_Control",0.269805255408984,12.5090928069042,3.8771670005662,0.000119505531726657,0.0122407808925733,0.964018543222595,TRUE
"Q86UD1","Low_vs_Control",0.188927578959657,10.3448795806351,3.84720877623957,0.000134627852434751,0.012665106258929,0.857842001616345,TRUE
"P02774","Low_vs_Control",0.371089372544173,13.6123337445535,3.8260690945891,0.00014636812994395,0.012665106258929,0.783385810948094,TRUE
"Q04756","Low_vs_Control",0.221009995839834,10.4808548624243,3.81816202539073,0.000151002904427609,0.012665106258929,0.755635471476238,TRUE
"Q9UBE0","Low_vs_Control",0.341139914305183,9.46894582074166,3.80643570744682,0.000158976229191577,0.012665106258929,0.711945838887315,TRUE
"Q9BYJ0","Low_vs_Control",0.286925007024172,10.4278262147083,3.780114262679,0.000175308564704055,0.0132311832518745,0.622860478511911,TRUE
"P02753","Low_vs_Control",0.278799414295024,12.7428919981947,3.74793540136129,0.00019869975870069,0.0142467726988395,0.51154435446494,TRUE
"P15151","Low_vs_Control",0.267104424460241,8.24423008537336,3.71284376506273,0.000228159748206683,0.0155800513775421,0.389223457454082,TRUE
"P02765","Low_vs_Control",0.236346264863069,17.0126491328544,3.69886260039727,0.000240102820790416,0.0156503384097026,0.343516299040939,TRUE
"Q8WWZ8","Low_vs_Control",0.285984342534539,10.3959110692191,3.67892191179041,0.000259143084558183,0.0158337508965741,0.275835990492078,TRUE
"P01709","Low_vs_Control",0.52472772111962,11.8409095849418,3.67406880927506,0.000265000015005424,0.0158337508965741,0.257270561253911,TRUE
"P01009","Low_vs_Control",0.291559037994679,15.066071405462,3.6320738432246,0.000309608455460073,0.0177591410051898,0.118191305183885,TRUE
"P61769","Low_vs_Control",0.207484775215903,10.7897548478479,3.61928471668416,0.000324910480409056,0.0179200626502533,0.0754879045193366,TRUE
"P05452","Low_vs_Control",0.186945919003454,12.5226266652949,3.57273486529106,0.000386811046216794,0.0186960421687721,-0.0787386497890461,TRUE
"Q8TER0","Low_vs_Control",0.208682429287592,9.20717810656895,3.57181572570303,0.000388137881844655,0.0186960421687721,-0.0817648409270211,TRUE
"Q76LX8","Low_vs_Control",0.198590238277292,9.86551978752602,3.57175176603683,0.000388230370198564,0.0186960421687721,-0.0819753953626439,TRUE
"O75882","Low_vs_Control",0.313440052978164,8.33429264489881,3.5698948861913,0.000391130589304857,0.0186960421687721,-0.0884559198227723,TRUE
"Q96PD5","Low_vs_Control",0.250491979439975,12.8582879207523,3.55738240042817,0.000409540808487681,0.0188339734294272,-0.129188510918319,TRUE
"P58335","Low_vs_Control",0.277594579061894,9.06891161186794,3.55040207645709,0.000420283925900746,0.0188339734294272,-0.152058446408151,TRUE
"P98164","Low_vs_Control",0.340013922003742,10.2936522238606,3.53022602430362,0.000460187140364236,0.019997223008555,-0.207871749723772,TRUE
"P46940","Low_vs_Control",0.410111797063786,9.73664473237261,3.49882153697789,0.000508240976492923,0.0214358105967897,-0.31973176650479,TRUE
"P00738","Low_vs_Control",0.645050712308274,14.4818798965806,3.48395903906965,0.000536614222977797,0.0218253703035548,-0.367612693090527,TRUE
"Q9UJJ9","Low_vs_Control",0.176756740198249,9.88353673564591,3.47824204420181,0.000547917246114347,0.0218253703035548,-0.385978917099875,TRUE
"Q9Y646","Low_vs_Control",0.209812909995302,8.41227064146051,3.41420089924395,0.000690885853887265,0.0263649678689096,-0.589929632617249,TRUE
"P13671","Low_vs_Control",0.250293425392636,12.8819134303032,3.4027161091504,0.000719692246461404,0.0263649678689096,-0.625915683411757,TRUE
"P07307","Low_vs_Control",0.237585043661449,7.51681961779253,3.39991835768856,0.000733359950867425,0.0263649678689096,-0.635597230208126,TRUE
"P19652","Low_vs_Control",0.418184525778186,13.5509536726081,3.39666750518065,0.000735424487277812,0.0263649678689096,-0.644914360574194,TRUE
"P06312","Low_vs_Control",0.430809285320574,12.0200099772002,3.3891977181452,0.000755295289734577,0.0264169133043752,-0.66833250918907,TRUE
"P00740","Low_vs_Control",0.195450688812178,14.5960564092345,3.37387822408072,0.0007976214916061,0.0272330766419797,-0.716206073311584,TRUE
"P02766","Low_vs_Control",0.165857497047213,13.3302924385239,3.35416225489274,0.000855345807610649,0.0285247880956668,-0.777514177778611,TRUE
"Q8TB73","Low_vs_Control",0.266067585309443,8.07615447087365,3.34630052424468,0.000880164668264832,0.0286853666884493,-0.801603401533516,TRUE
"A0A0C4DH34","Low_vs_Control",0.443266093063292,9.26274418042485,3.32299734927556,0.000960144203497452,0.0295489224047029,-0.874823010717155,TRUE
"P02787","Low_vs_Control",0.48736145099892,13.0689381564924,3.32037056646729,0.000963401907886453,0.0295489224047029,-0.881793880145644,TRUE
"O95715","Low_vs_Control",0.263032346174843,8.76671663485513,3.31228153409191,0.000998234130203457,0.0295489224047029,-0.910517168657647,TRUE
"P20851","Low_vs_Control",0.252380024859599,9.7546999972539,3.30877480233833,0.00100384924337852,0.0295489224047029,-0.91769155270754,TRUE
"Q8IUL8","Low_vs_Control",0.199988699096108,7.80778526917754,3.30696188274881,0.00100969121187618,0.0295489224047029,-0.922892999175906,TRUE
"P01871","Low_vs_Control",0.330712991716808,16.5502013049158,3.29401782695457,0.00105632768906726,0.0301563531362007,-0.96241721285051,TRUE
"P11226","Low_vs_Control",0.471021005689762,9.37016905630677,3.28312085199953,0.00109727141014696,0.0301563531362007,-0.995661964468367,TRUE
"P05156","Low_vs_Control",0.341209702312069,11.9175031779048,3.27541404678158,0.00112686457982354,0.0301563531362007,-1.01896362509216,TRUE
"Q9NQ79","Low_vs_Control",0.178614143574768,12.4205866055037,3.26942320704107,0.0011504928196148,0.0301563531362007,-1.03710765672316,TRUE
"P00966","Low_vs_Control",0.39625475647361,7.86739839602239,3.26786487066773,0.00116072362986621,0.0301563531362007,-1.03230339237416,TRUE
"P03950","Low_vs_Control",0.341545093293956,9.87591082263149,3.26704784194591,0.00116102787227615,0.0301563531362007,-1.04486409186113,TRUE
"P35858","Low_vs_Control",0.214793159443133,12.4726178298046,3.26207870020057,0.00118008653369335,0.0301563531362007,-1.0593080871683,TRUE
"Q9BU40","Low_vs_Control",0.31487074404378,8.47761248635536,3.25858282925845,0.00119868349286153,0.0301563531362007,-1.07200244956244,TRUE
"P02768","Low_vs_Control",0.421598431205666,15.624335027664,3.23802112964471,0.00128203503978588,0.0316972111560855,-1.13169293222214,TRUE
"P08253","Low_vs_Control",0.184239324069477,10.0067525674466,3.21539819087697,0.00138528568784071,0.0336694860400607,-1.19929316473513,TRUE
"Q6UY14","Low_vs_Control",0.27456694817678,9.02827132250117,3.20198397174396,0.00145182324124673,0.0346347222536034,-1.23971791843696,TRUE
"Q9BWS9","Low_vs_Control",0.259686025993067,7.10301008932266,3.1992548671244,0.00147777538293372,0.0346347222536034,-1.23633776636976,TRUE
"P02745","Low_vs_Control",0.454893219254677,11.1660501725861,3.19252427413894,0.00149745661068578,0.0346347222536034,-1.26718166415178,TRUE
"P08195","Low_vs_Control",0.241321643799375,7.34264566609518,3.18181705514754,0.00155369620870186,0.0353650851314043,-1.29912679605667,TRUE
"P01008","Low_vs_Control",0.20436577135127,11.5571065903026,3.16597152641683,0.00163816709389956,0.0365744682434248,-1.34540593883588,TRUE
"P20062","Low_vs_Control",0.226352597853829,7.51364105882447,3.1633787063625,0.00165783851870475,0.0365744682434248,-1.35380875759245,TRUE
"Q9BQE5","Low_vs_Control",0.301498538530224,11.0032117998219,3.14806795907949,0.00174839899195589,0.0379879417343143,-1.37824208718966,TRUE
"Q5VU65","Low_vs_Control",0.563975134144806,11.1033428096121,3.13823646847119,0.00181197418840438,0.0387816565100281,-1.4162853275613,TRUE
"O75356","Low_vs_Control",0.190777964869991,6.76851993455037,3.13223349376286,0.00184437908389871,0.0388947000928051,-1.44494757646117,TRUE
"P01817","Low_vs_Control",0.437806356018266,8.75514128828976,3.11549834196324,0.00194733379048588,0.0404706761674892,-1.49393970261404,TRUE
"P55056","Low_vs_Control",0.218779889279022,12.4475615596113,3.07747398306131,0.00219997939595723,0.0450681493400382,-1.60158988868087,TRUE
"O94966","Low_vs_Control",0.463063045945603,10.6546776820167,3.05922601712826,0.00235084006177399,0.0466889157607394,-1.64936651499018,TRUE
"Q16610","Low_vs_Control",0.169510811032861,12.6541553213645,3.05624325287766,0.00235883486673207,0.0466889157607394,-1.66201073515066,TRUE
"P35555","Low_vs_Control",0.212946811441626,8.03190824669307,3.05282571530894,0.00239078805755169,0.0466889157607394,-1.67276488517036,TRUE
"P00734","Low_vs_Control",0.160455147260308,15.8738402308554,3.0497693806375,0.00240933038095866,0.0466889157607394,-1.68035477590593,TRUE
"P13686","Low_vs_Control",0.240152859155473,7.36307304179888,3.03512694240387,0.00255292781023992,0.0488119797317872,-1.71541129896208,TRUE
"Q6YHK3","Low_vs_Control",0.203354245934328,9.54395502397012,3.02335013433481,0.00262585382499665,0.0495457155926999,-1.75482692400144,TRUE
"P00326","Low_vs_Control",0.378141269475934,9.50723702676621,3.01942508783993,0.00266155478456411,0.0495671371566875,-1.76620134278878,TRUE
"Q96PL1","Low_vs_Control",0.42820786560627,9.92541118531435,3.0063823392465,0.00277709164531211,0.0510557617868918,-1.79787173585617,FALSE
"P04278","Low_vs_Control",0.280379968000753,10.6527842920064,3.00000414537189,0.00283188831221157,0.0512499929448694,-1.82011674747586,FALSE
"P33908","Low_vs_Control",0.154277737493643,10.7925896868047,2.99703416286373,0.00285913489232186,0.0512499929448694,-1.82838770178604,FALSE
"P07357","Low_vs_Control",0.200457590312649,13.2653744776644,2.98431925389905,0.00297851594121711,0.0525719915202861,-1.86370757715722,FALSE
"Q14393","Low_vs_Control",0.22249179440098,9.14485263270739,2.98145234345803,0.00300660339452488,0.0525719915202861,-1.87145951772101,FALSE
"Q9HBW9","Low_vs_Control",0.235171502097128,7.94242196286746,2.97818278481136,0.00304286980208072,0.0525719915202861,-1.87537421144535,FALSE
"P50281","Low_vs_Control",0.229299372312246,9.31553080600294,2.94266235474182,0.00340499281449825,0.0579324934656688,-1.97868140561681,FALSE
"P02790","Low_vs_Control",0.352732252477063,15.0135403054659,2.93974595220816,0.00343393441044759,0.0579324934656688,-1.98638132049997,FALSE
"Q5JRA6","Low_vs_Control",0.224225791978201,11.1089883338995,2.93324720465095,0.00350540401548363,0.0580111777205637,-2.00411831113909,FALSE
"P10586","Low_vs_Control",0.198045543453653,7.28704665708896,2.93206054330599,0.00351950659810952,0.0580111777205637,-2.00745275334235,FALSE
"Q86U17","Low_vs_Control",0.235116848150858,8.15422483046984,2.8878379406437,0.00404454713648594,0.065907734019555,-2.12704493340348,FALSE
"Q9NZP8","Low_vs_Control",0.225029858350657,10.0023614465442,2.88026482484446,0.00414069577352488,0.0667163790925245,-2.14730878758772,FALSE
"P02751","Low_vs_Control",0.187210034857495,13.8064220105094,2.8679596560008,0.00430249489441623,0.0685530853176986,-2.18020403582704,FALSE
"P09486","Low_vs_Control",-0.328439818230908,10.4959586609223,-2.86187078118411,0.0043846647053793,0.0690946064561969,-2.19643100783149,FALSE
"Q9UHG3","Low_vs_Control",0.19014431930095,10.6741638976403,2.85558607435406,0.0044709711387925,0.0696164894571928,-2.21314491456797,FALSE
"P19022","Low_vs_Control",0.169808464478908,9.03003520170015,2.84917225959745,0.00456063965428487,0.0696164894571928,-2.23016555347783,FALSE
"P24593","Low_vs_Control",0.235351359879559,12.2932239801639,2.84897494107058,0.0045634239951019,0.0696164894571928,-2.2306886001426,FALSE
"Q3B726","Low_vs_Control",0.429640465791374,13.7559772498162,2.84280113480702,0.0046764525100492,0.0703657582014565,-2.19739875755728,FALSE
"P01591","Low_vs_Control",0.315446030402111,10.7534476961789,2.83869213659717,0.00471067837331926,0.0703657582014565,-2.25789750573647,FALSE
"P01034","Low_vs_Control",0.162909812661892,11.1223200221661,2.82348708033738,0.0049363362091221,0.0729763517925885,-2.29795659364559,FALSE
"P08603","Low_vs_Control",0.325598703431035,12.4737109225411,2.81436100475433,0.00507644083395238,0.0742817975090583,-2.32190010380939,FALSE
"P01714","Low_vs_Control",0.399849984546584,9.76009229430238,2.80902300383456,0.00516430132618816,0.0748041222399376,-2.33301184475875,FALSE
"P09619","Low_vs_Control",0.244490860664078,10.0526943388665,2.75713086852257,0.00604031053063921,0.0857829031081624,-2.47034008248522,FALSE
"P15291","Low_vs_Control",0.15297897413044,8.76843422974652,2.75563084144231,0.00606766227947118,0.0857829031081624,-2.47419103360447,FALSE
