"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"P16112","High_vs_Low",-0.485827645913437,10.6192276016162,-4.70539976517352,3.25454826931766e-06,0.00299713719909963,4.20674729410645,TRUE
"Q08378","High_vs_Low",-0.442043249452322,10.9803317747758,-4.55852685237894,6.66366743546393e-06,0.00299713719909963,3.54678848622483,TRUE
"Q92696","High_vs_Low",-0.464069862261104,9.20255972567773,-4.54615531576916,6.93278407985571e-06,0.00299713719909963,3.51496579374864,TRUE
"P13591","High_vs_Low",-0.377030017430075,13.0415600066814,-4.51310508092232,7.91175470617674e-06,0.00299713719909963,3.40243170066598,TRUE
"P07585","High_vs_Low",-0.303334431128075,12.3218478838271,-4.47705866541863,9.31267979936705e-06,0.00299713719909963,3.25509175353174,TRUE
"Q8TB73","High_vs_Low",-0.420930130056909,8.07615447087365,-4.47506010778253,9.41918154415912e-06,0.00299713719909963,3.24476434810113,TRUE
"O14594","High_vs_Low",-0.338048803475971,11.5404132603241,-4.44320961404631,1.08423567926085e-05,0.00299713719909963,3.11772487595304,TRUE
"O14786","High_vs_Low",-0.293258576953324,14.1057122819407,-4.37948086425935,1.43988050637143e-05,0.00318476664586721,2.86171152014432,TRUE
"Q9Y240","High_vs_Low",-0.379634582288464,12.7172879304592,-4.35568660452002,1.59933967232751e-05,0.00318476664586721,2.76700099841649,TRUE
"P98160","High_vs_Low",-0.331180140853975,12.0119256250694,-4.34175394033015,1.70040570520742e-05,0.00318476664586721,2.71176516473672,TRUE
"Q99983","High_vs_Low",-0.405920109753758,14.0210376603404,-4.32745487879967,1.81046165914932e-05,0.00318476664586721,2.65524714097931,TRUE
"P05090","High_vs_Low",-0.310231470196234,12.5090928069042,-4.25114060691197,2.52271325404161e-05,0.00388658432206531,2.35653376963883,TRUE
"Q13316","High_vs_Low",-0.362469661182347,8.79183929707337,-4.24493573270975,2.61114192180098e-05,0.00388658432206531,2.32582693568305,TRUE
"O75752","High_vs_Low",-0.255696667271577,9.08650774546357,-4.22434051237171,2.83286355363402e-05,0.0039154221259156,2.25231419111829,TRUE
"Q92859","High_vs_Low",-0.335777933302136,10.3580887885757,-4.20317493161325,3.09967626217378e-05,0.00399858237820417,2.17131071447114,TRUE
"O75487","High_vs_Low",-0.342779620231813,8.63209285874185,-4.16765067103677,3.60695645120509e-05,0.00435528498903973,2.03517554428384,TRUE
"Q14520","High_vs_Low",-0.344859582489377,17.7652235911754,-4.14985627565271,3.88812897481108e-05,0.00435528498903973,1.96771272187795,TRUE
"P28482","High_vs_Low",-0.482759223999901,9.66480459812693,-4.12700809038825,4.29150923375447e-05,0.00435528498903973,1.8796516609768,TRUE
"Q06828","High_vs_Low",-0.290548621602927,11.3865768349313,-4.11651038132762,4.47462419452526e-05,0.00435528498903973,1.84161245403188,TRUE
"Q6UWP8","High_vs_Low",-0.434119086010783,8.86699732756677,-4.11507943091196,4.50158655197904e-05,0.00435528498903973,1.83622243343506,TRUE
"P22466","High_vs_Low",-0.551231399747444,8.46941183115627,-4.08650214378418,5.19632752735815e-05,0.00456733615838548,1.71170269897234,TRUE
