"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q8TC71","High_vs_Control",-0.565231326250764,12.7714126731029,-4.01750989547638,6.93360571339674e-05,0.0841739733606365,1.21945067145545,FALSE
"O14594","High_vs_Control",-0.304949367016993,11.5404132603241,-3.83440578353798,0.000141348638768884,0.0857986237327126,0.725264782073725,FALSE
"P00738","High_vs_Control",0.760874397429106,14.4818798965806,3.50262555432732,0.0005005011001307,0.190627262462369,-0.317377196390932,FALSE
"Q92696","High_vs_Control",-0.348047611081562,9.20255972567773,-3.29037081964338,0.00107459422472293,0.190627262462369,-0.953054851449412,FALSE
"Q9UKM7","High_vs_Control",-0.280080360370711,9.59108330370966,-3.24563185259327,0.00124760032070282,0.190627262462369,-1.06346893793085,FALSE
"P16112","High_vs_Control",-0.350039328976735,10.6192276016162,-3.24360658812856,0.00125632442554111,0.190627262462369,-1.06913338580007,FALSE
"Q5VU65","High_vs_Control",0.699956436263795,11.1033428096121,3.2354526146855,0.00130277115189531,0.190627262462369,-1.11551400013201,FALSE
"P18827","High_vs_Control",-0.319908514619346,12.3310194637787,-3.20557216619063,0.00143134940813817,0.190627262462369,-1.17524951616589,FALSE
"O14786","High_vs_Control",-0.224368360956033,14.1057122819407,-3.20468985356488,0.00143532913491101,0.190627262462369,-1.17732290399093,FALSE
"P13591","High_vs_Control",-0.277618389303706,13.0415600066814,-3.17822226648731,0.00157024104169991,0.190627262462369,-1.25018984419952,FALSE
"Q92859","High_vs_Control",-0.254587760379463,10.3580887885757,-3.05054401952537,0.00240118721438364,0.217427366758022,-1.59355879220219,FALSE
"O60704","High_vs_Control",-0.283785306346369,8.00567400083972,-3.03394581631235,0.00253749614992407,0.217427366758022,-1.6398852686621,FALSE
"Q86TY3","High_vs_Control",-0.243406849993219,8.84725532054918,-3.01667521026866,0.00268111480671266,0.217427366758022,-1.68237526218818,FALSE
"Q6P4E1","High_vs_Control",-0.235313833382053,11.2987990677628,-2.99568512610709,0.00286929654659738,0.217427366758022,-1.73694052474275,FALSE
