"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q9Y5X9","Low_vs_Control",0.390940972296345,8.29807601065005,4.74125702636474,2.75787210932412e-06,0.00334805674071948,4.34809979608125,TRUE
"Q6EMK4","Low_vs_Control",0.306529480534664,10.3663343732983,4.41465796376002,1.23177172890518e-05,0.00747685439445444,2.99993406573004,TRUE
"P05090","Low_vs_Control",0.324495885047277,12.5090928069042,4.26714200589817,2.35427946723284e-05,0.00952698424406888,2.41797537283277,TRUE
"P58335","Low_vs_Control",0.325900030842005,9.06891161186794,3.98425165682087,7.73892784049032e-05,0.0183823822332423,1.35348797244182,TRUE
"Q9H6X2","Low_vs_Control",0.364567462551566,8.48097339830864,3.98161772980787,7.82261788607191e-05,0.0183823822332423,1.34389739886051,TRUE
"P08195","Low_vs_Control",0.349959956723101,7.34264566609518,3.94512815378183,9.08519714987264e-05,0.0183823822332423,1.21116127045478,TRUE
"P04278","Low_vs_Control",0.398281612493626,10.6527842920064,3.85954317141167,0.000127936538333119,0.0221878510766295,0.905937050819527,TRUE
"Q9H8L6","Low_vs_Control",0.374462799030914,10.7485586581377,3.80554922650349,0.000158380316095033,0.0240342129674212,0.716317551467287,TRUE
"Q96IY4","Low_vs_Control",0.283058318481842,12.6369758746046,3.76568485686109,0.000185115421034226,0.0249700134595056,0.57793507850894,TRUE
"P04180","Low_vs_Control",0.305152860987066,11.8711718459701,3.71340471308025,0.00022665921518471,0.0275164287234238,0.398538429021221,TRUE
"Q96PD5","Low_vs_Control",0.354389910509507,12.8582879207523,3.66678117366164,0.000270968953289528,0.0283664128918331,0.240552242532815,TRUE
"P15291","Low_vs_Control",0.285542255211285,8.76843422974652,3.65779760019785,0.000280392878667214,0.0283664128918331,0.21032798705967,TRUE
"Q9Y646","Low_vs_Control",0.272420519037343,8.41227064146051,3.5945477266573,0.000356114046144785,0.0332555732322899,-0.000205968181937521,TRUE
"Q9NP78","Low_vs_Control",0.404787977795261,10.6115179720627,3.53369930707704,0.000449319310022816,0.0389624030262642,-0.198194965972381,TRUE
"P00966","Low_vs_Control",0.41612466606705,7.86739839602239,3.48157078590838,0.000542844752463823,0.0439342352994054,-0.36602740047734,TRUE
"Q99784","Low_vs_Control",0.303083787875771,8.99926726650334,3.42498534536854,0.0006635701820361,0.0503483875619891,-0.548382858196542,FALSE
"Q76LX8","Low_vs_Control",0.322803697948558,9.86551978752602,3.36674577528221,0.000817073830388929,0.0529140752638437,-0.730752005543857,FALSE
"P00326","Low_vs_Control",0.448957630668747,9.50723702676621,3.35071209173911,0.000865741154401686,0.0529140752638437,-0.780239375277748,FALSE
"P07357","Low_vs_Control",0.306556085380358,13.2653744776644,3.34971587103055,0.000867849418513812,0.0529140752638437,-0.783514682178941,FALSE
"P02765","Low_vs_Control",0.355086596740886,17.0126491328544,3.34405782098382,0.000885358393997007,0.0529140752638437,-0.80098810549723,FALSE
"Q86UD1","Low_vs_Control",0.250515337472853,10.3448795806351,3.3310439872844,0.000926883849144623,0.0529140752638437,-0.841070855682077,FALSE
