"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"O14594","High_vs_Control",-0.304949367016993,11.5404132603241,-3.83948422796451,0.000138535420181333,0.0666355371072212,0.796053120152228,FALSE
"P00738","High_vs_Control",0.760874397429106,14.4818798965806,3.50081315811596,0.000503895248390574,0.121186807237933,-0.292515978589543,FALSE
"Q9UKM7","High_vs_Control",-0.280080360370711,9.59108330370966,-3.25397472788823,0.00121224627937929,0.124873541707915,-1.02563756550243,FALSE
"P16112","High_vs_Control",-0.350039328976735,10.6192276016162,-3.24734989958088,0.00124023930653511,0.124873541707915,-1.04461129507188,FALSE
"O14786","High_vs_Control",-0.224368360956033,14.1057122819407,-3.20609306801189,0.00142848010614675,0.124873541707915,-1.16193982221259,FALSE
"P13591","High_vs_Control",-0.277618389303706,13.0415600066814,-3.18059612059269,0.00155767411693865,0.124873541707915,-1.23373157419173,FALSE
"Q92859","High_vs_Control",-0.254587760379463,10.3580887885757,-3.05646574880777,0.0023550862292005,0.124916743137762,-1.57539097704246,FALSE
"Q86TY3","High_vs_Control",-0.243406849993219,8.84725532054918,-3.02999154575261,0.00256765983847484,0.124916743137762,-1.64656915007887,FALSE
"P58335","High_vs_Control",0.245357186528835,9.06891161186794,3.00124005303131,0.0028183451122541,0.124916743137762,-1.72319539837842,FALSE
"Q6P4E1","High_vs_Control",-0.235313833382053,11.2987990677628,-3.00097547909099,0.00282075259683563,0.124916743137762,-1.72389725633559,FALSE
"P05543","High_vs_Control",0.302275694130042,9.61578474060375,2.99704679827355,0.00285672385554133,0.124916743137762,-1.73431219732223,FALSE
"P07357","High_vs_Control",0.269836179396922,13.2653744776644,2.94077373471385,0.00342018805859519,0.129432046943894,-1.88205013059593,FALSE
"Q9Y274","High_vs_Control",-0.228347651075834,9.52568151004066,-2.92673664438951,0.0035757253704731,0.129432046943894,-1.9184822535374,FALSE
"P07333","High_vs_Control",-0.267815931941644,11.7107416919824,-2.89464930226274,0.00395578354179083,0.129432046943894,-2.0011309339906,FALSE
"P32942","High_vs_Control",-0.235315425548245,9.77838801341332,-2.8882105876969,0.00403634242028775,0.129432046943894,-2.01760949979092,FALSE
"P31431","High_vs_Control",-0.358556407542441,8.97947961589843,-2.80188367182834,0.00527060333886827,0.153590427977672,-2.23513308403301,FALSE
"Q9Y240","High_vs_Control",-0.254260360176248,12.7172879304592,-2.79220314011162,0.00542835192436679,0.153590427977672,-2.25911515080204,FALSE
"Q12797","High_vs_Control",-0.211933592277347,9.33365917433276,-2.73479375634221,0.00645561986262904,0.172508508551365,-2.39975448981327,FALSE
"P05067","High_vs_Control",-0.37360657906515,11.1199488298907,-2.68626608464708,0.00745747622875195,0.181711664311538,-2.51643750086913,FALSE
"P39059","High_vs_Control",-0.267784365284097,10.3370924022234,-2.65361834915464,0.00820781255483131,0.181711664311538,-2.59378207626015,FALSE
"Q9BUN1","High_vs_Control",-0.319955509518348,11.5226432236128,-2.6439416143686,0.00844291370995335,0.181711664311538,-2.61653333428142,FALSE
"Q14515","High_vs_Control",-0.230020385979705,14.4478341156698,-2.63868805796976,0.00857306540486616,0.181711664311538,-2.62885133573256,FALSE
