"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"P16112","High_vs_Low",-0.485827645913437,10.6192276016162,-4.71324265807059,3.13684058405929e-06,0.00108248872163407,4.24641508963504,TRUE
"P13591","High_vs_Low",-0.377030017430075,13.0415600066814,-4.51711923563145,7.76925139877512e-06,0.00108248872163407,3.41084236439502,TRUE
"P07585","High_vs_Low",-0.303334431128075,12.3218478838271,-4.48550998906409,8.9647415324754e-06,0.00108248872163407,3.27922986182482,TRUE
"O14594","High_vs_Low",-0.338048803475971,11.5404132603241,-4.45092100437543,1.04745002366906e-05,0.00108248872163407,3.1361874986811,TRUE
"O14786","High_vs_Low",-0.293258576953324,14.1057122819407,-4.38218354957767,1.42282153231495e-05,0.00108248872163407,2.85496222143792,TRUE
"Q9Y240","High_vs_Low",-0.379634582288464,12.7172879304592,-4.3597285737192,1.57117647167916e-05,0.00108248872163407,2.76397002288652,TRUE
"P98160","High_vs_Low",-0.331180140853975,12.0119256250694,-4.34822193108021,1.65281894833049e-05,0.00108248872163407,2.71751054111474,TRUE
"Q99983","High_vs_Low",-0.405920109753758,14.0210376603404,-4.32873674378853,1.80039704221882e-05,0.00108248872163407,2.63909626468141,TRUE
"P05090","High_vs_Low",-0.310231470196234,12.5090928069042,-4.25753894379821,2.45407447061583e-05,0.00131156646707357,2.35535479370391,TRUE
"Q92859","High_vs_Low",-0.335777933302136,10.3580887885757,-4.21560097403218,2.93928625536819e-05,0.0014137966888321,2.19026881285864,TRUE
"Q14520","High_vs_Low",-0.344859582489377,17.7652235911754,-4.15161641209787,3.85943272152737e-05,0.00158990389189661,1.94133146745465,TRUE
"Q6UWP8","High_vs_Low",-0.434119086010783,8.86699732756677,-4.12793730534889,4.26490362676821e-05,0.00158990389189661,1.85010634134019,TRUE
"Q06828","High_vs_Low",-0.290548621602927,11.3865768349313,-4.12615346997945,4.2970375456665e-05,0.00158990389189661,1.84325374479773,TRUE
"P35052","High_vs_Low",-0.290024136196072,7.97811099423777,-4.07764267660174,5.26460383583523e-05,0.00159581009544354,1.65796093078749,TRUE
"P49746","High_vs_Low",-0.346564228366676,12.0163436387452,-4.06402268005753,5.5714685205964e-05,0.00159581009544354,1.60630616395603,TRUE
"O15335","High_vs_Low",-0.366008636182293,11.1646172019808,-4.06205184992225,5.61725522957125e-05,0.00159581009544354,1.59884504870816,TRUE
"Q99715","High_vs_Low",-0.320290009890424,10.7379249597153,-4.05448693225302,5.79634604718167e-05,0.00159581009544354,1.57023744213733,TRUE
"O00468","High_vs_Low",-0.276281453354587,10.1802458113195,-4.0472860534957,5.97184651101532e-05,0.00159581009544354,1.54305286405518,TRUE
"Q7LGC8","High_vs_Low",-0.278969044252412,11.0081953095231,-4.01658017492518,6.77844831624315e-05,0.00163881536287283,1.42764081964599,TRUE
"Q9NR99","High_vs_Low",-0.290871863924691,10.2462125740413,-4.01530090014102,6.81420109302631e-05,0.00163881536287283,1.42285036901037,TRUE
"P09603","High_vs_Low",-0.299395117325982,11.5767337196292,-3.97740308320748,7.95826283534409e-05,0.00175489485811297,1.28158504380674,TRUE
"Q0VD83","High_vs_Low",-0.342918078277039,10.4164400313693,-3.97309957295132,8.09912759006701e-05,0.00175489485811297,1.26562303270783,TRUE
"Q9UKM7","High_vs_Low",-0.326302054051277,9.59108330370966,-3.96439261464707,8.3913891344279e-05,0.00175489485811297,1.23337793837222,TRUE
"Q6ZRP7","High_vs_Low",-0.361076103515192,8.45863801831273,-3.9431057868527,9.14857226903027e-05,0.00183352635891815,1.15482465068326,TRUE
"Q13103","High_vs_Low",-0.30571895391865,16.3182058800291,-3.91583369437748,0.000102134742841899,0.00196308665795812,1.05476508605399,TRUE
"P35443","High_vs_Low",-0.352856303425291,15.3802682371216,-3.90633247046278,0.00010611279232206,0.00196308665795812,1.02005905521321,TRUE
"Q9BYH1","High_vs_Low",-0.310548175266486,11.0767575573965,-3.88383375114535,0.000116125406359423,0.00199775489088654,0.938192119022125,TRUE
"Q14515","High_vs_Low",-0.323722684974175,14.4478341156698,-3.88347209773243,0.000116293424001711,0.00199775489088654,0.936879791059082,TRUE
"Q6P4E1","High_vs_Low",-0.2898375651728,11.2987990677628,-3.86540489589138,0.000124985953007193,0.00200866909159147,0.871465965575146,TRUE
"P04004","High_vs_Low",-0.272652972367123,18.311104894547,-3.86481309476592,0.000125280816523376,0.00200866909159147,0.869328157864594,TRUE
"Q5JRA6","High_vs_Low",-0.329167581397352,11.1089883338995,-3.84914582628593,0.000133330400286795,0.00203888837291145,0.812844235327979,TRUE
"P08294","High_vs_Low",-0.314605377643598,9.55487548000719,-3.83979989411722,0.000138362368761521,0.00203888837291145,0.779253052313053,TRUE
"Q9H251","High_vs_Low",-0.340042349521346,10.1743566385053,-3.83704027865871,0.00013988215448249,0.00203888837291145,0.769349149542299,TRUE
"P08493","High_vs_Low",-0.31932544773318,14.5087894097268,-3.82867533810485,0.000144585844112539,0.00204546444170975,0.739369468400676,TRUE
"Q8IUX7","High_vs_Low",-0.291694663019666,10.8583446705053,-3.82083167427975,0.000149131781765834,0.0020494967722676,0.711314068523807,TRUE
"P49747","High_vs_Low",-0.318139621116435,15.0549524769849,-3.78729882712035,0.000170131904832026,0.00227315128400568,0.591985070064325,TRUE
