"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q6EMK4","Low_vs_Control",0.306529480534664,10.3663343732983,4.42691348224417,1.16624577381433e-05,0.00553610118779967,3.05257219763679,TRUE
"P05090","Low_vs_Control",0.324495885047277,12.5090928069042,4.27233425315569,2.30191317580028e-05,0.00553610118779967,2.43506008127981,TRUE
"P58335","Low_vs_Control",0.325900030842005,9.06891161186794,3.99940085368186,7.27377117237659e-05,0.00882451967617597,1.39466761812332,TRUE
"Q9H6X2","Low_vs_Control",0.364567462551566,8.48097339830864,3.99723912091909,7.33847790118584e-05,0.00882451967617597,1.38668359069015,TRUE
"P04278","Low_vs_Control",0.398281612493626,10.6527842920064,3.86437169648169,0.000125501170200818,0.0120732125733187,0.903740721882263,TRUE
"Q9H8L6","Low_vs_Control",0.374462799030914,10.7485586581377,3.81080366030015,0.000155140420098348,0.0124370903445509,0.713378200142182,TRUE
"Q96IY4","Low_vs_Control",0.283058318481842,12.6369758746046,3.77007234319377,0.000181975825791901,0.0125043388865578,0.570310008168983,TRUE
"P04180","Low_vs_Control",0.305152860987066,11.8711718459701,3.71729782774854,0.000223284497794371,0.0129158386369304,0.387099662722896,TRUE
"P15291","Low_vs_Control",0.285542255211285,8.76843422974652,3.67557986080478,0.0002620267970097,0.0129158386369304,0.244001419635605,TRUE
"Q96PD5","Low_vs_Control",0.354389910509507,12.8582879207523,3.66916179227654,0.000268520553782337,0.0129158386369304,0.222122251531227,TRUE
"Q99784","Low_vs_Control",0.303083787875771,8.99926726650334,3.43652733047102,0.000636533995630262,0.0278338956271051,-0.546405359578341,TRUE
"Q76LX8","Low_vs_Control",0.322803697948558,9.86551978752602,3.37283326537522,0.000799601252454445,0.0282294844440377,-0.748465367727948,TRUE
"P07357","Low_vs_Control",0.306556085380358,13.2653744776644,3.35181435158972,0.000861434520342243,0.0282294844440377,-0.8143527280709,TRUE
"P02765","Low_vs_Control",0.355086596740886,17.0126491328544,3.34480684654036,0.000883018386034673,0.0282294844440377,-0.836231474743017,TRUE
"Q86UD1","Low_vs_Control",0.250515337472853,10.3448795806351,3.33894575900512,0.000901456181056036,0.0282294844440377,-0.854497283238724,TRUE
"Q9BYJ0","Low_vs_Control",0.349889407923625,10.4278262147083,3.3199597788953,0.000963668224150512,0.0282294844440377,-0.913455922280423,TRUE
"P02751","Low_vs_Control",0.309267385612429,13.8064220105094,3.3100460738426,0.00099771566642129,0.0282294844440377,-0.944113946462591,TRUE
"P09619","Low_vs_Control",0.327188568352497,10.0526943388665,3.22482071020531,0.00133997736309091,0.0358071728692627,-1.20405084442828,TRUE
"Q8TER0","Low_vs_Control",0.28467919168852,9.20717810656895,3.19313387544678,0.00149285311338368,0.0377927551335553,-1.29903808592774,TRUE
"Q5JRA6","Low_vs_Control",0.277860902942141,11.1089883338995,3.11715215824234,0.00192738614126299,0.046353636697375,-1.52313829364499,TRUE
"P01009","Low_vs_Control",0.292439617831382,15.066071405462,3.07985354237232,0.0021808685431987,0.0499522747275511,-1.63124811937733,TRUE
"Q9NQ79","Low_vs_Control",0.251469013092231,12.4205866055037,3.03725770357987,0.00250762924774441,0.0548258940075027,-1.7531797239284,FALSE
"Q6YHK3","Low_vs_Control",0.257375184199189,9.54395502397012,3.00289381069673,0.00280333937492633,0.0586263582321549,-1.85035482773648,FALSE
"P02753","Low_vs_Control",0.414899231552617,12.7428919981947,2.98094517629592,0.00300860618650425,0.0590053886479984,-1.9118689499877,FALSE
"O00391","Low_vs_Control",0.269538943251728,10.4747569374785,2.96575651407156,0.00315856330034638,0.0590053886479984,-1.95417377470493,FALSE
"P07360","Low_vs_Control",0.34701512937127,11.6507440094732,2.96270770553655,0.00318948046745937,0.0590053886479984,-1.96264148735893,FALSE
"P12111","Low_vs_Control",0.211808818859675,9.63917569220986,2.93801086076664,0.00345030479828937,0.0591063449424044,-2.03092422292598,FALSE
"P02671","Low_vs_Control",0.371705683747635,16.1605282045091,2.93401460365586,0.00349432089266467,0.0591063449424044,-2.04192612331022,FALSE
"Q13740","Low_vs_Control",0.271817105827052,10.0373851217156,2.9241915555273,0.00360460768439471,0.0591063449424044,-2.06889150817582,FALSE
"Q9UKU9","Low_vs_Control",0.316201618796176,10.8524297525899,2.90455287015523,0.00383472871442547,0.0591063449424044,-2.12254950406445,FALSE
"P55290","Low_vs_Control",0.241878634872645,10.6100003232899,2.9004592016088,0.00388435183006329,0.0591063449424044,-2.13369046326101,FALSE
"P02786","Low_vs_Control",0.286201731536893,11.0945437943766,2.88322978911754,0.00409968183241242,0.0591063449424044,-2.18041398191453,FALSE
"P08253","Low_vs_Control",0.284966482955229,10.0067525674466,2.88047110521197,0.00413515124193939,0.0591063449424044,-2.18787011208117,FALSE
"P01871","Low_vs_Control",0.357612133019021,16.5502013049158,2.87716967980713,0.00417799527659407,0.0591063449424044,-2.19678845682173,FALSE
"Q9UJJ9","Low_vs_Control",0.253992572900932,9.88353673564591,2.85906609407428,0.00441999473183871,0.0598076111729455,-2.24548867818499,FALSE
"P02679","Low_vs_Control",0.274033181754881,16.7947678506265,2.85498793299093,0.00447624532687326,0.0598076111729455,-2.25641922893823,FALSE
"Q4LDE5","Low_vs_Control",0.321458273659021,10.6076096730931,2.78612273595043,0.00552967321314779,0.0693743291727348,-2.43871471220806,FALSE
"P00738","Low_vs_Control",0.602474258739459,14.4818798965806,2.78101313817183,0.00561642977562985,0.0693743291727348,-2.45209987036783,FALSE
"P03952","Low_vs_Control",0.254440561707682,13.4525817248286,2.78049663133325,0.00562494560860012,0.0693743291727348,-2.45341725614701,FALSE
"P33151","Low_vs_Control",0.249609302515486,11.9755936829786,2.75834627384729,0.00601464208266566,0.0723260710440546,-2.51102218107061,FALSE
"Q9HDC9","Low_vs_Control",0.28820399762972,13.598423170542,2.72906937697004,0.00656711257224868,0.0757138426093327,-2.58647499021008,FALSE
"P46940","Low_vs_Control",0.374215146995974,9.73664473237261,2.72684281258441,0.00661118792014963,0.0757138426093327,-2.59220283503432,FALSE
"Q14126","Low_vs_Control",0.257674093549955,10.1360289382692,2.71503738363549,0.00684779274865143,0.0765997281884032,-2.62236149614146,FALSE
"P08294","Low_vs_Control",0.231052409960887,9.55487548000719,2.70542939387743,0.00704616766382983,0.0770274237795943,-2.64683014787405,FALSE
"P80108","Low_vs_Control",0.210027720095674,13.9926130962551,2.69005807413324,0.00737431746089722,0.0788232599709236,-2.68580111263041,FALSE
"P01011","Low_vs_Control",0.254908028135519,12.4322410209453,2.68242898054702,0.00754223628612858,0.0788655576875619,-2.70506311018944,FALSE
"P12109","Low_vs_Control",0.221894881596123,9.44232007752995,2.66925880747526,0.00784022295474114,0.0794565075725708,-2.73819022069201,FALSE
"P33908","Low_vs_Control",0.218154024601802,10.7925896868047,2.66541640904242,0.00792913173281372,0.0794565075725708,-2.7478252072159,FALSE
"P01024","Low_vs_Control",0.283772241296191,12.8690672400851,2.65282256405392,0.008226922439767,0.080758157010774,-2.77931028959259,FALSE
"Q9Y4L1","Low_vs_Control",0.226201315385074,8.97105158380125,2.63944043135537,0.00855431639940252,0.0822925237622522,-2.81260729055433,FALSE
"Q96EE4","Low_vs_Control",0.193094733046598,8.58773230347274,2.62872856005423,0.00882474937564118,0.0832294990134001,-2.83914225894523,FALSE
"P06312","Low_vs_Control",0.41957737872599,12.0200099772002,2.61742195358569,0.00911886608390902,0.0835543417940132,-2.86706012945592,FALSE
"P02745","Low_vs_Control",0.480371828317502,11.1660501725861,2.61410773485477,0.0092066114658684,0.0835543417940132,-2.87521429111822,FALSE
"P19652","Low_vs_Control",0.48060367741091,13.5509536726081,2.58379521646632,0.0100448857176825,0.088921126922387,-2.94932749621756,FALSE
"O75340","Low_vs_Control",0.254534189125021,8.92749489220785,2.57452042627234,0.0103142495915529,0.088921126922387,-2.97181428666703,FALSE
"Q9UHG3","Low_vs_Control",0.189462494952842,10.6741638976403,2.57238726241506,0.0103772021790868,0.088921126922387,-2.97698009130359,FALSE
"P01591","Low_vs_Control",0.343119457109131,10.7534476961789,2.54452504508892,0.0112315651821322,0.088921126922387,-3.0440725309421,FALSE
"P19320","Low_vs_Control",0.14856410638949,10.0822398176976,2.54229238048728,0.011302609759856,0.088921126922387,-3.04941534742285,FALSE
"P07225","Low_vs_Control",0.243248019967133,14.80708803435,2.53286227563344,0.0116073374577529,0.088921126922387,-3.07194177204072,FALSE
"Q8WWZ8","Low_vs_Control",0.537974671462804,10.3959110692191,2.5233939875148,0.0119210724751989,0.088921126922387,-3.09449706219056,FALSE
"P05543","Low_vs_Control",0.253663083129867,9.61578474060375,2.52322597486088,0.011926259289066,0.088921126922387,-3.09487648793666,FALSE
"Q14624","Low_vs_Control",0.293918580310345,15.3913001162041,2.52163976309137,0.0119794967351055,0.088921126922387,-3.09864355860934,FALSE
"P02787","Low_vs_Control",0.484021925710769,13.0689381564924,2.51796181532903,0.0121041952797957,0.088921126922387,-3.1073888950209,FALSE
"P55058","Low_vs_Control",0.247762702166586,14.1603260055939,2.5144212733464,0.0122244461635879,0.088921126922387,-3.11575748127839,FALSE
"P07358","Low_vs_Control",0.202910420837423,12.6829791610266,2.50916559443585,0.0124055800339583,0.088921126922387,-3.12818779852101,FALSE
"P14314","Low_vs_Control",0.167831860621098,12.3645363561711,2.50807924983686,0.0124433162171416,0.088921126922387,-3.13075397311407,FALSE
"P35443","Low_vs_Control",0.235904747822067,15.3802682371216,2.50548182222904,0.0125339562557761,0.088921126922387,-3.13688525206688,FALSE
"Q02952","Low_vs_Control",0.241215531480101,10.8424876721318,2.50243092048879,0.0126411691616769,0.088921126922387,-3.14407905556923,FALSE
"Q99983","Low_vs_Control",0.244043898517971,14.0210376603404,2.49673133827189,0.012843643553069,0.088921126922387,-3.15749535838029,FALSE
"P23142","Low_vs_Control",0.306827687550769,12.8767889188737,2.49402732988433,0.0129407045417195,0.088921126922387,-3.16384991751779,FALSE
"P35858","Low_vs_Control",0.213945390578138,12.4726178298046,2.48730989681942,0.0131846502313203,0.089321362834719,-3.17960717007683,FALSE
"P22352","Low_vs_Control",0.312390846506815,11.9538249521091,2.45266875609743,0.0145085146680813,0.0969249382687096,-3.26020758610339,FALSE
"Q8IUL8","Low_vs_Control",0.226197093453185,7.80778526917754,2.44521509569699,0.0148082803815133,0.09737322189405,-3.27740599472825,FALSE
"Q9HCU0","Low_vs_Control",0.212036148656479,14.1819509543834,2.44099307699812,0.0149804956760077,0.09737322189405,-3.28712511843634,FALSE
"P08571","Low_vs_Control",0.201546818550558,12.3595402191225,2.41397878943778,0.0161248751684816,0.103414199413862,-3.34892407615249,FALSE
