"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q92696","High_vs_Control_in_HighStress",-0.811656650091942,9.20255972567773,-4.9117786555635,1.24334968981969e-06,0.00178296345520143,4.96648503028304,TRUE
"O60704","High_vs_Control_in_HighStress",-0.593164092278469,8.00567400083972,-4.00630613621266,7.09480175792813e-05,0.0304684170299453,1.41840484493057,TRUE
"Q6ZN30","High_vs_Control_in_HighStress",-0.578648759503052,15.4410483494086,-3.99594957752024,7.42051427709356e-05,0.0304684170299453,1.38214387134678,TRUE
"Q15758","High_vs_Control_in_HighStress",-0.713055385386016,7.40097123466772,-3.96635445617798,8.49886109621906e-05,0.0304684170299453,1.25708446649855,TRUE
"P09326","High_vs_Control_in_HighStress",-0.609664028053571,8.27252669852262,-3.65848144233959,0.000281129396647551,0.0612603060153256,0.22332156839998,FALSE
"P09486","High_vs_Control_in_HighStress",-0.749408370995168,10.4959586609223,-3.62014845669953,0.000323445097446122,0.0612603060153256,0.101311490329167,FALSE
"O75752","High_vs_Control_in_HighStress",-0.357727018881482,9.08650774546357,-3.61955782137198,0.00032428222696208,0.0612603060153256,0.0991163299133397,FALSE
"P07359","High_vs_Control_in_HighStress",-0.431859366609988,17.2216117069061,-3.60402671808464,0.000343666393355215,0.0612603060153256,0.0487620563544233,FALSE
"Q9Y274","High_vs_Control_in_HighStress",-0.440677630212958,9.52568151004066,-3.57403338391846,0.000384478908045976,0.0612603060153256,-0.0484110766362242,FALSE
"P05386","High_vs_Control_in_HighStress",-0.605479806541846,8.52301341331791,-3.39174088127718,0.000750500210121226,0.088218107593336,-0.620625069541942,FALSE
"O14594","High_vs_Control_in_HighStress",-0.423232307584602,11.5404132603241,-3.37904146684418,0.000782345236466628,0.088218107593336,-0.661328998171713,FALSE
"Q06481","High_vs_Control_in_HighStress",-0.701807802758845,9.1611703024845,-3.3594678595172,0.000838747587485237,0.088218107593336,-0.721142823390138,FALSE
"P04264","High_vs_Control_in_HighStress",-0.581888209694196,16.7632817540826,-3.31311863041994,0.000987282017174866,0.088218107593336,-0.861133815370984,FALSE
"P07333","High_vs_Control_in_HighStress",-0.479423506773099,11.7107416919824,-3.29028535110919,0.00106918726062486,0.088218107593336,-0.92946234845484,FALSE
"P01893","High_vs_Control_in_HighStress",-0.444826126897778,9.66724335282846,-3.28864516348915,0.00107544268310797,0.088218107593336,-0.934441037985255,FALSE
"P02760","High_vs_Control_in_HighStress",-0.286709952164101,15.7761766532437,-3.2859439979263,0.00108545627303004,0.088218107593336,-0.942402741632448,FALSE
"Q15582","High_vs_Control_in_HighStress",-0.430619438332037,10.6948285205239,-3.28303516907087,0.00109648512045431,0.088218107593336,-0.95106403157912,FALSE
"Q969P0","High_vs_Control_in_HighStress",-0.493082380003127,6.55218704633007,-3.27503070643096,0.00114006794050743,0.088218107593336,-0.971635257119688,FALSE
"Q12797","High_vs_Control_in_HighStress",-0.399957476579102,9.33365917433276,-3.26459379980963,0.00116885916615996,0.088218107593336,-1.00580415040945,FALSE
"P05067","High_vs_Control_in_HighStress",-0.711666320086819,11.1199488298907,-3.24919112422143,0.00123267459430577,0.0883827684117239,-1.0512983566308,FALSE
"A0A087WSY6","High_vs_Control_in_HighStress",-0.955402626892914,11.7972508648719,-3.22285712857242,0.00137717515594141,0.093445079546721,-1.12811435109724,FALSE
"P11362","High_vs_Control_in_HighStress",-0.597685591473972,8.7918583621456,-3.20558828880622,0.00143360652024258,0.093445079546721,-1.17608318782602,FALSE
"Q9Y6C2","High_vs_Control_in_HighStress",-0.609563204513258,10.4729699752306,-3.12500247542838,0.00187798112297713,0.109713859488425,-1.41057527678819,FALSE
"P17927","High_vs_Control_in_HighStress",-0.512578637214705,7.51328681995119,-3.12308886562231,0.00189497261603066,0.109713859488425,-1.41020263017147,FALSE
"O00468","High_vs_Control_in_HighStress",-0.351226839814103,10.1802458113195,-3.11528252881888,0.00193978791481462,0.109713859488425,-1.43812826157316,FALSE
"P31431","High_vs_Control_in_HighStress",-0.624037830330106,8.97947961589843,-3.08312719845453,0.00215784873968881,0.109713859488425,-1.52869089673388,FALSE
"Q14515","High_vs_Control_in_HighStress",-0.421391557135891,14.4478341156698,-3.06243130903785,0.0023098890369025,0.109713859488425,-1.58650133580304,FALSE
"Q9UKN7","High_vs_Control_in_HighStress",-0.466505364288482,11.8195973813472,-3.06218609202504,0.00231242612574091,0.109713859488425,-1.58737723099034,FALSE
"Q14956","High_vs_Control_in_HighStress",-0.501317523395733,8.13264599466575,-3.04849447410874,0.00242306999781553,0.109713859488425,-1.61731782474918,FALSE
"Q9NPA2","High_vs_Control_in_HighStress",-0.735379759430712,8.9381816023975,-3.05095282881379,0.0024270149816176,0.109713859488425,-1.61681114569432,FALSE
"Q9BUN1","High_vs_Control_in_HighStress",-0.578987349752806,11.5226432236128,-3.04175544074265,0.00247155226467575,0.109713859488425,-1.64388192009426,FALSE
"Q9Y240","High_vs_Control_in_HighStress",-0.437021209859326,12.7172879304592,-3.03785443972268,0.0025031941992195,0.109713859488425,-1.6546662159559,FALSE
"P32942","High_vs_Control_in_HighStress",-0.391647099578929,9.77838801341332,-3.03521715636957,0.00252479592964994,0.109713859488425,-1.66194942659103,FALSE
"P04062","High_vs_Control_in_HighStress",-0.491826471437604,7.18750937518443,-3.02522117935811,0.00262288686999287,0.110624110928523,-1.66797229337017,FALSE
"Q15517","High_vs_Control_in_HighStress",-1.27452979565429,10.6970786590595,-3.01163682042095,0.00273087126923124,0.111467122041328,-1.71877671881241,FALSE
"Q15389","High_vs_Control_in_HighStress",-0.641735863407328,7.65861191198878,-2.99280529421757,0.00290930079208228,0.111467122041328,-1.77284277804932,FALSE
"Q8TC71","High_vs_Control_in_HighStress",-0.668260239135586,12.7714126731029,-2.99197179372155,0.00293076964654652,0.111467122041328,-1.76110687065495,FALSE
"Q9H1B5","High_vs_Control_in_HighStress",-0.550887332166862,8.72378670887137,-2.98671718153056,0.00295380100248987,0.111467122041328,-1.79480266693704,FALSE
"Q12841","High_vs_Control_in_HighStress",-0.582234303577504,8.81065901590332,-2.97228260462463,0.00309516605471591,0.113806874934939,-1.83091548441695,FALSE
"Q9Y625","High_vs_Control_in_HighStress",-0.441828489387582,8.46083034028952,-2.95388698633226,0.00328563755367314,0.117469260877106,-1.88044015425961,FALSE
"Q9UKM7","High_vs_Control_in_HighStress",-0.400098573604591,9.59108330370966,-2.94654235601954,0.00335860508783916,0.117469260877106,-1.90328969610011,FALSE
"A1L4H1","High_vs_Control_in_HighStress",-0.439528826547376,11.5110008924975,-2.92625555693425,0.00358171548707416,0.121718813885059,-1.95753324260807,FALSE
"P05362","High_vs_Control_in_HighStress",-0.358641402195568,9.51469582533687,-2.91658444124637,0.00369276545213998,0.121718813885059,-1.98326492675751,FALSE
"P39060","High_vs_Control_in_HighStress",-0.374101220165711,14.1331964245221,-2.90201160004566,0.00386603822486615,0.121718813885059,-2.02188320940454,FALSE
"P29122","High_vs_Control_in_HighStress",-0.606824444023928,8.91942889893034,-2.9001083537715,0.00389335246665049,0.121718813885059,-2.0275817947891,FALSE
"Q16363","High_vs_Control_in_HighStress",-0.532221905419561,7.94111359494882,-2.89890806106183,0.00390450867413717,0.121718813885059,-2.03018404025063,FALSE
"Q92823","High_vs_Control_in_HighStress",-0.447088367173968,8.66771758471406,-2.86428192206862,0.00434960370164254,0.132709185279902,-2.12099947648013,FALSE
"Q15166","High_vs_Control_in_HighStress",-0.315746934884867,16.1902261268496,-2.85011465658665,0.00454494708054675,0.135361982941026,-2.15789336194763,FALSE
"Q10472","High_vs_Control_in_HighStress",-0.333279053913685,8.97031374351362,-2.84446853825904,0.00462533972392626,0.135361982941026,-2.1725935250465,FALSE
"P20701","High_vs_Control_in_HighStress",-0.379032782673361,8.57395550348174,-2.82613303647458,0.0048938524195548,0.139858704086139,-2.21994232262119,FALSE
"Q08380","High_vs_Control_in_HighStress",-0.367518135792466,16.369462900768,-2.81039998702276,0.00513576890827965,0.139858704086139,-2.26037381208965,FALSE
"Q86YZ3","High_vs_Control_in_HighStress",-0.543240145684491,8.67645995600954,-2.80285076192143,0.00525639975933091,0.139858704086139,-2.2797828298633,FALSE
"P02538","High_vs_Control_in_HighStress",-0.51508126544541,14.7975265149345,-2.79451437012478,0.0053909795278522,0.139858704086139,-2.30097577308903,FALSE
"P61225","High_vs_Control_in_HighStress",-0.5965411597853,9.61389651361654,-2.78884579429491,0.00549108603791472,0.139858704086139,-2.31497310334992,FALSE
"Q13201","High_vs_Control_in_HighStress",-0.669548669811444,13.5818124872409,-2.78456638406329,0.00555659156848324,0.139858704086139,-2.32628833803207,FALSE
"P05186","High_vs_Control_in_HighStress",-0.475731486958422,6.64416715983363,-2.78529868972315,0.00559610612400477,0.139858704086139,-2.29988651473141,FALSE
"Q92859","High_vs_Control_in_HighStress",-0.366363404342934,10.3580887885757,-2.77903757510265,0.00565061180285742,0.139858704086139,-2.34031856076626,FALSE
"P49641","High_vs_Control_in_HighStress",-0.360443564984774,9.51224490637486,-2.76910472710491,0.0058231474678035,0.139858704086139,-2.36545689056743,FALSE
"P08637","High_vs_Control_in_HighStress",-0.431747216016474,8.7004582362767,-2.76846235376087,0.00583526080433112,0.139858704086139,-2.36523457050503,FALSE
"Q9NYQ6","High_vs_Control_in_HighStress",-0.427869458357335,8.54993929967085,-2.76476917633107,0.0059003374226903,0.139858704086139,-2.37644250130192,FALSE
"P13591","High_vs_Control_in_HighStress",-0.380576901260396,13.0415600066814,-2.76200590013018,0.00594935909989851,0.139858704086139,-2.38336938345358,FALSE
"O75787","High_vs_Control_in_HighStress",-0.421865536752232,9.87541007003625,-2.74647583040474,0.00623413207120203,0.141126816808506,-2.42240113511456,FALSE
"P51888","High_vs_Control_in_HighStress",-0.439447645186879,7.70211132190347,-2.74466437749638,0.00627537141802293,0.141126816808506,-2.42138956161282,FALSE
"P11049","High_vs_Control_in_HighStress",-0.434136104606551,11.2024668889406,-2.7398631064632,0.00635991419006721,0.141126816808506,-2.43784879518656,FALSE
"O75170","High_vs_Control_in_HighStress",-0.771319452808021,8.82842364059505,-2.74061003336072,0.00639696171028794,0.141126816808506,-2.39939340094753,FALSE
"P12955","High_vs_Control_in_HighStress",-0.727614007205003,6.63270649251086,-2.73149952283497,0.00660297309534455,0.143464597253395,-2.40155692149905,FALSE
"Q9NRB3","High_vs_Control_in_HighStress",-0.434839775714581,9.56108809663708,-2.71989349383463,0.00675024998925838,0.144475499770097,-2.48871552127634,FALSE
"P04004","High_vs_Control_in_HighStress",-0.314004058800279,18.311104894547,-2.70048715092245,0.00715103192397532,0.150802643808538,-2.53673316027425,FALSE
"Q86TY3","High_vs_Control_in_HighStress",-0.342750587161142,8.84725532054918,-2.68488668555915,0.00748861066925681,0.154083689318281,-2.57509196786019,FALSE
"P00736","High_vs_Control_in_HighStress",-0.417071043788155,15.7427185587393,-2.67980411261648,0.00760164854861945,0.154083689318281,-2.5875425493481,FALSE
"P04899","High_vs_Control_in_HighStress",-0.371667409148159,8.5584318587257,-2.67860636396926,0.00762896927587025,0.154083689318281,-2.5905081875281,FALSE
"P35908","High_vs_Control_in_HighStress",-0.551881267633899,14.6817118010482,-2.67107958613006,0.0077992657688723,0.155335376563373,-2.60886129661676,FALSE
"Q14517","High_vs_Control_in_HighStress",-0.44403593101109,10.1621116505705,-2.66154313997726,0.00802054357744465,0.156705368904076,-2.63208680522118,FALSE
"Q9HCN6","High_vs_Control_in_HighStress",-0.402282946105448,9.22838133052995,-2.65698643921547,0.00813065229048925,0.156705368904076,-2.6394406391425,FALSE
"P01019","High_vs_Control_in_HighStress",-0.317297693939611,15.1860369171155,-2.65254819064082,0.00823440631364718,0.156705368904076,-2.6539196114098,FALSE
"P22735","High_vs_Control_in_HighStress",-0.801638156263916,8.92787899244459,-2.65089009793234,0.00830516599491616,0.156705368904076,-2.6186537929463,FALSE
"Q9UQ53","High_vs_Control_in_HighStress",-0.365352818845868,7.21874821200604,-2.61790457539188,0.0091233815147013,0.166031172122683,-2.73435388046055,FALSE
"P23229","High_vs_Control_in_HighStress",-0.414235575728144,9.94467402587353,-2.60535557510854,0.00944253634628713,0.166031172122683,-2.76729024033339,FALSE
"P01876","High_vs_Control_in_HighStress",-0.593795183993716,15.9423771207632,-2.60360564707014,0.00949023716103539,0.166031172122683,-2.77145605544399,FALSE
"P14923","High_vs_Control_in_HighStress",-0.603283617278164,9.01345856411896,-2.60081276065836,0.00956890625454225,0.166031172122683,-2.77552824656779,FALSE
"P13647","High_vs_Control_in_HighStress",-0.570184501699002,12.5492825171657,-2.59887195122462,0.00962035356958919,0.166031172122683,-2.78271128369252,FALSE
"P0DOX2","High_vs_Control_in_HighStress",-0.59035779182809,15.3709035027304,-2.59703133311602,0.00967137631175882,0.166031172122683,-2.78708231330525,FALSE
"P05089","High_vs_Control_in_HighStress",-0.536330453662313,9.06051742196426,-2.59601454465357,0.00970499663540385,0.166031172122683,-2.78268664750269,FALSE
"P12110","High_vs_Control_in_HighStress",-0.363491185205,8.96326542801048,-2.59510081610932,0.00972567535446676,0.166031172122683,-2.78944891284291,FALSE
"O43852","High_vs_Control_in_HighStress",-0.508330682489827,11.7898510912097,-2.58721509599596,0.00994759388240926,0.167572901621028,-2.81034268571679,FALSE
"Q14242","High_vs_Control_in_HighStress",-0.324543805511054,12.0745274897736,-2.58289522473869,0.0100713676398356,0.167572901621028,-2.82055182874602,FALSE
"Q92187","High_vs_Control_in_HighStress",-0.305000301097122,10.9889736113409,-2.57960513193202,0.0101665567929076,0.167572901621028,-2.82831616742685,FALSE
"P47929","High_vs_Control_in_HighStress",-0.728764244437627,8.1360520669455,-2.57188795414692,0.0104443424407687,0.170195307500708,-2.79145133465504,FALSE
"P07355","High_vs_Control_in_HighStress",-0.378218308335059,9.09851511318522,-2.55668435012312,0.0108522918939331,0.17347534469888,-2.88214008381641,FALSE
