"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"P01709","High_vs_Control_in_HighTemperature",1.06787199443173,11.8409095849418,4.25350971222298,2.51470557371532e-05,0.0120967078491836,2.35851120308818,TRUE
"P01602","High_vs_Control_in_HighTemperature",0.866408817809975,8.47720281618991,4.17723409276704,3.59315687909957e-05,0.0120967078491836,2.03050433719867,TRUE
"P00738","High_vs_Control_in_HighTemperature",1.15841804265094,14.4818798965806,4.14021723062748,4.05202267844465e-05,0.0120967078491836,1.931506116975,TRUE
"P43652","High_vs_Control_in_HighTemperature",0.919879073464267,12.1597625545238,4.13985296098965,4.05825426680863e-05,0.0120967078491836,1.93013063155068,TRUE
"P02747","High_vs_Control_in_HighTemperature",0.90011745797837,12.4027070874143,4.1186984276406,4.43620851899077e-05,0.0120967078491836,1.85044446295898,TRUE
"Q5VU65","High_vs_Control_in_HighTemperature",1.14511538560014,11.1033428096121,4.091945075012,5.06138403731532e-05,0.0120967078491836,1.73256970656517,TRUE
"A0A0C4DH34","High_vs_Control_in_HighTemperature",0.856250479608599,9.26274418042485,3.9745675839962,8.14316415855867e-05,0.0166818534333902,1.31056588924,TRUE
"O75636","High_vs_Control_in_HighTemperature",0.80669705890284,11.3094926594842,3.93654771129557,9.39883520331708e-05,0.0168474121019459,1.18010615490642,TRUE
"P02745","High_vs_Control_in_HighTemperature",0.900757219979678,11.1660501725861,3.80350448803479,0.000159720355787376,0.0254487766887886,0.708477514105996,TRUE
"P02746","High_vs_Control_in_HighTemperature",0.891452170267728,11.5328830290063,3.75260623423563,0.000194848970178574,0.0269353134260734,0.532086275592782,TRUE
"A0A075B6J9","High_vs_Control_in_HighTemperature",0.932449705961641,9.23374051793308,3.73435681914126,0.000210905562297279,0.0269353134260734,0.466968508139761,TRUE
"P11226","High_vs_Control_in_HighTemperature",0.877935288031308,9.37016905630677,3.71005190423411,0.000229729905177405,0.0269353134260734,0.386185863861646,TRUE
"Q9Y6R7","High_vs_Control_in_HighTemperature",0.781626017098194,7.13559313482618,3.67888123454173,0.000265766224043591,0.0269353134260734,0.271922921087072,TRUE
"P05543","High_vs_Control_in_HighTemperature",0.476226300575789,9.61578474060375,3.6553602081873,0.000283097997038776,0.0269353134260734,0.201316566904554,TRUE
"Q14203","High_vs_Control_in_HighTemperature",0.613998540933261,9.90182600939197,3.64600332914621,0.000293994205313373,0.0269353134260734,0.171493111580197,TRUE
"A0A0A0MS15","High_vs_Control_in_HighTemperature",0.82294169511227,10.9331869761128,3.63974600427473,0.000300533483136105,0.0269353134260734,0.149164429211567,TRUE
"P04217","High_vs_Control_in_HighTemperature",1.06619843263769,12.4061879138691,3.61181319975439,0.000333756195107925,0.0269857004246581,0.055861602832608,TRUE
"A0A0C4DH38","High_vs_Control_in_HighTemperature",0.857798375759993,9.60975575879872,3.60953547267566,0.0003387326413137,0.0269857004246581,0.0488497478674317,TRUE
"A2NJV5","High_vs_Control_in_HighTemperature",0.630537443000058,11.2133011808804,3.5610292212132,0.000403549529054693,0.0304573697191805,-0.111678319850649,TRUE
"P35858","High_vs_Control_in_HighTemperature",0.388839062641873,12.4726178298046,3.51526188046873,0.000477948693487152,0.0317429820174154,-0.260738162003738,TRUE
"P01031","High_vs_Control_in_HighTemperature",0.54051109935315,11.1023038508442,3.50888831375609,0.000489273593207088,0.0317429820174154,-0.281350907697719,TRUE
"P07357","High_vs_Control_in_HighTemperature",0.414137844860795,13.2653744776644,3.50154325395801,0.000502635804570347,0.0317429820174154,-0.305061448742797,TRUE
"A0A0C4DH25","High_vs_Control_in_HighTemperature",0.802998540152718,10.4729718583652,3.4995111397793,0.000509127326639159,0.0317429820174154,-0.302452974765791,TRUE
"P01700","High_vs_Control_in_HighTemperature",0.753453507625611,12.3474401941656,3.47350202386407,0.000556850615462117,0.0332718242738615,-0.39514653890772,TRUE
"P0DP02","High_vs_Control_in_HighTemperature",0.595472887652264,12.1586038216111,3.45818905897956,0.000588715800616166,0.0337687383233433,-0.444049882470856,TRUE
"A0A0B4J1Y8","High_vs_Control_in_HighTemperature",0.895509385282335,9.13237845357707,3.44012605343369,0.000634014973756928,0.0342659616610921,-0.491989172427599,TRUE
"A0A075B6P5;P01615","High_vs_Control_in_HighTemperature",0.722157667035379,9.76705372042536,3.43014198191492,0.000652216210370714,0.0342659616610921,-0.529165880895987,TRUE
"P01597;P04432","High_vs_Control_in_HighTemperature",0.605486291517755,8.9481176277079,3.41686844600776,0.000686332192807142,0.0342659616610921,-0.570156689942666,TRUE
"A0A0B4J1X5","High_vs_Control_in_HighTemperature",0.84592992618958,12.4634443026714,3.41315747444825,0.000692965751863089,0.0342659616610921,-0.586245412684482,TRUE
"A0A0C4DH43","High_vs_Control_in_HighTemperature",1.06870942812294,9.49687330696305,3.40389349563212,0.000721490367548901,0.0344872395688375,-0.612159813135927,TRUE
"P06681","High_vs_Control_in_HighTemperature",0.784683767132837,10.8469637887999,3.37524543263987,0.000792978800299801,0.0357671130449763,-0.705359261961532,TRUE
"P08185","High_vs_Control_in_HighTemperature",0.631168545381966,10.3594173246589,3.37107820780386,0.00080480697213509,0.0357671130449763,-0.718328248223409,TRUE
"P05160","High_vs_Control_in_HighTemperature",0.642066616114406,10.9060281251502,3.36478547252878,0.000823092559612424,0.0357671130449763,-0.737092130264016,TRUE
"P02787","High_vs_Control_in_HighTemperature",0.829441116607182,13.0689381564924,3.34066130849386,0.000896243784295455,0.0366316258282062,-0.812526562653688,TRUE
"A0A0B4J1U7","High_vs_Control_in_HighTemperature",0.779287513105873,11.1591869462795,3.33163035370147,0.000927085250815052,0.0366316258282062,-0.833013052403355,TRUE
"Q96PD5","High_vs_Control_in_HighTemperature",0.414221821309471,12.8582879207523,3.32592737067716,0.000943925991589229,0.0366316258282062,-0.857862993230223,TRUE
"P22352","High_vs_Control_in_HighTemperature",0.544112063643139,11.9538249521091,3.32555306499717,0.000945167472554832,0.0366316258282062,-0.85901224042446,TRUE
"P02750","High_vs_Control_in_HighTemperature",1.01985093649695,9.85234448009057,3.30700468629608,0.00100862253524619,0.0380622293563959,-0.915807280637914,TRUE
"P01717","High_vs_Control_in_HighTemperature",0.769140909847915,11.3416003913519,3.27663511587052,0.00112111785831958,0.0392451601748299,-1.00814282359346,TRUE
"P09172","High_vs_Control_in_HighTemperature",0.702536440563713,7.24204373062721,3.27842502417157,0.00112470327726361,0.0392451601748299,-0.993984530082711,TRUE
