"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q93098","Interaction_Low",1.07978182281229,11.138634560808,3.59047163746352,0.000366687796335637,0.166079605997525,-0.147418590818433,FALSE
"O75752","Interaction_Low",0.431666324395859,9.08650774546357,3.43180447046538,0.00064783676155537,0.166079605997525,-0.545243847400997,FALSE
"Q86WI1","Interaction_Low",0.824780341008475,9.4720873850835,3.40256475304616,0.000719355780268715,0.166079605997525,-0.630066616084494,FALSE
"Q16706","Interaction_Low",0.441792765538485,9.45858734553247,3.37432185752981,0.000795586215597963,0.166079605997525,-0.711544994587809,FALSE
"P07711","Interaction_Low",0.730501223417948,8.22085501050504,3.368735203001,0.000814095359412928,0.166079605997525,-0.740080283060063,FALSE
"Q9NYQ6","Interaction_Low",0.66152868333738,8.54993929967085,3.358666342265,0.000841131131544553,0.166079605997525,-0.756527622473727,FALSE
"P17927","Interaction_Low",0.679747411939498,7.51328681995119,3.30758848402682,0.00100982730549317,0.166079605997525,-0.910076902773087,FALSE
"O00194","Interaction_Low",2.04583995387889,9.5028155653184,3.24362159331079,0.00126324555479985,0.166079605997525,-1.09993321853631,FALSE
"Q9UNW1","Interaction_Low",0.608816216982381,10.2503186421278,3.22931882761464,0.00131977743856485,0.166079605997525,-1.11967486729199,FALSE
"Q9UQ53","Interaction_Low",0.578963746146004,7.21874821200604,3.21390286773156,0.00139655308630784,0.166079605997525,-1.1718418543874,FALSE
"P51888","Interaction_Low",0.646703503417497,7.70211132190347,3.17731094527412,0.00157848538215062,0.166079605997525,-1.2672434744949,FALSE
"Q6ZN30","Interaction_Low",0.591026745410288,15.4410483494086,3.174605375899,0.00159354732988542,0.166079605997525,-1.27725177749879,FALSE
"A0A0B4J1U7","Interaction_Low",1.13310562811848,11.1591869462795,3.15315122245662,0.0017119335414303,0.166079605997525,-1.33186630204374,FALSE
"Q9BY76","Interaction_Low",0.746872713815703,8.04806467104058,3.15141185025895,0.0017237653181999,0.166079605997525,-1.33824815650222,FALSE
"Q96IY4","Interaction_Low",0.473876374449333,12.6369758746046,3.14828563887415,0.00173723437235904,0.166079605997525,-1.34029508988644,FALSE
"P0DOX2","Interaction_Low",0.89831846053532,15.3709035027304,3.10500858469742,0.00200714948215855,0.17341193712091,-1.45592192001713,FALSE
"O14498","Interaction_Low",0.535896567039855,8.01457649874124,3.09752004980768,0.00206664688836262,0.17341193712091,-1.48845112146894,FALSE
