"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05"
"Q96IY4","Low_vs_Control_in_HighTemperature",0.5052120389749,12.6369758746046,4.97146299448835,9.05564718670031e-07,0.00129857980657282,5.38295219632745,TRUE
"Q9Y646","Low_vs_Control_in_HighTemperature",0.457142221435552,8.41227064146051,4.45202226872,1.04383826401942e-05,0.00351263312401268,3.15408274822289,TRUE
"Q96PD5","Low_vs_Control_in_HighTemperature",0.579724576705889,12.8582879207523,4.42790090778894,1.16192626268516e-05,0.00351263312401268,3.05671251558902,TRUE
"Q99784","Low_vs_Control_in_HighTemperature",0.525627362834205,8.99926726650334,4.38965878127345,1.37740973435281e-05,0.00351263312401268,2.90236159644171,TRUE
"Q9H6X2","Low_vs_Control_in_HighTemperature",0.545831126851741,8.48097339830864,4.38492481668899,1.40660324703951e-05,0.00351263312401268,2.88334066802323,TRUE
"Q9Y5X9","Low_vs_Control_in_HighTemperature",0.491268298277197,8.29807601065005,4.36052890958744,1.57064338944348e-05,0.00351263312401268,2.78389799284646,TRUE
"Q6EMK4","Low_vs_Control_in_HighTemperature",0.409989249538182,10.3663343732983,4.34000788622736,1.71467446778862e-05,0.00351263312401268,2.70381060926428,TRUE
"P15291","Low_vs_Control_in_HighTemperature",0.455677113452536,8.76843422974652,4.29607846267112,2.07767194399196e-05,0.00372422695960558,2.5298838013617,TRUE
"P02765","Low_vs_Control_in_HighTemperature",0.611098505086179,17.0126491328544,4.24477963545123,2.59450716550636e-05,0.00413391475037347,2.32885790958763,TRUE
"Q8TER0","Low_vs_Control_in_HighTemperature",0.49898120860853,9.20717810656895,4.11472117050047,4.51090961112047e-05,0.006374930922873,1.82926758216393,TRUE
"P58335","Low_vs_Control_in_HighTemperature",0.455968955014493,9.06891161186794,4.09251921948407,4.95038293775528e-05,0.006374930922873,1.74543238889039,TRUE
"Q9H8L6","Low_vs_Control_in_HighTemperature",0.544914504621978,10.7485586581377,4.07193046168458,5.39405220663487e-05,0.006374930922873,1.66806728041522,TRUE
"Q86UD1","Low_vs_Control_in_HighTemperature",0.414461489469732,10.3448795806351,4.05532191609549,5.77922608070774e-05,0.006374930922873,1.60592413384914,TRUE
"A2CJ06","Low_vs_Control_in_HighTemperature",0.541617852603107,9.49209063448589,4.03131435846372,6.50522276913915e-05,0.00666320675067539,1.51038911473484,TRUE
"Q76LX8","Low_vs_Control_in_HighTemperature",0.519191952663752,9.86551978752602,3.98371016036295,7.75966467090827e-05,0.00702005993979752,1.34070152120284,TRUE
"P02786","Low_vs_Control_in_HighTemperature",0.536500385131351,11.0945437943766,3.98141559924802,7.83270286169876e-05,0.00702005993979752,1.33227653187064,TRUE
"Q14126","Low_vs_Control_in_HighTemperature",0.492313730054756,10.1360289382692,3.81881800265877,0.000150381060979779,0.0119930726853673,0.74687865292021,TRUE
"P04278","Low_vs_Control_in_HighTemperature",0.53646637841403,10.6527842920064,3.81854885293684,0.000150540661322602,0.0119930726853673,0.74592867709833,TRUE
"P08195","Low_vs_Control_in_HighTemperature",0.454636969153562,7.34264566609518,3.80337461446795,0.000159975160512118,0.0120739147460198,0.691647518174434,TRUE
"P07357","Low_vs_Control_in_HighTemperature",0.469893141955577,13.2653744776644,3.77928876782927,0.00017561385723153,0.0121934723707397,0.608034684415661,TRUE
"Q9BY76","Low_vs_Control_in_HighTemperature",0.606187828123756,8.04806467104058,3.77636781128616,0.000178565494968991,0.0121934723707397,0.599151869457879,TRUE
"P05546","Low_vs_Control_in_HighTemperature",0.429007010430063,16.0905144451672,3.76131759809791,0.000188360771306675,0.0122776975478987,0.54536272503989,TRUE
"P03952","Low_vs_Control_in_HighTemperature",0.461946560476779,13.4525817248286,3.72062418392534,0.000220520440041857,0.0132319533223065,0.404492758071844,TRUE
"P08253","Low_vs_Control_in_HighTemperature",0.500287438618107,10.0067525674466,3.71952696229297,0.000221455285728978,0.0132319533223065,0.400714508730856,TRUE
"Q9UJJ9","Low_vs_Control_in_HighTemperature",0.445722504864367,9.88353673564591,3.68578250499571,0.000252096131754686,0.0138871486469182,0.285031053296972,TRUE
"P55290","Low_vs_Control_in_HighTemperature",0.417521048099829,10.6100003232899,3.67828525238081,0.000259425079403261,0.0138871486469182,0.259464223593259,TRUE
"P55285","Low_vs_Control_in_HighTemperature",0.601132050520333,8.75208689297859,3.67627511103869,0.000261473510088419,0.0138871486469182,0.252475937471119,TRUE
"Q9UNW1","Low_vs_Control_in_HighTemperature",0.465500000488165,10.2503186421278,3.65717588139442,0.000281151481349704,0.0139405088435968,0.187742594580319,TRUE
"P04180","Low_vs_Control_in_HighTemperature",0.409609924772251,11.8711718459701,3.65645665354144,0.000281921029612488,0.0139405088435968,0.185305816206479,TRUE
"P35858","Low_vs_Control_in_HighTemperature",0.420684716348877,12.4726178298046,3.61776976754819,0.000326356739619173,0.0155998521537965,0.0549019360809258,TRUE
"Q9BYJ0","Low_vs_Control_in_HighTemperature",0.517699228692956,10.4278262147083,3.60383811474449,0.000343909827186969,0.0159086029737456,0.00826380814764871,TRUE
"P07358","Low_vs_Control_in_HighTemperature",0.394188623006556,12.6829791610266,3.58992146951451,0.000362325380462193,0.016236706111962,-0.0381536730004006,TRUE
"P15151","Low_vs_Control_in_HighTemperature",0.499720606448648,8.24423008537336,3.54992606814075,0.000421464832156898,0.0183145627064543,-0.172229066777689,TRUE
"P01709","Low_vs_Control_in_HighTemperature",0.917811686612056,11.8409095849418,3.498735523169,0.000509416683323832,0.0200346911203988,-0.33573513056004,TRUE
"Q9UKX5","Low_vs_Control_in_HighTemperature",0.456113619143776,6.82044209642383,3.48849319575806,0.000532100652042127,0.0200346911203988,-0.36021905140977,TRUE
"O75882","Low_vs_Control_in_HighTemperature",0.526367741431759,8.33429264489881,3.48539310855729,0.000533475967672097,0.0200346911203988,-0.38168226830758,TRUE
"O00391","Low_vs_Control_in_HighTemperature",0.431455768319895,10.4747569374785,3.4825853001248,0.000538717917229341,0.0200346911203988,-0.390428193289083,TRUE
