"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","Direction"
"P16112","High_vs_Low",-0.485827645913437,10.6192276016162,-4.7064894918868,3.23784959379927e-06,0.00222043175614817,4.22119519608349,TRUE,"Higher_in_Low"
"Q08378","High_vs_Low",-0.442043249452322,10.9803317747758,-4.5591107170844,6.64582868503172e-06,0.00222043175614817,3.56419778160695,TRUE,"Higher_in_Low"
"Q92696","High_vs_Low",-0.464069862261104,9.20255972567773,-4.54915970733747,6.83846140763912e-06,0.00222043175614817,3.5387660831808,TRUE,"Higher_in_Low"
"P13591","High_vs_Low",-0.377030017430075,13.0415600066814,-4.51288950269405,7.91935535745394e-06,0.00222043175614817,3.40467967514497,TRUE,"Higher_in_Low"
"Q8TB73","High_vs_Low",-0.420930130056909,8.07615447087365,-4.47801951235436,9.29427112264782e-06,0.00222043175614817,3.25912848510633,TRUE,"Higher_in_Low"
"P07585","High_vs_Low",-0.303334431128075,12.3218478838271,-4.47675053653027,9.32545892917131e-06,0.00222043175614817,3.25575507268628,TRUE,"Higher_in_Low"
"O14594","High_vs_Low",-0.338048803475971,11.5404132603241,-4.44327643726295,1.08389276799422e-05,0.00222043175614817,3.11879712974412,TRUE,"Higher_in_Low"
"O14786","High_vs_Low",-0.293258576953324,14.1057122819407,-4.37906373725451,1.44251683923063e-05,0.00236141885577988,2.85873140999053,TRUE,"Higher_in_Low"
"Q9Y240","High_vs_Low",-0.379634582288464,12.7172879304592,-4.35560652765205,1.59987846371112e-05,0.00236141885577988,2.76460142870678,TRUE,"Higher_in_Low"
"P98160","High_vs_Low",-0.331180140853975,12.0119256250694,-4.34173897792126,1.70049085770336e-05,0.00236141885577988,2.70917339006531,TRUE,"Higher_in_Low"
"Q99983","High_vs_Low",-0.405920109753758,14.0210376603404,-4.32733189112763,1.81140916412683e-05,0.00236141885577988,2.65176229156186,TRUE,"Higher_in_Low"
"P05090","High_vs_Low",-0.310231470196234,12.5090928069042,-4.25089175026703,2.52538676478494e-05,0.00281842874659094,2.35011662079472,TRUE,"Higher_in_Low"
"Q13316","High_vs_Low",-0.362469661182347,8.79183929707337,-4.24892628619516,2.56663538243007e-05,0.00281842874659094,2.33931725280601,TRUE,"Higher_in_Low"
"O75752","High_vs_Low",-0.255696667271577,9.08650774546357,-4.23111517778811,2.75160407616967e-05,0.00281842874659094,2.27253342711408,TRUE,"Higher_in_Low"
"Q92859","High_vs_Low",-0.335777933302136,10.3580887885757,-4.20499461026952,3.07561899862387e-05,0.00294029176268442,2.17139955150684,TRUE,"Higher_in_Low"
"O75487","High_vs_Low",-0.342779620231813,8.63209285874185,-4.17166485164974,3.54597542026574e-05,0.00317808047041317,2.04259978357757,TRUE,"Higher_in_Low"
"Q14520","High_vs_Low",-0.344859582489377,17.7652235911754,-4.15027761936659,3.8811577244848e-05,0.00320865829552815,1.96070021206284,TRUE,"Higher_in_Low"
"P28482","High_vs_Low",-0.482759223999901,9.66480459812693,-4.12820809718986,4.26984475888027e-05,0.00320865829552815,1.87555897801232,TRUE,"Higher_in_Low"
"Q6UWP8","High_vs_Low",-0.434119086010783,8.86699732756677,-4.11741073006935,4.45768114273447e-05,0.00320865829552815,1.83537659759168,TRUE,"Higher_in_Low"
"Q06828","High_vs_Low",-0.290548621602927,11.3865768349313,-4.11648114196776,4.47511617228473e-05,0.00320865829552815,1.83184554047762,TRUE,"Higher_in_Low"
"P22466","High_vs_Low",-0.551231399747444,8.46941183115627,-4.08846855012968,5.1539853641315e-05,0.00333617930149253,1.71265670402869,TRUE,"Higher_in_Low"
