"Model","UniqueSampleID","Included","Environment_raw","Acquisition_raw","Age_raw","Sex_raw"
"Primary","20250913_FJ_QZ_Q3",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q4",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q12",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q13",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q14",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q15",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q16",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q18",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q20",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q21",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q22",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q23",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q25",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q26",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q27",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q28",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q29",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q31",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q32",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q33",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q34",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q36",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q37",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q38",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q39",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q41",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q42",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q44",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q45",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q48",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q49",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q50",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q52",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q54",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q55",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q57",TRUE,"湿热","20250913",,
"Primary","20250913_FJ_QZ_Q58",TRUE,"湿热","20250913",,
