"PG.ProteinGroups","Contrast","Detection_pattern","Restricted_candidate_60_or_70","Control_detection_rate","Short_detection_rate","Long_detection_rate","In_detection_analysis_universe","Primary_logOR","Primary_OR","Primary_SE","Primary_P","Primary_FDR","Primary_Model_status","Primary_N_samples","Acquisition_adjusted_logOR","Acquisition_adjusted_OR","Acquisition_adjusted_SE","Acquisition_adjusted_P","Acquisition_adjusted_FDR","Acquisition_adjusted_Model_status","Acquisition_adjusted_N_samples","Acquisition_matched_primary_logOR","Acquisition_matched_primary_OR","Acquisition_matched_primary_SE","Acquisition_matched_primary_P","Acquisition_matched_primary_FDR","Acquisition_matched_primary_Model_status","Acquisition_matched_primary_N_samples","Age_sex_logOR","Age_sex_OR","Age_sex_SE","Age_sex_P","Age_sex_FDR","Age_sex_Model_status","Age_sex_N_samples","Direction_concordant","Acquisition_sensitive","Model_status"
"A0A075B6H9","Low_vs_Control","Broad_detection",FALSE,0.980392156862745,0.978494623655914,0.977272727272727,TRUE,-0.16514761910485,0.847768548016251,0.779042693947409,0.832116479806924,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.16514761910485,0.847768548016251,0.779042693947409,0.832116479806924,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6H9","High_vs_Control","Broad_detection",FALSE,0.980392156862745,0.978494623655914,0.977272727272727,TRUE,-0.169532791082168,0.844059076416038,0.772597206828725,0.826313302230624,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.169532791082168,0.844059076416038,0.772597206828725,0.826313302230624,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6H9","High_vs_Low","Broad_detection",FALSE,0.980392156862745,0.978494623655914,0.977272727272727,TRUE,-0.00438517197731833,0.99562442885043,0.719560491231737,0.995137532699285,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.00438517197731833,0.99562442885043,0.719560491231737,0.995137532699285,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I0","Low_vs_Control","Broad_detection",FALSE,0.901960784313726,0.89247311827957,0.920454545454545,TRUE,-0.0822966694677246,0.920998685972574,0.364435520981434,0.821341762310529,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,-0.0822966694677246,0.920998685972574,0.364435520981434,0.821341762310529,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I0","High_vs_Control","Broad_detection",FALSE,0.901960784313726,0.89247311827957,0.920454545454545,TRUE,0.235004622059316,1.26491461522976,0.389586722922265,0.546365555853383,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.235004622059316,1.26491461522976,0.389586722922265,0.546365555853383,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I0","High_vs_Low","Broad_detection",FALSE,0.901960784313726,0.89247311827957,0.920454545454545,TRUE,0.317301291527041,1.37341630829149,0.36760675577636,0.388052726719659,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.317301291527041,1.37341630829149,0.36760675577636,0.388052726719659,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I1","Low_vs_Control","Other_unbalanced",FALSE,0.496732026143791,0.575268817204301,0.613636363636364,TRUE,0.364406504824854,1.43965932368629,0.222481306982364,0.101438455949325,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.364406504824854,1.43965932368629,0.222481306982364,0.101438455949325,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I1","High_vs_Control","Other_unbalanced",FALSE,0.496732026143791,0.575268817204301,0.613636363636364,TRUE,0.49027155863401,1.63275954971063,0.22460610309277,0.0290500966367719,0.593822987019819,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.49027155863401,1.63275954971063,0.22460610309277,0.0290500966367719,0.593822987019819,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I1","High_vs_Low","Other_unbalanced",FALSE,0.496732026143791,0.575268817204301,0.613636363636364,TRUE,0.125865053809155,1.13412911155252,0.216024935606325,0.560134782735614,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.125865053809155,1.13412911155252,0.216024935606325,0.560134782735614,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
"A0A075B6I4","Low_vs_Control","Other_unbalanced",FALSE,0.673202614379085,0.736559139784946,0.710227272727273,TRUE,0.253442496486091,1.28845328676352,0.242406333782325,0.295779221601285,1,"ok",515,,,,,,"separation_nonfinite_MLE",515,0.253442496486091,1.28845328676352,0.242406333782325,0.295779221601285,1,"ok",515,,,,,,"age_sex_absent_or_below_90pct_complete",0,,,"Primary:ok; Acquisition:separation_nonfinite_MLE"
