"Contrast","logOR","OR","SE","CI_low_OR","CI_high_OR","P","N_samples","Zero_cells","Model_status","Detail","PG.ProteinGroups","Model","FDR"
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6H9","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6H9","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6H9","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I1","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I1","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I1","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6I4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6J9","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6J9","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6J9","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6K4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6K4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6K4","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","A0A075B6K5","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","A0A075B6K5","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","A0A075B6K5","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A075B6P5;P01615","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A075B6P5;P01615","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A075B6P5;P01615","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6R2","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6R2","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6R2","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6R9;A0A0C4DH68","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6R9;A0A0C4DH68","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A075B6R9;A0A0C4DH68","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A087WSX0","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A087WSX0","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A087WSX0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A087WSY4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A087WSY4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A087WSY4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A087WSY6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A087WSY6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A087WSY6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0A0MRZ8;P04433","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0A0MRZ8;P04433","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0A0MRZ8;P04433","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A0A0MS15","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A0A0MS15","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","A0A0A0MS15","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1U7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1U7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1U7","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V2","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V2","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V2","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1V6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1X5","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1X5","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1X5","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1Y8","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1Y8","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0B4J1Y8","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","A0A0B4J1Y9","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","A0A0B4J1Y9","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","A0A0B4J1Y9","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH25","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH25","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH25","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH31","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH31","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH31","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH34","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH34","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH34","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH36","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH36","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH36","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH38","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH38","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH38","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH43","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH43","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH43","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH67","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH67","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0C4DH67","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0G2JS06","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0G2JS06","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0G2JS06","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0J9YX35","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0J9YX35","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0J9YX35","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0J9YXX1","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0J9YXX1","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0A0J9YXX1","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","A0A1B0GTC6","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","A0A1B0GTC6","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","A0A1B0GTC6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0M8Q6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0M8Q6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0M8Q6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0PJW8","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0PJW8","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A0PJW8","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","A1L4H1","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","A1L4H1","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","A1L4H1","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A2A3L6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A2A3L6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A2A3L6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A2CJ06","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A2CJ06","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A2CJ06","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"constant_detection","","A2NJV5","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"constant_detection","","A2NJV5","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"constant_detection","","A2NJV5","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NDG6","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NDG6","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NDG6","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NH11","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NH11","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NH11","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NL88","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NL88","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NL88","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NM11;A6NMS7","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NM11;A6NMS7","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NM11;A6NMS7","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NML5","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NML5","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A6NML5","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A8K2U0","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A8K2U0","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A8K2U0","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A8MYB1","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A8MYB1","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","A8MYB1","Acquisition",
"Low_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","B0I1T2","Acquisition",
"High_vs_Control",,,,,,,515,TRUE,"separation_nonfinite_MLE","","B0I1T2","Acquisition",
"High_vs_Low",,,,,,,515,TRUE,"separation_nonfinite_MLE","","B0I1T2","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","B2RUZ4","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","B2RUZ4","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","B2RUZ4","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","E9PAV3","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","E9PAV3","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","E9PAV3","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00151","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00151","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00151","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00154","Acquisition",
"High_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00154","Acquisition",
"High_vs_Low",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00154","Acquisition",
"Low_vs_Control",,,,,,,515,FALSE,"separation_nonfinite_MLE","","O00159","Acquisition",
