"Contrast","logOR","OR","SE","CI_low_OR","CI_high_OR","P","N_samples","Zero_cells","Model_status","Detail","PG.ProteinGroups","Model","FDR","Protein_label","Lower","Upper"
"High_vs_Control",-0.907628381925562,0.403479990667484,0.234203129719681,0.254957584936074,0.638522297384685,0.000106454220397802,515,FALSE,"ok","","P02724","Primary",0.0983636996475691,"P02724",-1.3666580812427,-0.448598682608424
"High_vs_Control",-0.97649507533496,0.376628843928452,0.246833985863416,0.232171072452341,0.610968819588842,7.61895518325097e-05,515,FALSE,"ok","","P62241","Primary",0.0983636996475691,"P62241",-1.46028079778773,-0.492709352882196
"High_vs_Control",-0.959276017206048,0.383170194207566,0.265842337685584,0.227565442040491,0.645174400878235,0.000308044216418337,515,FALSE,"ok","","Q9UNZ2","Primary",0.189755237313695,"Q9UNZ2",-1.48031742463573,-0.438234609776368
"High_vs_Control",-1.00248393850619,0.366966785221763,0.305286825381879,0.201727980314897,0.667555493520453,0.00102437739587639,515,FALSE,"ok","","O75367","Primary",0.315508237929929,"O75367",-1.60083512120924,-0.404132755803139
"High_vs_Control",-1.23488951618884,0.290866896675944,0.363805312760341,0.14256819582126,0.593425140120051,0.000687869124068547,515,FALSE,"ok","","P59768","Primary",0.315508237929929,"P59768",-1.94793482658344,-0.521844205794239
"High_vs_Control",-1.10490288296444,0.331243050023006,0.334960630030225,0.171801823730153,0.638654211033768,0.00097166456564024,515,FALSE,"ok","","Q6IAA8","Primary",0.315508237929929,"Q6IAA8",-1.76141365406252,-0.448392111866348
"High_vs_Control",-0.776845825845322,0.459854186396018,0.246921960088833,0.283426067512921,0.746105940789313,0.00165452773740323,515,FALSE,"ok","","O75954","Primary",0.412237795512057,"O75954",-1.26080397461147,-0.292887677079173
"High_vs_Control",-1.07017345605248,0.34294902567506,0.342573709596573,0.175238813125298,0.671164293536828,0.0017845792013509,515,FALSE,"ok","","P22607","Primary",0.412237795512057,"P22607",-1.74160558891204,-0.398741323192909
"High_vs_Control",-1.55251231502513,0.21171540931807,0.559899719974818,0.0706585893522805,0.634366111092923,0.00555694429047366,515,FALSE,"ok","","O14602;P47813","Primary",0.493596160782022,"O14602;P47813",-2.64989560112983,-0.455129028920424
"High_vs_Control",-0.824833753541793,0.438307853536589,0.281179404975624,0.252603235467354,0.760535684020089,0.00335186812904021,515,FALSE,"ok","","O43173","Primary",0.493596160782022,"O43173",-1.37593526048842,-0.273732246595168
"High_vs_Control",0.679023484338944,1.97195115053361,0.246765985627246,1.21576199902329,3.1984807414731,0.00592886233766515,515,FALSE,"ok","","P01593;P01594","Primary",0.493596160782022,"P01593;P01594",0.195371039900014,1.16267592877788
"High_vs_Control",-0.675753043258231,0.508773148126117,0.254854513655237,0.308739095056128,0.838410555705945,0.00801292468801983,515,FALSE,"ok","","P11836","Primary",0.493596160782022,"P11836",-1.17525871131997,-0.176247375196495
"High_vs_Control",-0.805787652074629,0.446735915475789,0.303418900002911,0.246479175867061,0.809695088738983,0.00791454726582799,515,FALSE,"ok","","P13686","Primary",0.493596160782022,"P13686",-1.40047776830909,-0.211097535840163
"High_vs_Control",-1.03671280750608,0.354618467281493,0.385284526866832,0.166650478329977,0.754598838222807,0.00712869013746694,515,FALSE,"ok","","P20618","Primary",0.493596160782022,"P20618",-1.79185660396562,-0.28156901104653
"High_vs_Control",-0.812718570471136,0.443650330621259,0.303232573347883,0.244866162509319,0.803808961774628,0.00735820790599035,515,FALSE,"ok","","P20810","Primary",0.493596160782022,"P20810",-1.40704349317239,-0.218393647769885
"High_vs_Control",-1.50688414687522,0.221599374475889,0.507311397781867,0.0819868659839253,0.598953041792492,0.00297476407543542,515,FALSE,"ok","","P23526","Primary",0.493596160782022,"P23526",-2.50119621547436,-0.512572078276091
"High_vs_Control",-0.606649850579602,0.545174228231041,0.228700886265907,0.34822886723939,0.853504597374434,0.007987665761522,515,FALSE,"ok","","P46776","Primary",0.493596160782022,"P46776",-1.05489535089317,-0.158404350266034
"High_vs_Control",-0.729778912167381,0.482015546083024,0.256244838299308,0.291705786116533,0.796483983944352,0.00439983705612785,515,FALSE,"ok","","P49321","Primary",0.493596160782022,"P49321",-1.23200956645831,-0.227548257876449
"High_vs_Control",-0.645370186361119,0.524468355134217,0.229328742371541,0.334591042342616,0.822099281592621,0.00489032798828281,515,FALSE,"ok","","P49788","Primary",0.493596160782022,"P49788",-1.0948462620292,-0.195894110693035
"High_vs_Control",-1.14223083362041,0.319106354007201,0.383403467489954,0.150515709008166,0.676533139555847,0.00289013826403852,515,FALSE,"ok","","P53004","Primary",0.493596160782022,"P53004",-1.89368782144849,-0.390773845792324
