"Contrast","logOR","OR","SE","CI_low_OR","CI_high_OR","P","N_samples","Zero_cells","Model_status","Detail","PG.ProteinGroups","Model","FDR","Protein_label","Lower","Upper"
"High_vs_Low",-1.05213170426037,0.349192579842944,0.277247732762713,0.202801568054534,0.601255005013482,0.000147693779450001,515,FALSE,"ok","","O43173","Primary",0.0978343472836936,"O43173",-1.59552727527067,-0.508736133250066
"High_vs_Low",-0.921868190402031,0.397775226646765,0.2527329437988,0.242387969218767,0.652776338049515,0.000264703320572764,515,FALSE,"ok","","O75596","Primary",0.0978343472836936,"O75596",-1.41721565795446,-0.426520722849598
"High_vs_Low",-1.26340635147181,0.282689444973658,0.343815788515561,0.144096377616229,0.554582451144937,0.000238165744362601,515,FALSE,"ok","","P59768","Primary",0.0978343472836936,"P59768",-1.93727291427855,-0.589539788665069
"High_vs_Low",-1.3933044990688,0.248253593938299,0.350392357461093,0.124922604161509,0.493344237553695,6.99627677039708e-05,515,FALSE,"ok","","Q6IAA8","Primary",0.0978343472836936,"Q6IAA8",-2.08006090015063,-0.706548097986976
"High_vs_Low",-0.960330878351202,0.382766215965651,0.262074368315336,0.229010551167894,0.639752078397701,0.000247972437948837,515,FALSE,"ok","","Q96HF1","Primary",0.0978343472836936,"Q96HF1",-1.47398720152035,-0.446674555182059
"High_vs_Low",-0.921629787632146,0.39787006866744,0.262946874249127,0.237640514369195,0.666134694926219,0.000456600803937471,515,FALSE,"ok","","O60888","Primary",0.140633047612741,"O60888",-1.43699619100782,-0.406263384256474
"High_vs_Low",-1.3259062270417,0.265562190371675,0.390427770833006,0.123547374603845,0.570819713337775,0.000683697110070943,515,FALSE,"ok","","O00264","Primary",0.180496037058729,"O00264",-2.09113059643865,-0.560681857644751
"High_vs_Low",-1.22642412744978,0.293339649668281,0.375486430767929,0.140525823711565,0.612329803838237,0.00108990627611408,515,FALSE,"ok","","Q7Z304","Primary",0.251768349782351,"Q7Z304",-1.96236400843841,-0.490484246461144
"High_vs_Low",-1.05365579949402,0.348660782454254,0.33869425691648,0.179517183681262,0.677173843354481,0.00186496020638165,515,FALSE,"ok","","A2A3L6","Primary",0.287203871782773,"A2A3L6",-1.71748434482087,-0.389827254167159
"High_vs_Low",-2.36793888529197,0.0936735994765204,0.758408790399689,0.0211864638253848,0.41416742837349,0.00179476842496901,515,FALSE,"ok","","P05386","Primary",0.287203871782773,"P05386",-3.85439280003395,-0.881484970549992
"High_vs_Low",-0.718135843695864,0.487660484523459,0.225166822771726,0.313657169367432,0.758193248524381,0.00142593037218955,515,FALSE,"ok","","P62241","Primary",0.287203871782773,"P62241",-1.15945470684176,-0.276816980549967
"High_vs_Low",-0.729751113220296,0.482028945793932,0.232591873822719,0.305555817309293,0.760423763583643,0.00170409996141954,515,FALSE,"ok","","Q9NZN4","Primary",0.287203871782773,"Q9NZN4",-1.18562280900951,-0.273879417431082
"High_vs_Low",-0.654060047104453,0.519930543196263,0.218137111906359,0.33905229189074,0.797304062570603,0.00271410471542798,515,FALSE,"ok","","O14717","Primary",0.358261822436494,"O14717",-1.0816009301325,-0.226519164076406
"High_vs_Low",-0.676706211110567,0.508288432961346,0.225349875850513,0.326807537499557,0.790548262928761,0.00267408320888014,515,FALSE,"ok","","Q6UXI7","Primary",0.358261822436494,"Q6UXI7",-1.11838385169815,-0.235028570522988
"High_vs_Low",-0.630475969298868,0.532338363979696,0.219010890364037,0.346549564727829,0.817730456499467,0.00399264122905711,515,FALSE,"ok","","P02724","Primary",0.397564550476757,"P02724",-1.05972942663443,-0.201222511963305
"High_vs_Low",-1.04702019671439,0.35098204989846,0.363287855640717,0.172208158546678,0.715345895284832,0.00395074831851618,515,FALSE,"ok","","P04062","Primary",0.397564550476757,"P04062",-1.75905130979098,-0.334989083637795
"High_vs_Low",-0.822554088984328,0.439308188196072,0.281990542096369,0.252777557724497,0.76348425055383,0.00353465288575856,515,FALSE,"ok","","P13686","Primary",0.397564550476757,"P13686",-1.37524539547414,-0.269862782494519
"High_vs_Low",-0.667736596773369,0.5128680923621,0.227749053056865,0.328205107503967,0.80143079479639,0.00336899264696132,515,FALSE,"ok","","Q15029","Primary",0.397564550476757,"Q15029",-1.11411653827793,-0.221356655268811
"High_vs_Low",-0.741318207534082,0.476485394714424,0.258247577263098,0.287229377393548,0.790442584377724,0.00409730159977368,515,FALSE,"ok","","Q86VG3","Primary",0.397564550476757,"Q86VG3",-1.24747415806448,-0.235162257003685
"High_vs_Low",-0.910384273931688,0.402369574183323,0.318865109451731,0.21538063853758,0.751698366797347,0.00430264665018136,515,FALSE,"ok","","Q8IYI6","Primary",0.397564550476757,"Q8IYI6",-1.5353484043835,-0.285420143479873
