"Model","Contrast","Model_status","n"
"Acquisition","High_vs_Control","constant_detection",481
"Acquisition","High_vs_Control","separation_nonfinite_MLE",1367
"Acquisition","High_vs_Low","constant_detection",481
"Acquisition","High_vs_Low","separation_nonfinite_MLE",1367
"Acquisition","Low_vs_Control","constant_detection",481
"Acquisition","Low_vs_Control","separation_nonfinite_MLE",1367
"Acquisition_matched_primary","High_vs_Control","constant_detection",481
"Acquisition_matched_primary","High_vs_Control","ok",1185
"Acquisition_matched_primary","High_vs_Control","separation_nonfinite_MLE",182
"Acquisition_matched_primary","High_vs_Low","constant_detection",481
"Acquisition_matched_primary","High_vs_Low","ok",1185
"Acquisition_matched_primary","High_vs_Low","separation_nonfinite_MLE",182
"Acquisition_matched_primary","Low_vs_Control","constant_detection",481
"Acquisition_matched_primary","Low_vs_Control","ok",1185
"Acquisition_matched_primary","Low_vs_Control","separation_nonfinite_MLE",182
"Age_sex","High_vs_Control","age_sex_absent_or_below_90pct_complete",1848
"Age_sex","High_vs_Low","age_sex_absent_or_below_90pct_complete",1848
"Age_sex","Low_vs_Control","age_sex_absent_or_below_90pct_complete",1848
"Primary","High_vs_Control","constant_detection",481
"Primary","High_vs_Control","ok",1185
"Primary","High_vs_Control","separation_nonfinite_MLE",182
"Primary","High_vs_Low","constant_detection",481
"Primary","High_vs_Low","ok",1185
"Primary","High_vs_Low","separation_nonfinite_MLE",182
"Primary","Low_vs_Control","constant_detection",481
"Primary","Low_vs_Control","ok",1185
"Primary","Low_vs_Control","separation_nonfinite_MLE",182
