"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"P16112",10.6710805788442,10.848195834081,10.3321730746028,"Low_peak",-0.485827645913437,0.00222043175614817
"Q08378",10.9360055523322,11.2549485864383,10.7339292399764,"Low_peak",-0.442043249452322,0.00222043175614817
"Q92696",9.27580076059245,9.40128628502704,8.93059517924046,"Low_peak",-0.464069862261104,0.00222043175614817
"P13591",13.1042860874019,13.1954132387119,12.8244361912957,"Low_peak",-0.377030017430075,0.00222043175614817
"Q8TB73",7.96424954810987,8.3532327613309,7.87476540873576,"Low_peak",-0.420930130056909,0.00222043175614817
"P07585",12.3360288669422,12.4666436248533,12.1564973256028,"Low_peak",-0.303334431128075,0.00222043175614817
"O14594",11.6147493241837,11.6873998717088,11.320453445051,"Low_peak",-0.338048803475971,0.00222043175614817
"O14786",14.1688947321773,14.2126627307296,13.9377594503444,"High_suppression",-0.293258576953324,0.00236141885577988
"Q9Y240",12.7266598374087,12.9231701445478,12.4915606941881,"Low_peak",-0.379634582288464,0.00236141885577988
"P98160",12.0143372704488,12.1787449018485,11.8335314931151,"Low_peak",-0.331180140853975,0.00236141885577988
"Q99983",13.9775173198201,14.2451723990535,13.8220010165845,"Low_peak",-0.405920109753758,0.00236141885577988
"P05090",12.3458349547287,12.7612063888252,12.3845776088676,"Low_peak",-0.310231470196234,0.00281842874659094
"Q13316",8.72422972298914,9.0170643712018,8.61237537187951,"Low_peak",-0.362469661182347,0.00281842874659094
"O75752",9.08622716092205,9.23558813199101,8.92739267385867,"Low_peak",-0.255696667271577,0.00281842874659094
"Q92859",10.4092634085565,10.5048110736091,10.1585429824777,"Low_peak",-0.335777933302136,0.00294029176268442
"O75487",8.59603249896121,8.83321251123836,8.44985845692521,"Low_peak",-0.342779620231813,0.00317808047041317
"Q14520",17.7857642314796,17.9153438101454,17.5887174622268,"Low_peak",-0.344859582489377,0.00320865829552815
"P28482",9.74789385992028,9.85593180482264,9.38823308835343,"Low_peak",-0.482759223999901,0.00320865829552815
"Q6UWP8",8.87518538816071,9.070525551787,8.64478696974953,"Low_peak",-0.434119086010783,0.00320865829552815
"Q06828",11.3696086112157,11.5473086485556,11.2314633172857,"Low_peak",-0.290548621602927,0.00320865829552815
"P22466",8.43268745707249,8.80426613749596,8.13832262405602,"Low_peak",-0.551231399747444,0.00333617930149253
"Q14956",8.17737409214226,8.2935661036425,7.91751471353579,"Low_peak",-0.407432461317501,0.00333617930149253
"P49746",11.9951405817843,12.1871781996609,11.8542347716128,"Low_peak",-0.346564228366676,0.00333617930149253
"O15335",11.1861601785428,11.3376824822059,10.9629909659817,"Low_peak",-0.366008636182293,0.00333617930149253
"P35052",7.96201785924225,8.12620438978199,7.83559325607351,"Low_peak",-0.290024136196072,0.00333617930149253
