"Protein","N_observed_Control","N_total_Control","N_observed_Short","N_total_Short","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2","Baseline","Exposure","Abundance","Centered_log2"
"P16112",153,153,186,186,176,176,0.177115255236837,-0.516022759478188,-0.338907504241352,"Short_peak",-0.485827645913437,0.00222043175614817,"2.0",0.05,10.617149829176,"Control",10.6710805788442,0.0539307496681722
"P16112",153,153,186,186,176,176,0.177115255236837,-0.516022759478188,-0.338907504241352,"Short_peak",-0.485827645913437,0.00222043175614817,"2.0",0.05,10.617149829176,"Short",10.848195834081,0.231046004905009
"P16112",153,153,186,186,176,176,0.177115255236837,-0.516022759478188,-0.338907504241352,"Short_peak",-0.485827645913437,0.00222043175614817,"2.0",0.05,10.617149829176,"Long",10.3321730746028,-0.284976754573179
"Q08378",129,153,159,186,154,176,0.318943034106054,-0.521019346461902,-0.202076312355848,"Short_peak",-0.442043249452322,0.00222043175614817,"2.0",0.05,10.9749611262489,"Control",10.9360055523322,-0.038955573916736
"Q08378",129,153,159,186,154,176,0.318943034106054,-0.521019346461902,-0.202076312355848,"Short_peak",-0.442043249452322,0.00222043175614817,"2.0",0.05,10.9749611262489,"Short",11.2549485864383,0.279987460189318
"Q08378",129,153,159,186,154,176,0.318943034106054,-0.521019346461902,-0.202076312355848,"Short_peak",-0.442043249452322,0.00222043175614817,"2.0",0.05,10.9749611262489,"Long",10.7339292399764,-0.241031886272584
"Q92696",143,153,169,186,162,176,0.125485524434586,-0.470691105786576,-0.345205581351991,"Short_peak",-0.464069862261104,0.00222043175614817,"2.0",0.05,9.20256074161998,"Control",9.27580076059245,0.0732400189724682
"Q92696",143,153,169,186,162,176,0.125485524434586,-0.470691105786576,-0.345205581351991,"Short_peak",-0.464069862261104,0.00222043175614817,"2.0",0.05,9.20256074161998,"Short",9.40128628502704,0.198725543407054
"Q92696",143,153,169,186,162,176,0.125485524434586,-0.470691105786576,-0.345205581351991,"Short_peak",-0.464069862261104,0.00222043175614817,"2.0",0.05,9.20256074161998,"Long",8.93059517924046,-0.271965562379522
"P13591",153,153,186,186,176,176,0.0911271513099567,-0.370977047416199,-0.279849896106242,"Short_peak",-0.377030017430075,0.00222043175614817,"2.0",0.05,13.0413785058031,"Control",13.1042860874019,0.0629075815987612
"P13591",153,153,186,186,176,176,0.0911271513099567,-0.370977047416199,-0.279849896106242,"Short_peak",-0.377030017430075,0.00222043175614817,"2.0",0.05,13.0413785058031,"Short",13.1954132387119,0.154034732908718
"P13591",153,153,186,186,176,176,0.0911271513099567,-0.370977047416199,-0.279849896106242,"Short_peak",-0.377030017430075,0.00222043175614817,"2.0",0.05,13.0413785058031,"Long",12.8244361912957,-0.216942314507481
"Q8TB73",151,153,186,186,172,176,0.388983213221027,-0.478467352595143,-0.0894841393741155,"Short_peak",-0.420930130056909,0.00222043175614817,"2.0",0.05,8.06408257272551,"Control",7.96424954810987,-0.0998330246156369
"Q8TB73",151,153,186,186,172,176,0.388983213221027,-0.478467352595143,-0.0894841393741155,"Short_peak",-0.420930130056909,0.00222043175614817,"2.0",0.05,8.06408257272551,"Short",8.3532327613309,0.28915018860539
"Q8TB73",151,153,186,186,172,176,0.388983213221027,-0.478467352595143,-0.0894841393741155,"Short_peak",-0.420930130056909,0.00222043175614817,"2.0",0.05,8.06408257272551,"Long",7.87476540873576,-0.189317163989752
"P07585",153,153,186,186,176,176,0.130614757911022,-0.310146299250503,-0.179531541339481,"Short_peak",-0.303334431128075,0.00222043175614817,"2.0",0.05,12.3197232724661,"Control",12.3360288669422,0.0163055944761545
"P07585",153,153,186,186,176,176,0.130614757911022,-0.310146299250503,-0.179531541339481,"Short_peak",-0.303334431128075,0.00222043175614817,"2.0",0.05,12.3197232724661,"Short",12.4666436248533,0.146920352387177
"P07585",153,153,186,186,176,176,0.130614757911022,-0.310146299250503,-0.179531541339481,"Short_peak",-0.303334431128075,0.00222043175614817,"2.0",0.05,12.3197232724661,"Long",12.1564973256028,-0.163225946863326
"O14594",153,153,186,186,176,176,0.0726505475250718,-0.366946426657734,-0.294295879132662,"Short_peak",-0.338048803475971,0.00222043175614817,"2.0",0.05,11.5408675469812,"Control",11.6147493241837,0.07388177720253
"O14594",153,153,186,186,176,176,0.0726505475250718,-0.366946426657734,-0.294295879132662,"Short_peak",-0.338048803475971,0.00222043175614817,"2.0",0.05,11.5408675469812,"Short",11.6873998717088,0.146532324727602
"O14594",153,153,186,186,176,176,0.0726505475250718,-0.366946426657734,-0.294295879132662,"Short_peak",-0.338048803475971,0.00222043175614817,"2.0",0.05,11.5408675469812,"Long",11.320453445051,-0.220414101930132
"O14786",153,153,186,186,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05,14.1064389710838,"Control",14.1688947321773,0.0624557610935348
"O14786",153,153,186,186,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05,14.1064389710838,"Short",14.2126627307296,0.10622375964587
"O14786",153,153,186,186,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05,14.1064389710838,"Long",13.9377594503444,-0.168679520739406
"Q9Y240",153,153,186,186,176,176,0.196510307139114,-0.431609450359732,-0.235099143220618,"Short_peak",-0.379634582288464,0.00236141885577988,"2.0",0.05,12.7137968920482,"Control",12.7266598374087,0.0128629453605011
"Q9Y240",153,153,186,186,176,176,0.196510307139114,-0.431609450359732,-0.235099143220618,"Short_peak",-0.379634582288464,0.00236141885577988,"2.0",0.05,12.7137968920482,"Short",12.9231701445478,0.209373252499615
"Q9Y240",153,153,186,186,176,176,0.196510307139114,-0.431609450359732,-0.235099143220618,"Short_peak",-0.379634582288464,0.00236141885577988,"2.0",0.05,12.7137968920482,"Long",12.4915606941881,-0.222236197860116
"P98160",153,153,186,186,176,176,0.164407631399703,-0.345213408733416,-0.180805777333713,"Short_peak",-0.331180140853975,0.00236141885577988,"2.0",0.05,12.0088712218041,"Control",12.0143372704488,0.00546604864466893
"P98160",153,153,186,186,176,176,0.164407631399703,-0.345213408733416,-0.180805777333713,"Short_peak",-0.331180140853975,0.00236141885577988,"2.0",0.05,12.0088712218041,"Short",12.1787449018485,0.169873680044372
"P98160",153,153,186,186,176,176,0.164407631399703,-0.345213408733416,-0.180805777333713,"Short_peak",-0.331180140853975,0.00236141885577988,"2.0",0.05,12.0088712218041,"Long",11.8335314931151,-0.175339728689044
"Q99983",153,153,186,186,176,176,0.267655079233473,-0.423171382469016,-0.155516303235544,"Short_peak",-0.405920109753758,0.00236141885577988,"2.0",0.05,14.0148969118194,"Control",13.9775173198201,-0.0373795919993096
"Q99983",153,153,186,186,176,176,0.267655079233473,-0.423171382469016,-0.155516303235544,"Short_peak",-0.405920109753758,0.00236141885577988,"2.0",0.05,14.0148969118194,"Short",14.2451723990535,0.230275487234163
"Q99983",153,153,186,186,176,176,0.267655079233473,-0.423171382469016,-0.155516303235544,"Short_peak",-0.405920109753758,0.00236141885577988,"2.0",0.05,14.0148969118194,"Long",13.8220010165845,-0.192895895234853
"P05090",153,153,186,186,176,176,0.415371434096564,-0.376628779957587,0.0387426541389768,"Short_peak",-0.310231470196234,0.00281842874659094,"2.0",0.05,12.4972063174738,"Control",12.3458349547287,-0.151371362745179
"P05090",153,153,186,186,176,176,0.415371434096564,-0.376628779957587,0.0387426541389768,"Short_peak",-0.310231470196234,0.00281842874659094,"2.0",0.05,12.4972063174738,"Short",12.7612063888252,0.264000071351385
"P05090",153,153,186,186,176,176,0.415371434096564,-0.376628779957587,0.0387426541389768,"Short_peak",-0.310231470196234,0.00281842874659094,"2.0",0.05,12.4972063174738,"Long",12.3845776088676,-0.112628708606202
"Q13316",149,153,177,186,166,176,0.292834648212654,-0.404688999322293,-0.111854351109638,"Short_peak",-0.362469661182347,0.00281842874659094,"2.0",0.05,8.78455648869015,"Control",8.72422972298914,-0.0603267657010047
"Q13316",149,153,177,186,166,176,0.292834648212654,-0.404688999322293,-0.111854351109638,"Short_peak",-0.362469661182347,0.00281842874659094,"2.0",0.05,8.78455648869015,"Short",9.0170643712018,0.23250788251165
"Q13316",149,153,177,186,166,176,0.292834648212654,-0.404688999322293,-0.111854351109638,"Short_peak",-0.362469661182347,0.00281842874659094,"2.0",0.05,8.78455648869015,"Long",8.61237537187951,-0.172181116810643
"O75752",153,153,186,186,174,176,0.149360971068965,-0.308195458132344,-0.158834487063379,"Short_peak",-0.255696667271577,0.00281842874659094,"2.0",0.05,9.08306932225724,"Control",9.08622716092205,0.00315783866480501
"O75752",153,153,186,186,174,176,0.149360971068965,-0.308195458132344,-0.158834487063379,"Short_peak",-0.255696667271577,0.00281842874659094,"2.0",0.05,9.08306932225724,"Short",9.23558813199101,0.15251880973377
"O75752",153,153,186,186,174,176,0.149360971068965,-0.308195458132344,-0.158834487063379,"Short_peak",-0.255696667271577,0.00281842874659094,"2.0",0.05,9.08306932225724,"Long",8.92739267385867,-0.155676648398574
"Q92859",153,153,186,186,176,176,0.0955476650526155,-0.346268091131405,-0.250720426078789,"Short_peak",-0.335777933302136,0.00294029176268442,"2.0",0.05,10.3575391548811,"Control",10.4092634085565,0.0517242536753919
"Q92859",153,153,186,186,176,176,0.0955476650526155,-0.346268091131405,-0.250720426078789,"Short_peak",-0.335777933302136,0.00294029176268442,"2.0",0.05,10.3575391548811,"Short",10.5048110736091,0.147271918728007
"Q92859",153,153,186,186,176,176,0.0955476650526155,-0.346268091131405,-0.250720426078789,"Short_peak",-0.335777933302136,0.00294029176268442,"2.0",0.05,10.3575391548811,"Long",10.1585429824777,-0.198996172403398
"O75487",153,153,186,186,175,176,0.23718001227715,-0.383354054313147,-0.146174042035996,"Short_peak",-0.342779620231813,0.00317808047041317,"2.0",0.05,8.62636782237492,"Control",8.59603249896121,-0.030335323413718
"O75487",153,153,186,186,175,176,0.23718001227715,-0.383354054313147,-0.146174042035996,"Short_peak",-0.342779620231813,0.00317808047041317,"2.0",0.05,8.62636782237492,"Short",8.83321251123836,0.206844688863432
"O75487",153,153,186,186,175,176,0.23718001227715,-0.383354054313147,-0.146174042035996,"Short_peak",-0.342779620231813,0.00317808047041317,"2.0",0.05,8.62636782237492,"Long",8.44985845692521,-0.176509365449714
"Q14520",153,153,186,186,176,176,0.129579578665858,-0.326626347918666,-0.197046769252808,"Short_peak",-0.344859582489377,0.00320865829552815,"2.0",0.05,17.7632751679506,"Control",17.7857642314796,0.0224890635289832
"Q14520",153,153,186,186,176,176,0.129579578665858,-0.326626347918666,-0.197046769252808,"Short_peak",-0.344859582489377,0.00320865829552815,"2.0",0.05,17.7632751679506,"Short",17.9153438101454,0.152068642194841
"Q14520",153,153,186,186,176,176,0.129579578665858,-0.326626347918666,-0.197046769252808,"Short_peak",-0.344859582489377,0.00320865829552815,"2.0",0.05,17.7632751679506,"Long",17.5887174622268,-0.174557705723824
"P28482",148,153,186,186,173,176,0.108037944902362,-0.467698716469206,-0.359660771566844,"Short_peak",-0.482759223999901,0.00320865829552815,"2.0",0.05,9.66401958436545,"Control",9.74789385992028,0.0838742755548285
"P28482",148,153,186,186,173,176,0.108037944902362,-0.467698716469206,-0.359660771566844,"Short_peak",-0.482759223999901,0.00320865829552815,"2.0",0.05,9.66401958436545,"Short",9.85593180482264,0.191912220457191
"P28482",148,153,186,186,173,176,0.108037944902362,-0.467698716469206,-0.359660771566844,"Short_peak",-0.482759223999901,0.00320865829552815,"2.0",0.05,9.66401958436545,"Long",9.38823308835343,-0.275786496012016
"Q6UWP8",153,153,186,186,176,176,0.195340163626286,-0.425738582037466,-0.23039841841118,"Short_peak",-0.434119086010783,0.00320865829552815,"2.0",0.05,8.86349930323241,"Control",8.87518538816071,0.0116860849282983
"Q6UWP8",153,153,186,186,176,176,0.195340163626286,-0.425738582037466,-0.23039841841118,"Short_peak",-0.434119086010783,0.00320865829552815,"2.0",0.05,8.86349930323241,"Short",9.070525551787,0.207026248554584
"Q6UWP8",153,153,186,186,176,176,0.195340163626286,-0.425738582037466,-0.23039841841118,"Short_peak",-0.434119086010783,0.00320865829552815,"2.0",0.05,8.86349930323241,"Long",8.64478696974953,-0.218712333482882
"Q06828",153,153,186,186,176,176,0.177700037339902,-0.315845331269928,-0.138145293930027,"Short_peak",-0.290548621602927,0.00320865829552815,"2.0",0.05,11.3827935256857,"Control",11.3696086112157,-0.0131849144699583
"Q06828",153,153,186,186,176,176,0.177700037339902,-0.315845331269928,-0.138145293930027,"Short_peak",-0.290548621602927,0.00320865829552815,"2.0",0.05,11.3827935256857,"Short",11.5473086485556,0.164515122869943
"Q06828",153,153,186,186,176,176,0.177700037339902,-0.315845331269928,-0.138145293930027,"Short_peak",-0.290548621602927,0.00320865829552815,"2.0",0.05,11.3827935256857,"Long",11.2314633172857,-0.151330208399985
"P22466",125,153,164,186,152,176,0.371578680423477,-0.665943513439947,-0.29436483301647,"Short_peak",-0.551231399747444,0.00333617930149253,"2.0",0.05,8.45842540620816,"Control",8.43268745707249,-0.0257379491356691
"P22466",125,153,164,186,152,176,0.371578680423477,-0.665943513439947,-0.29436483301647,"Short_peak",-0.551231399747444,0.00333617930149253,"2.0",0.05,8.45842540620816,"Short",8.80426613749596,0.345840731287808
"P22466",125,153,164,186,152,176,0.371578680423477,-0.665943513439947,-0.29436483301647,"Short_peak",-0.551231399747444,0.00333617930149253,"2.0",0.05,8.45842540620816,"Long",8.13832262405602,-0.320102782152139
"Q14956",152,153,177,186,164,176,0.116192011500235,-0.376051390106704,-0.259859378606468,"Short_peak",-0.407432461317501,0.00333617930149253,"2.0",0.05,8.12948496977352,"Control",8.17737409214226,0.0478891223687441
"Q14956",152,153,177,186,164,176,0.116192011500235,-0.376051390106704,-0.259859378606468,"Short_peak",-0.407432461317501,0.00333617930149253,"2.0",0.05,8.12948496977352,"Short",8.2935661036425,0.164081133868979
"Q14956",152,153,177,186,164,176,0.116192011500235,-0.376051390106704,-0.259859378606468,"Short_peak",-0.407432461317501,0.00333617930149253,"2.0",0.05,8.12948496977352,"Long",7.91751471353579,-0.211970256237724
"P49746",153,153,186,186,176,176,0.192037617876565,-0.332943428048088,-0.140905810171523,"Short_peak",-0.346564228366676,0.00333617930149253,"2.0",0.05,12.012184517686,"Control",11.9951405817843,-0.0170439359016825
"P49746",153,153,186,186,176,176,0.192037617876565,-0.332943428048088,-0.140905810171523,"Short_peak",-0.346564228366676,0.00333617930149253,"2.0",0.05,12.012184517686,"Short",12.1871781996609,0.174993681974883
"P49746",153,153,186,186,176,176,0.192037617876565,-0.332943428048088,-0.140905810171523,"Short_peak",-0.346564228366676,0.00333617930149253,"2.0",0.05,12.012184517686,"Long",11.8542347716128,-0.157949746073205
"O15335",153,153,186,186,176,176,0.151522303663103,-0.374691516224233,-0.22316921256113,"Short_peak",-0.366008636182293,0.00333617930149253,"2.0",0.05,11.1622778755768,"Control",11.1861601785428,0.02388230296601
"O15335",153,153,186,186,176,176,0.151522303663103,-0.374691516224233,-0.22316921256113,"Short_peak",-0.366008636182293,0.00333617930149253,"2.0",0.05,11.1622778755768,"Short",11.3376824822059,0.175404606629114
"O15335",153,153,186,186,176,176,0.151522303663103,-0.374691516224233,-0.22316921256113,"Short_peak",-0.366008636182293,0.00333617930149253,"2.0",0.05,11.1622778755768,"Long",10.9629909659817,-0.19928690959512
"P35052",153,153,186,186,176,176,0.164186530539741,-0.290611133708477,-0.126424603168736,"Short_peak",-0.290024136196072,0.00333617930149253,"2.0",0.05,7.97460516836592,"Control",7.96201785924225,-0.0125873091236688
"P35052",153,153,186,186,176,176,0.164186530539741,-0.290611133708477,-0.126424603168736,"Short_peak",-0.290024136196072,0.00333617930149253,"2.0",0.05,7.97460516836592,"Short",8.12620438978199,0.151599221416072
"P35052",153,153,186,186,176,176,0.164186530539741,-0.290611133708477,-0.126424603168736,"Short_peak",-0.290024136196072,0.00333617930149253,"2.0",0.05,7.97460516836592,"Long",7.83559325607351,-0.139011912292405
"Q99715",153,153,186,186,176,176,0.161247901219523,-0.3231851612139,-0.161937259994376,"Short_peak",-0.320290009890424,0.00333617930149253,"2.0",0.05,10.734799732937,"Control",10.7350295191953,0.000229786258284292
"Q99715",153,153,186,186,176,176,0.161247901219523,-0.3231851612139,-0.161937259994376,"Short_peak",-0.320290009890424,0.00333617930149253,"2.0",0.05,10.734799732937,"Short",10.8962774204148,0.161477687477808
"Q99715",153,153,186,186,176,176,0.161247901219523,-0.3231851612139,-0.161937259994376,"Short_peak",-0.320290009890424,0.00333617930149253,"2.0",0.05,10.734799732937,"Long",10.5730922592009,-0.161707473736092
"O00468",153,153,186,186,176,176,0.128824221042338,-0.299375528285042,-0.170551307242704,"Short_peak",-0.276281453354587,0.00336698512263927,"2.0",0.05,10.1780954718304,"Control",10.1920045005639,0.0139090287334565
"O00468",153,153,186,186,176,176,0.128824221042338,-0.299375528285042,-0.170551307242704,"Short_peak",-0.276281453354587,0.00336698512263927,"2.0",0.05,10.1780954718304,"Short",10.3208287216062,0.142733249775794
"O00468",153,153,186,186,176,176,0.128824221042338,-0.299375528285042,-0.170551307242704,"Short_peak",-0.276281453354587,0.00336698512263927,"2.0",0.05,10.1780954718304,"Long",10.0214531933212,-0.156642278509247
