"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"P16112",10.6710805788442,153,153,10.848195834081,186,186,10.3321730746028,176,176,0.177115255236837,-0.516022759478188,-0.338907504241352,"Short_peak",-0.485827645913437,0.00222043175614817,"2.0",0.05
"Q08378",10.9360055523322,129,153,11.2549485864383,159,186,10.7339292399764,154,176,0.318943034106054,-0.521019346461902,-0.202076312355848,"Short_peak",-0.442043249452322,0.00222043175614817,"2.0",0.05
"Q92696",9.27580076059245,143,153,9.40128628502704,169,186,8.93059517924046,162,176,0.125485524434586,-0.470691105786576,-0.345205581351991,"Short_peak",-0.464069862261104,0.00222043175614817,"2.0",0.05
"P13591",13.1042860874019,153,153,13.1954132387119,186,186,12.8244361912957,176,176,0.0911271513099567,-0.370977047416199,-0.279849896106242,"Short_peak",-0.377030017430075,0.00222043175614817,"2.0",0.05
"Q8TB73",7.96424954810987,151,153,8.3532327613309,186,186,7.87476540873576,172,176,0.388983213221027,-0.478467352595143,-0.0894841393741155,"Short_peak",-0.420930130056909,0.00222043175614817,"2.0",0.05
"P07585",12.3360288669422,153,153,12.4666436248533,186,186,12.1564973256028,176,176,0.130614757911022,-0.310146299250503,-0.179531541339481,"Short_peak",-0.303334431128075,0.00222043175614817,"2.0",0.05
"O14594",11.6147493241837,153,153,11.6873998717088,186,186,11.320453445051,176,176,0.0726505475250718,-0.366946426657734,-0.294295879132662,"Short_peak",-0.338048803475971,0.00222043175614817,"2.0",0.05
"O14786",14.1688947321773,153,153,14.2126627307296,186,186,13.9377594503444,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05
"Q9Y240",12.7266598374087,153,153,12.9231701445478,186,186,12.4915606941881,176,176,0.196510307139114,-0.431609450359732,-0.235099143220618,"Short_peak",-0.379634582288464,0.00236141885577988,"2.0",0.05
"P98160",12.0143372704488,153,153,12.1787449018485,186,186,11.8335314931151,176,176,0.164407631399703,-0.345213408733416,-0.180805777333713,"Short_peak",-0.331180140853975,0.00236141885577988,"2.0",0.05
"Q99983",13.9775173198201,153,153,14.2451723990535,186,186,13.8220010165845,176,176,0.267655079233473,-0.423171382469016,-0.155516303235544,"Short_peak",-0.405920109753758,0.00236141885577988,"2.0",0.05
"P05090",12.3458349547287,153,153,12.7612063888252,186,186,12.3845776088676,176,176,0.415371434096564,-0.376628779957587,0.0387426541389768,"Short_peak",-0.310231470196234,0.00281842874659094,"2.0",0.05
"Q13316",8.72422972298914,149,153,9.0170643712018,177,186,8.61237537187951,166,176,0.292834648212654,-0.404688999322293,-0.111854351109638,"Short_peak",-0.362469661182347,0.00281842874659094,"2.0",0.05
"O75752",9.08622716092205,153,153,9.23558813199101,186,186,8.92739267385867,174,176,0.149360971068965,-0.308195458132344,-0.158834487063379,"Short_peak",-0.255696667271577,0.00281842874659094,"2.0",0.05
"Q92859",10.4092634085565,153,153,10.5048110736091,186,186,10.1585429824777,176,176,0.0955476650526155,-0.346268091131405,-0.250720426078789,"Short_peak",-0.335777933302136,0.00294029176268442,"2.0",0.05
"O75487",8.59603249896121,153,153,8.83321251123836,186,186,8.44985845692521,175,176,0.23718001227715,-0.383354054313147,-0.146174042035996,"Short_peak",-0.342779620231813,0.00317808047041317,"2.0",0.05
"Q14520",17.7857642314796,153,153,17.9153438101454,186,186,17.5887174622268,176,176,0.129579578665858,-0.326626347918666,-0.197046769252808,"Short_peak",-0.344859582489377,0.00320865829552815,"2.0",0.05
"P28482",9.74789385992028,148,153,9.85593180482264,186,186,9.38823308835343,173,176,0.108037944902362,-0.467698716469206,-0.359660771566844,"Short_peak",-0.482759223999901,0.00320865829552815,"2.0",0.05
"Q6UWP8",8.87518538816071,153,153,9.070525551787,186,186,8.64478696974953,176,176,0.195340163626286,-0.425738582037466,-0.23039841841118,"Short_peak",-0.434119086010783,0.00320865829552815,"2.0",0.05
"Q06828",11.3696086112157,153,153,11.5473086485556,186,186,11.2314633172857,176,176,0.177700037339902,-0.315845331269928,-0.138145293930027,"Short_peak",-0.290548621602927,0.00320865829552815,"2.0",0.05
"P22466",8.43268745707249,125,153,8.80426613749596,164,186,8.13832262405602,152,176,0.371578680423477,-0.665943513439947,-0.29436483301647,"Short_peak",-0.551231399747444,0.00333617930149253,"2.0",0.05
"Q14956",8.17737409214226,152,153,8.2935661036425,177,186,7.91751471353579,164,176,0.116192011500235,-0.376051390106704,-0.259859378606468,"Short_peak",-0.407432461317501,0.00333617930149253,"2.0",0.05
"P49746",11.9951405817843,153,153,12.1871781996609,186,186,11.8542347716128,176,176,0.192037617876565,-0.332943428048088,-0.140905810171523,"Short_peak",-0.346564228366676,0.00333617930149253,"2.0",0.05
"O15335",11.1861601785428,153,153,11.3376824822059,186,186,10.9629909659817,176,176,0.151522303663103,-0.374691516224233,-0.22316921256113,"Short_peak",-0.366008636182293,0.00333617930149253,"2.0",0.05
"P35052",7.96201785924225,153,153,8.12620438978199,186,186,7.83559325607351,176,176,0.164186530539741,-0.290611133708477,-0.126424603168736,"Short_peak",-0.290024136196072,0.00333617930149253,"2.0",0.05
"Q99715",10.7350295191953,153,153,10.8962774204148,186,186,10.5730922592009,176,176,0.161247901219523,-0.3231851612139,-0.161937259994376,"Short_peak",-0.320290009890424,0.00333617930149253,"2.0",0.05
"O00468",10.1920045005639,153,153,10.3208287216062,186,186,10.0214531933212,176,176,0.128824221042338,-0.299375528285042,-0.170551307242704,"Short_peak",-0.276281453354587,0.00336698512263927,"2.0",0.05
"Q7LGC8",10.9939098532793,153,153,11.1565894528353,186,186,10.8637882876437,176,176,0.162679599556002,-0.292801165191658,-0.130121565635656,"Short_peak",-0.278969044252412,0.00354711847400752,"2.0",0.05
"Q9NR99",10.2518076682657,153,153,10.3820511385243,186,186,10.0977919921653,176,176,0.130243470258662,-0.284259146359021,-0.154015676100359,"Short_peak",-0.290871863924691,0.00354711847400752,"2.0",0.05
"P09603",11.5767305148099,153,153,11.7470846558751,186,186,11.3967065389225,176,176,0.170354141065225,-0.350378116952678,-0.180023975887453,"Short_peak",-0.299395117325982,0.00377185485648467,"2.0",0.05
"Q0VD83",10.4366109357262,153,153,10.579814819704,186,186,10.2262476507052,176,176,0.14320388397789,-0.353567168998801,-0.210363285020911,"Short_peak",-0.342918078277039,0.00377185485648467,"2.0",0.05
"Q8NG11",7.18518399522115,120,153,7.47486549960502,141,186,7.02427520608586,136,176,0.289681504383865,-0.450590293519157,-0.160908789135292,"Short_peak",-0.346357582439577,0.00377185485648467,"2.0",0.05
"Q9UKM7",9.65623715587969,153,153,9.73306060286556,186,186,9.38439968424938,176,176,0.0768234469858697,-0.348660918616172,-0.271837471630302,"Short_peak",-0.326302054051277,0.0038308820800138,"2.0",0.05
"Q6ZRP7",8.43185508519086,153,153,8.66664447811083,186,186,8.26209590038775,176,176,0.234789392919968,-0.404548577723075,-0.169759184803107,"Short_peak",-0.361076103515192,0.00409842065051398,"2.0",0.05
"P78539",9.31318941869873,153,153,9.53169475790737,185,186,9.23335268802374,176,176,0.21850533920864,-0.298342069883628,-0.0798367306749874,"Short_peak",-0.300069477399235,0.00409842065051398,"2.0",0.05
"Q13103",16.2545252427689,153,153,16.526959062403,186,186,16.1529504571838,176,176,0.272433819634113,-0.374008605219181,-0.101574785585068,"Short_peak",-0.30571895391865,0.00409842065051398,"2.0",0.05
"P35443",15.3055344045883,153,153,15.6065318481588,186,186,15.2061162185118,176,176,0.300997443570473,-0.400415629646972,-0.0994181860764982,"Short_peak",-0.352856303425291,0.00412576332939874,"2.0",0.05
"Q14515",14.4757113276499,153,153,14.6066797867558,186,186,14.2557289551303,176,176,0.130968459105913,-0.35095083162553,-0.219982372519617,"Short_peak",-0.323722684974175,0.00435901778539578,"2.0",0.05
"Q9BYH1",11.0608540179253,153,153,11.2485231444453,186,186,10.9090577980103,176,176,0.187669126519941,-0.339465346434995,-0.151796219915054,"Short_peak",-0.310548175266486,0.00435901778539578,"2.0",0.05
"P28906",10.8254764127695,153,153,11.0754020565935,184,186,10.7138011563638,175,176,0.249925643824003,-0.3616009002297,-0.111675256405697,"Short_peak",-0.360813359055095,0.00435901778539578,"2.0",0.05
"P04004",18.2760434997392,153,153,18.4771496164669,186,186,18.1661053214134,176,176,0.201106116727733,-0.311044295053513,-0.10993817832578,"Short_peak",-0.272652972367123,0.0044124299371178,"2.0",0.05
"Q6P4E1",11.3595676209531,153,153,11.4139971640663,186,186,11.1242284169074,176,176,0.054429543113244,-0.289768747158911,-0.235339204045667,"Short_peak",-0.2898375651728,0.00441702037030292,"2.0",0.05
"O95196",9.53287286319273,149,153,9.73340013945715,179,186,9.38546305380333,171,176,0.20052727626442,-0.34793708565382,-0.1474098093894,"Short_peak",-0.320096612381255,0.00443006302497877,"2.0",0.05
"Q5JRA6",10.9918440754988,153,153,11.3454401237785,186,186,10.9609374169552,176,176,0.35359604827962,-0.384502706823302,-0.0309066585436817,"Short_peak",-0.329167581397352,0.00443006302497877,"2.0",0.05
"Q9H251",10.1884972008649,153,153,10.3515701404591,186,186,9.97478153961667,176,176,0.163072939594251,-0.376788600842444,-0.213715661248193,"Short_peak",-0.340042349521346,0.00443006302497877,"2.0",0.05
"P08294",9.48916076316838,153,153,9.74408839783027,186,186,9.41203882637789,176,176,0.254927634661886,-0.33204957145238,-0.0771219367904941,"Short_peak",-0.314605377643598,0.00443006302497877,"2.0",0.05
"P08493",14.5188352093539,153,153,14.6699177562703,186,186,14.3297730472265,176,176,0.15108254691641,-0.340144709043804,-0.189062162127394,"Short_peak",-0.31932544773318,0.00443006302497877,"2.0",0.05
"Q8IUX7",10.867855919097,153,153,10.9949510403951,186,186,10.7057082737211,176,176,0.127095121298115,-0.289242766674011,-0.162147645375896,"Short_peak",-0.291694663019666,0.00464220544740407,"2.0",0.05
"P49747",15.0222889432226,153,153,15.2204640791973,186,186,14.9084318102471,176,176,0.198175135974692,-0.312032268950238,-0.113857132975546,"Short_peak",-0.318139621116435,0.00499848821147557,"2.0",0.05
"Q9HC84",8.68356024530913,150,153,9.09396058330631,183,186,8.46703440630935,171,176,0.410400337997173,-0.626926176996957,-0.216525838999784,"Short_peak",-0.558904752870545,0.00513533483371889,"2.0",0.05
"Q8IZF2",10.51049414678,153,153,10.5998475340376,186,186,10.3138158603591,176,176,0.0893533872576295,-0.286031673678519,-0.196678286420889,"Short_peak",-0.285626412674647,0.00513533483371889,"2.0",0.05
"P09326",8.3390928263218,145,153,8.42755236355156,180,186,8.04491028497055,165,176,0.0884595372297632,-0.382642078581014,-0.294182541351251,"Short_peak",-0.382030297331022,0.0055795634154485,"2.0",0.05
"P07359",17.2648594278436,153,153,17.3334445164098,186,186,17.0658287303656,176,176,0.0685850885662234,-0.267615786044171,-0.199030697477948,"Short_peak",-0.272122274218855,0.0055795634154485,"2.0",0.05
"Q13444",7.58068264741453,135,153,7.9621515900256,171,186,7.42839866791735,156,176,0.381468942611067,-0.533752922108248,-0.152283979497181,"Short_peak",-0.458229327159033,0.00602766489305162,"2.0",0.05
"P19256",7.89876031883388,143,153,8.10266212993535,175,186,7.76857877458154,164,176,0.203901811101465,-0.334083355353806,-0.13018154425234,"Short_peak",-0.30410409387196,0.00668058606099324,"2.0",0.05
"P06734",9.29204944234243,146,153,9.52278714698307,181,186,9.14667563078465,162,176,0.230737704640639,-0.376111516198423,-0.145373811557784,"Short_peak",-0.374318015664242,0.00668058606099324,"2.0",0.05
