"Protein","Included_in_heatmap"
"P16112",TRUE
"Q08378",TRUE
"Q92696",TRUE
"P13591",TRUE
"Q8TB73",TRUE
"P07585",TRUE
"O14594",TRUE
"O14786",TRUE
"Q9Y240",TRUE
"P98160",TRUE
"Q99983",TRUE
"P05090",TRUE
"Q13316",TRUE
"O75752",TRUE
"Q92859",TRUE
"O75487",TRUE
"Q14520",TRUE
"P28482",TRUE
"Q6UWP8",TRUE
"Q06828",TRUE
"P22466",TRUE
"Q14956",TRUE
"P49746",TRUE
"O15335",TRUE
"P35052",TRUE
"Q99715",TRUE
"O00468",TRUE
"Q7LGC8",TRUE
"Q9NR99",TRUE
"P09603",TRUE
"Q0VD83",TRUE
"Q8NG11",TRUE
"Q9UKM7",TRUE
"Q6ZRP7",TRUE
"P78539",TRUE
"Q13103",TRUE
"P35443",TRUE
"Q14515",TRUE
"Q9BYH1",TRUE
"P28906",TRUE
"P04004",TRUE
"Q6P4E1",TRUE
"O95196",TRUE
"Q5JRA6",TRUE
"Q9H251",TRUE
"P08294",TRUE
"P08493",TRUE
"Q8IUX7",TRUE
"P49747",TRUE
"Q9HC84",TRUE
"Q8IZF2",TRUE
"P09326",TRUE
"P07359",TRUE
"Q13444",TRUE
"P19256",TRUE
"P06734",TRUE
"Q6Q788",TRUE
"P49641",TRUE
"Q6UVK1",TRUE
"O75787",TRUE
"O60279",TRUE
"O94985",TRUE
"P14314",TRUE
"P10451",TRUE
"Q9HCM3",TRUE
"O15466",TRUE
"Q9NQ79",TRUE
"P40967",TRUE
"Q12797",TRUE
"Q9BUD6",TRUE
"Q9BRK5",TRUE
"P09619",TRUE
"Q8WWA0",TRUE
"Q14517",TRUE
"P55290",TRUE
"P05154",TRUE
"P13942",TRUE
"Q9BV94",TRUE
"P27797",TRUE
"Q9Y5X9",TRUE
"O43157",TRUE
"P12109",TRUE
"P23471",TRUE
"Q14393",TRUE
"Q9BY76",TRUE
"Q08431",TRUE
"Q9BXX0",TRUE
"P13611",TRUE
"O95967",TRUE
"P12259",TRUE
"Q9NRA1",TRUE
"Q9NZ53",TRUE
"P12111",TRUE
"O15400",TRUE
"P14625",TRUE
"Q6V0I7",TRUE
"Q8NEH6",TRUE
"P39059",TRUE
"P56715",TRUE
"Q02952",TRUE
"Q13740",TRUE
"P05019",TRUE
"P51888",TRUE
"Q9HCU0",TRUE
"Q9NS73",TRUE
"Q9Y274",TRUE
"Q6UXD5",TRUE
"Q6UWD8",TRUE
"P26572",TRUE
"Q9UGM3",TRUE
"Q86TY3",TRUE
"P16070",TRUE
"Q92823",TRUE
"Q9ULI3",TRUE
"Q02818",TRUE
"Q504Y2",TRUE
"Q92187",TRUE
"P02760",TRUE
"Q53EL9",TRUE
"Q15582",TRUE
"O00461",TRUE
"P26022",TRUE
"O60462",TRUE
"Q8IZP7",TRUE
"P29966",TRUE
"Q14767",TRUE
"Q76LX8",TRUE
"P16871",TRUE
"Q9H159",TRUE
"Q07507",TRUE
"P00966",TRUE
"Q8IUK5",TRUE
"P98095",TRUE
"Q96AQ6",TRUE
"P24821",TRUE
"Q658P3",TRUE
"Q6EMK4",TRUE
"Q86YZ3",TRUE
"P32942",TRUE
"Q6YHK3",TRUE
"P20908",TRUE
"Q10472",TRUE
"P50895",TRUE
"Q14242",TRUE
"Q8IZP9",TRUE
"Q8NBJ4",TRUE
"P21810",TRUE
"O95715",TRUE
"Q9BXN1",TRUE
"Q9H2X3",TRUE
"Q6UX71",TRUE
"Q8NI99",TRUE
"O94769",TRUE
"Q9NP78",TRUE
"Q9Y4L1",TRUE
"Q9H8L6",TRUE
"Q92752",TRUE
"Q92743",TRUE
"P51884",TRUE
"O00339",TRUE
"Q9BWP8",TRUE
"Q8NBJ7",TRUE
"Q76I76",TRUE
"P05387",TRUE
"O43897",TRUE
"P55287",TRUE
"P52943",TRUE
"Q8TD06",TRUE
"Q9H8J5",TRUE
"A1L4H1",TRUE
"Q9NYQ6",TRUE
"P00736",TRUE
"P80108",TRUE
"Q8WWZ8",TRUE
"Q15293",TRUE
"Q16706",TRUE
"P15291",TRUE
"P07942",TRUE
"P01011",TRUE
"Q99969",TRUE
"Q13217",TRUE
"Q9NS62",TRUE
"O43505",TRUE
"Q14574",TRUE
"Q09327",TRUE
"Q07954",TRUE
"Q9Y625",TRUE
"Q8N3T1",TRUE
"P07355",TRUE
"P19320",TRUE
"Q9UHF0",TRUE
"Q86TH1",TRUE
"Q08554",TRUE
"P08833",TRUE
"P78509",TRUE
"Q15166",TRUE
"P35625",TRUE
"P14543",TRUE
"Q6ZN30",TRUE
"Q08722",TRUE
"Q6UXI9",TRUE
"Q6E0U4",TRUE
"P35030",TRUE
"P16150",TRUE
"P98164",TRUE
"Q5D862",TRUE
"Q16270",TRUE
"P55291",TRUE
"Q96EE4",TRUE
"P08195",TRUE
"Q9H0B8",TRUE
"Q8TER0",TRUE
"Q9NPG4",TRUE
"P08575",TRUE
"Q9UBP4",TRUE
"P41222",TRUE
"Q13609",TRUE
"O75339",TRUE
"P08238",TRUE
"Q99542",TRUE
"P04233",TRUE
"O60245",TRUE
"Q7Z7M9",TRUE
"P39060",TRUE
"Q8WWV6",TRUE
"Q9BYE9",TRUE
"Q9H1Z8",TRUE
"Q9UBS9",TRUE
"P01275",TRUE
"Q99784",TRUE
"P60033",TRUE
"O15031",TRUE
"Q9NQ38",TRUE
"Q11201",TRUE
"A6NDG6",TRUE
"Q08174",TRUE
"Q8TDL5",TRUE
"Q9NRB3",TRUE
"O14645",TRUE
"Q15438",TRUE
"P48740",TRUE
"Q9BYJ0",TRUE
"Q15599",TRUE
"P12830",TRUE
"P07307",TRUE
"P27169",TRUE
"Q7Z7G0",TRUE
"Q8NFU4",TRUE
"Q641Q3",TRUE
"P09871",TRUE
"Q9Y6Z7",TRUE
"P55157",TRUE
"P15311",TRUE
"P51148",TRUE
"P13645",TRUE
"P07333",TRUE
