"Protein","K","Cluster"
"P16112",2,1
"Q08378",2,2
"Q92696",2,2
"P13591",2,1
"Q8TB73",2,1
"P07585",2,1
"O14594",2,1
"O14786",2,1
"Q9Y240",2,1
"P98160",2,1
"Q99983",2,1
"P05090",2,1
"Q13316",2,2
"O75752",2,1
"Q92859",2,1
"O75487",2,1
"Q14520",2,1
"P28482",2,2
"Q6UWP8",2,1
"Q06828",2,1
"P22466",2,1
"Q14956",2,2
"P49746",2,1
"O15335",2,1
"P35052",2,1
"Q99715",2,1
"O00468",2,1
"Q7LGC8",2,1
"Q9NR99",2,1
"P09603",2,1
"Q0VD83",2,1
"Q8NG11",2,2
"Q9UKM7",2,1
"Q6ZRP7",2,1
"P78539",2,1
"Q13103",2,1
"P35443",2,1
"Q14515",2,1
"Q9BYH1",2,1
"P28906",2,1
"P04004",2,1
"Q6P4E1",2,1
"O95196",2,2
"Q5JRA6",2,1
"Q9H251",2,1
"P08294",2,1
"P08493",2,1
"Q8IUX7",2,1
"P49747",2,1
"Q9HC84",2,2
"Q8IZF2",2,1
"P09326",2,2
"P07359",2,1
"Q13444",2,1
"P19256",2,2
"P06734",2,2
"Q6Q788",2,2
"P49641",2,1
"Q6UVK1",2,1
"O75787",2,1
"O60279",2,1
"O94985",2,1
"P14314",2,1
"P10451",2,1
"Q9HCM3",2,1
"O15466",2,1
"Q9NQ79",2,1
"P40967",2,1
"Q12797",2,1
"Q9BUD6",2,1
"Q9BRK5",2,1
"P09619",2,1
"Q8WWA0",2,1
"Q14517",2,1
"P55290",2,1
"P05154",2,2
"P13942",2,1
"Q9BV94",2,2
"P27797",2,1
"Q9Y5X9",2,2
"O43157",2,1
"P12109",2,1
"P23471",2,1
"Q14393",2,1
"Q9BY76",2,2
"Q08431",2,2
"Q9BXX0",2,1
"P13611",2,1
"O95967",2,1
"P12259",2,1
"Q9NRA1",2,1
"Q9NZ53",2,1
"P12111",2,1
"O15400",2,2
"P14625",2,1
"Q6V0I7",2,1
"Q8NEH6",2,2
"P39059",2,1
"P56715",2,2
"Q02952",2,1
"Q13740",2,1
"P05019",2,2
"P51888",2,1
"Q9HCU0",2,1
"Q9NS73",2,2
"Q9Y274",2,1
"Q6UXD5",2,1
"Q6UWD8",2,2
"P26572",2,1
"Q9UGM3",2,2
"Q86TY3",2,1
"P16070",2,1
"Q92823",2,1
"Q9ULI3",2,1
"Q02818",2,2
"Q504Y2",2,1
"Q92187",2,1
"P02760",2,2
"Q53EL9",2,2
"Q15582",2,1
"O00461",2,1
"P26022",2,1
"O60462",2,1
"Q8IZP7",2,1
"P29966",2,2
"Q14767",2,1
"Q76LX8",2,1
"P16871",2,1
"Q9H159",2,1
"Q07507",2,1
"P00966",2,2
"Q8IUK5",2,1
"P98095",2,1
"Q96AQ6",2,1
"P24821",2,1
"Q658P3",2,2
"Q6EMK4",2,1
"Q86YZ3",2,2
"P32942",2,1
"Q6YHK3",2,1
"P20908",2,2
"Q10472",2,1
"P50895",2,1
"Q14242",2,1
"Q8IZP9",2,1
"Q8NBJ4",2,1
"P21810",2,1
"O95715",2,1
"Q9BXN1",2,1
"Q9H2X3",2,2
"Q6UX71",2,1
"Q8NI99",2,1
"O94769",2,1
"Q9NP78",2,2
"Q9Y4L1",2,1
"Q9H8L6",2,1
"Q92752",2,2
"Q92743",2,1
"P51884",2,1
"O00339",2,2
"Q9BWP8",2,1
"Q8NBJ7",2,1
"Q76I76",2,2
"P05387",2,1
"O43897",2,2
"P55287",2,1
"P52943",2,2
"Q8TD06",2,2
"Q9H8J5",2,1
"A1L4H1",2,1
"Q9NYQ6",2,1
"P00736",2,1
"P80108",2,1
"Q8WWZ8",2,1
"Q15293",2,1
"Q16706",2,1
"P15291",2,1
"P07942",2,1
"P01011",2,1
"Q99969",2,2
"Q13217",2,1
"Q9NS62",2,1
"O43505",2,2
"Q14574",2,1
"Q09327",2,2
"Q07954",2,1
"Q9Y625",2,2
