"Protein","GeneSymbol","GeneNames_UniProt","ProteinName","UniProt_mapped","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","Pattern_display","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"P16112","ACAN","ACAN AGC1 CSPG1 MSK16","Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2]",TRUE,10.6710805788442,153,153,10.848195834081,186,186,10.3321730746028,176,176,0.177115255236837,-0.516022759478188,-0.338907504241352,"Short_peak","Short-high profile",-0.485827645913437,0.00222043175614817,2,0.05
"Q08378","GOLGA3","GOLGA3","Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160)",TRUE,10.9360055523322,129,153,11.2549485864383,159,186,10.7339292399764,154,176,0.318943034106054,-0.521019346461902,-0.202076312355848,"Short_peak","Short-high profile",-0.442043249452322,0.00222043175614817,2,0.05
"Q92696","RABGGTA","RABGGTA","Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha) (Rab geranyl-geranyltransferase subunit alpha) (Rab GG transferase alpha) (Rab GGTase alpha) (Rab geranylgeranyltransferase subunit alpha)",TRUE,9.27580076059245,143,153,9.40128628502704,169,186,8.93059517924046,162,176,0.125485524434586,-0.470691105786576,-0.345205581351991,"Short_peak","Short-high profile",-0.464069862261104,0.00222043175614817,2,0.05
"P13591","NCAM1","NCAM1 NCAM","Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)",TRUE,13.1042860874019,153,153,13.1954132387119,186,186,12.8244361912957,176,176,0.0911271513099567,-0.370977047416199,-0.279849896106242,"Short_peak","Short-high profile",-0.377030017430075,0.00222043175614817,2,0.05
"Q8TB73","NDNF","NDNF C4orf31 UNQ2748/PRO6487","Protein NDNF (Neuron-derived neurotrophic factor)",TRUE,7.96424954810987,151,153,8.3532327613309,186,186,7.87476540873576,172,176,0.388983213221027,-0.478467352595143,-0.0894841393741155,"Short_peak","Short-high profile",-0.420930130056909,0.00222043175614817,2,0.05
"P07585","DCN","DCN SLRR1B","Decorin (Bone proteoglycan II) (PG-S2) (PG40)",TRUE,12.3360288669422,153,153,12.4666436248533,186,186,12.1564973256028,176,176,0.130614757911022,-0.310146299250503,-0.179531541339481,"Short_peak","Short-high profile",-0.303334431128075,0.00222043175614817,2,0.05
"O14594","NCAN","NCAN CSPG3 NEUR","Neurocan core protein (Chondroitin sulfate proteoglycan 3)",TRUE,11.6147493241837,153,153,11.6873998717088,186,186,11.320453445051,176,176,0.0726505475250718,-0.366946426657734,-0.294295879132662,"Short_peak","Short-high profile",-0.338048803475971,0.00222043175614817,2,0.05
"O14786","NRP1","NRP1 NRP VEGF165R","Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)",TRUE,14.1688947321773,153,153,14.2126627307296,186,186,13.9377594503444,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression","Control/Short-similar, Long-low profile",-0.293258576953324,0.00236141885577988,2,0.05
"Q9Y240","CLEC11A","CLEC11A CLECSF3 LSLCL SCGF","C-type lectin domain family 11 member A (C-type lectin superfamily member 3) (Lymphocyte secreted C-type lectin) (Osteolectin) (Stem cell growth factor) (p47)",TRUE,12.7266598374087,153,153,12.9231701445478,186,186,12.4915606941881,176,176,0.196510307139114,-0.431609450359732,-0.235099143220618,"Short_peak","Short-high profile",-0.379634582288464,0.00236141885577988,2,0.05
"P98160","HSPG2","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]",TRUE,12.0143372704488,153,153,12.1787449018485,186,186,11.8335314931151,176,176,0.164407631399703,-0.345213408733416,-0.180805777333713,"Short_peak","Short-high profile",-0.331180140853975,0.00236141885577988,2,0.05
