"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2","Pattern_display","GeneSymbol","GeneNames_UniProt","ProteinName","UniProt_mapped"
"Q8WWZ8",10.2061190648437,153,153,10.7852099441262,186,186,10.149482580223,176,176,0.579090879282456,-0.635727363903138,-0.0566364846206824,"Short_peak",-0.605686218453402,0.0263115595784522,2,0.05,"Short-high profile","OIT3","OIT3 LZP UNQ826/PRO1753","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)",TRUE
"Q9HC84",8.68356024530913,150,153,9.09396058330631,183,186,8.46703440630935,171,176,0.410400337997173,-0.626926176996957,-0.216525838999784,"Short_peak",-0.558904752870545,0.00513533483371889,2,0.05,"Short-high profile","MUC5B","MUC5B MUC5","Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",TRUE
"P22466",8.43268745707249,125,153,8.80426613749596,164,186,8.13832262405602,152,176,0.371578680423477,-0.665943513439947,-0.29436483301647,"Short_peak",-0.551231399747444,0.00333617930149253,2,0.05,"Short-high profile","GAL","GAL GAL1 GALN GLNN","Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide (GMAP)]",TRUE
"P16112",10.6710805788442,153,153,10.848195834081,186,186,10.3321730746028,176,176,0.177115255236837,-0.516022759478188,-0.338907504241352,"Short_peak",-0.485827645913437,0.00222043175614817,2,0.05,"Short-high profile","ACAN","ACAN AGC1 CSPG1 MSK16","Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2]",TRUE
"P28482",9.74789385992028,148,153,9.85593180482264,186,186,9.38823308835343,173,176,0.108037944902362,-0.467698716469206,-0.359660771566844,"Short_peak",-0.482759223999901,0.00320865829552815,2,0.05,"Short-high profile","MAPK1","MAPK1 ERK2 PRKM1 PRKM2","Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)",TRUE
"P98164",10.1960573335716,133,153,10.5018186785521,164,186,10.1392056679413,137,176,0.305761344980471,-0.362613010610705,-0.0568516656302336,"Short_peak",-0.481314449975043,0.0340384235664396,2,0.05,"Short-high profile","LRP2","LRP2","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)",TRUE
"Q92696",9.27580076059245,143,153,9.40128628502704,169,186,8.93059517924046,162,176,0.125485524434586,-0.470691105786576,-0.345205581351991,"Short_peak",-0.464069862261104,0.00222043175614817,2,0.05,"Short-high profile","RABGGTA","RABGGTA","Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha) (Rab geranyl-geranyltransferase subunit alpha) (Rab GG transferase alpha) (Rab GGTase alpha) (Rab geranylgeranyltransferase subunit alpha)",TRUE
"Q13444",7.58068264741453,135,153,7.9621515900256,171,186,7.42839866791735,156,176,0.381468942611067,-0.533752922108248,-0.152283979497181,"Short_peak",-0.458229327159033,0.00602766489305162,2,0.05,"Short-high profile","ADAM15","ADAM15 MDC15","Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)",TRUE
"Q9H0B8",7.38782041594811,120,153,7.5697501053432,154,186,7.14675196525439,136,176,0.181929689395097,-0.422998140088811,-0.241068450693715,"Short_peak",-0.453311755660997,0.0369051920761932,2,0.05,"Short-high profile","CRISPLD2","CRISPLD2 CRISP11 LCRISP2 UNQ2914/PRO1156/PRO9783","Cysteine-rich secretory protein LCCL domain-containing 2 (Cysteine-rich secretory protein 11) (CRISP-11) (LCCL domain-containing cysteine-rich secretory protein 2)",TRUE
"Q08378",10.9360055523322,129,153,11.2549485864383,159,186,10.7339292399764,154,176,0.318943034106054,-0.521019346461902,-0.202076312355848,"Short_peak",-0.442043249452322,0.00222043175614817,2,0.05,"Short-high profile","GOLGA3","GOLGA3","Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160)",TRUE
"Q6UWP8",8.87518538816071,153,153,9.070525551787,186,186,8.64478696974953,176,176,0.195340163626286,-0.425738582037466,-0.23039841841118,"Short_peak",-0.434119086010783,0.00320865829552815,2,0.05,"Short-high profile","SBSN","SBSN UNQ698/PRO1343","Suprabasin",TRUE
"Q14393",9.05618743491456,153,153,9.35674518519037,186,186,8.99631102638825,174,176,0.300557750275813,-0.360434158802121,-0.0598764085263088,"Short_peak",-0.423813894355977,0.0103300960643479,2,0.05,"Short-high profile","GAS6","GAS6 AXLLG","Growth arrest-specific protein 6 (GAS-6) (AXL receptor tyrosine kinase ligand)",TRUE
"Q8TB73",7.96424954810987,151,153,8.3532327613309,186,186,7.87476540873576,172,176,0.388983213221027,-0.478467352595143,-0.0894841393741155,"Short_peak",-0.420930130056909,0.00222043175614817,2,0.05,"Short-high profile","NDNF","NDNF C4orf31 UNQ2748/PRO6487","Protein NDNF (Neuron-derived neurotrophic factor)",TRUE
"Q07954",10.8113774194767,153,153,10.9999154022452,186,186,10.680704058821,176,176,0.188537982768493,-0.31921134342419,-0.130673360655697,"Short_peak",-0.409638795159573,0.029533879018191,2,0.05,"Short-high profile","LRP1","LRP1 A2MR APR","Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]",TRUE
"Q14956",8.17737409214226,152,153,8.2935661036425,177,186,7.91751471353579,164,176,0.116192011500235,-0.376051390106704,-0.259859378606468,"Short_peak",-0.407432461317501,0.00333617930149253,2,0.05,"Short-high profile","GPNMB","GPNMB HGFIN NMB UNQ1725/PRO9925","Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)",TRUE
"Q99983",13.9775173198201,153,153,14.2451723990535,186,186,13.8220010165845,176,176,0.267655079233473,-0.423171382469016,-0.155516303235544,"Short_peak",-0.405920109753758,0.00236141885577988,2,0.05,"Short-high profile","OMD","OMD SLRR2C UNQ190/PRO216","Osteomodulin (Keratan sulfate proteoglycan osteomodulin) (KSPG osteomodulin) (Osteoadherin) (OSAD)",TRUE
"Q08722",7.92595736256528,133,153,8.66897987021613,150,186,8.07403201990318,139,176,0.743022507650859,-0.594947850312955,0.148074657337903,"Short_peak",-0.402388829694333,0.0321794129002044,2,0.05,"Short-high profile","CD47","CD47 MER6","Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47)",TRUE
"Q9BUD6",8.29965814382221,141,153,8.51761942631103,179,186,8.07481286119926,168,176,0.217961282488824,-0.44280656511177,-0.224845282622946,"Short_peak",-0.397306702209899,0.00759083958367728,2,0.05,"Short-high profile","SPON2","SPON2 DIL1 UNQ435/PRO866","Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin)",TRUE
"Q9BY76",7.93639783548556,148,153,8.3253154059897,180,186,7.84328896166207,163,176,0.388917570504144,-0.482026444327631,-0.0931088738234873,"Short_peak",-0.392981085620209,0.0104349010104512,2,0.05,"Short-high profile","ANGPTL4","ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197","Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) [Cleaved into: ANGPTL4 N-terminal chain; ANGPTL4 C-terminal chain]",TRUE
"P09326",8.3390928263218,145,153,8.42755236355156,180,186,8.04491028497055,165,176,0.0884595372297632,-0.382642078581014,-0.294182541351251,"Short_peak",-0.382030297331022,0.0055795634154485,2,0.05,"Short-high profile","CD48","CD48 BCM1 BLAST1","CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)",TRUE
"Q9BYE9",9.28385281332904,153,153,9.52730646416485,186,186,9.13569962713795,176,176,0.243453650835809,-0.391606837026906,-0.148153186191097,"Short_peak",-0.380813061372482,0.0389796815457881,2,0.05,"Short-high profile","CDHR2","CDHR2 PCDH24 PCLKC","Cadherin-related family member 2 (Protocadherin LKC) (PC-LKC) (Protocadherin-24)",TRUE
"Q9Y240",12.7266598374087,153,153,12.9231701445478,186,186,12.4915606941881,176,176,0.196510307139114,-0.431609450359732,-0.235099143220618,"Short_peak",-0.379634582288464,0.00236141885577988,2,0.05,"Short-high profile","CLEC11A","CLEC11A CLECSF3 LSLCL SCGF","C-type lectin domain family 11 member A (C-type lectin superfamily member 3) (Lymphocyte secreted C-type lectin) (Osteolectin) (Stem cell growth factor) (p47)",TRUE
"P13591",13.1042860874019,153,153,13.1954132387119,186,186,12.8244361912957,176,176,0.0911271513099567,-0.370977047416199,-0.279849896106242,"Short_peak",-0.377030017430075,0.00222043175614817,2,0.05,"Short-high profile","NCAM1","NCAM1 NCAM","Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)",TRUE
"Q8NI99",11.8974438293827,153,153,12.1463729242572,186,186,11.7626629162936,176,176,0.248929094874468,-0.383710007963582,-0.134780913089115,"Short_peak",-0.376744036144384,0.0210157065256928,2,0.05,"Short-high profile","ANGPTL6","ANGPTL6 AGF ARP5 UNQ152/PRO178","Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor) (Angiopoietin-related protein 5)",TRUE
