"PG.ProteinGroups","Run","Contrast","logFC","SE_moderated","CI_low","CI_high","AveExpr","t","P.Value","adj.P.Val","B","N_observed_control","N_observed_low","N_observed_high"
"Q14515","20260527","High_vs_Control",-0.56401140724379,0.0967955761290184,-0.755345460583308,-0.372677353904271,14.5932613097103,-5.82683041724987,3.58613691436786e-08,5.14252033520351e-05,8.45739414046179,30,66,46
"P00736","20260527","High_vs_Control",-0.51153080845593,0.0945403255634692,-0.698406949055432,-0.324654667856428,15.602770558382,-5.410715537599,2.57596847193367e-07,0.000184696939437644,6.6205589497398,30,66,46
"P09326","20260527","High_vs_Control",-0.758759177172299,0.150569672956055,-1.05651812364958,-0.461000230695018,8.12197061058538,-5.03925632749264,1.46036604886475e-06,0.000530917973500073,5.01302983155378,30,62,43
"Q15758","20260527","High_vs_Control",-1.06940721866019,0.212254906676729,-1.48945110219413,-0.649363335126248,7.04687286677523,-5.03831565264558,1.58889911508618e-06,0.000530917973500073,4.93919629768983,28,57,40
"Q6ZN30","20260527","High_vs_Control",-1.06264346031796,0.21314665241142,-1.48415669524683,-0.641130225389082,15.85036725754,-4.98550386926471,1.85117842921922e-06,0.000530917973500073,4.7934827253643,28,62,45
"Q15582","20260527","High_vs_Control",-0.457212318070459,0.0947876664257223,-0.644577372849968,-0.26984726329095,10.6154031968612,-4.82354229522826,3.5686488483721e-06,0.000781638381531876,4.18191180141526,30,66,46
"Q9NYQ6","20260527","High_vs_Control",-0.634540054940363,0.131975477691301,-0.895413579309269,-0.373666530571457,8.68244370532916,-4.8080148376094,3.81552905908168e-06,0.000781638381531876,4.12005189892474,30,66,46
"O14594","20260527","High_vs_Control",-0.515927433037444,0.108796545595151,-0.73098358426394,-0.300871281810948,11.5167303996018,-4.74213064592409,5.05987743818391e-06,0.000906983030794466,3.85915532224042,30,66,46
"P04004","20260527","High_vs_Control",-0.340230570588648,0.0728141844511309,-0.484161043537914,-0.196300097639383,18.1939064329618,-4.67258643564144,6.79719328891571e-06,0.0010830194640339,3.58656815544831,30,66,46
"P60985","20260527","High_vs_Control",-0.540690543750213,0.119804457034824,-0.777505833139674,-0.303875254360751,11.0971789597104,-4.51310875348357,1.32291799976985e-05,0.00189706441166997,2.97256391102869,30,66,46
"P12259","20260527","High_vs_Control",-0.301341718142815,0.0673648541625112,-0.434500599106124,-0.168182837179507,18.2064334524086,-4.4732779709707,1.55852118123899e-05,0.00203174488536065,2.82166502541989,30,66,46
"Q92696","20260527","High_vs_Control",-0.921993106128934,0.213155601221862,-1.34363601889355,-0.500350193364315,9.04710880322414,-4.32544629765221,2.97857863426757e-05,0.00355940146794975,2.23841836188987,29,60,42
"Q92765","20260527","High_vs_Control",-0.793658765624456,0.186794484439634,-1.16403409779793,-0.423283433450985,7.92060148662632,-4.24883404884978,4.66051151265464e-05,0.00474408098963406,1.86470083914452,22,54,28
"P0DJI8","20260527","High_vs_Control",-0.75284044037387,0.1796292911532,-1.10791437245551,-0.397766508292233,14.9194483539973,-4.19107839005944,4.84113361751011e-05,0.00474408098963406,1.78098450564106,30,66,46
"P17927","20260527","High_vs_Control",-0.684119105937672,0.163060040889624,-1.00666599085552,-0.361572221019819,7.59728294355077,-4.19550431979074,4.96242781342475e-05,0.00474408098963406,1.77630877552416,28,63,40
"Q12797","20260527","High_vs_Control",-0.448936714283235,0.10836118294335,-0.663132292080934,-0.234741136485536,9.3027490745909,-4.14296616268885,5.83871241196209e-05,0.00504146059012567,1.60937173915733,30,66,46
"Q8IZF2","20260527","High_vs_Control",-0.480822765344209,0.116505333907189,-0.711116738102058,-0.25052879258636,10.483453775736,-4.12704508213543,6.21150482585531e-05,0.00504146059012567,1.55274429277909,30,66,46
"Q8NFU4","20260527","High_vs_Control",-0.576797190904449,0.139637578924559,-0.852974335467698,-0.3006200463412,10.5904169610252,-4.13067309922402,6.32819320936276e-05,0.00504146059012567,1.54842501899199,30,63,40
"Q10472","20260527","High_vs_Control",-0.395978051812339,0.0969689451893418,-0.587666305740361,-0.204289797884317,9.09118990828405,-4.08355531803663,7.37377648910913e-05,0.00538121050358409,1.39633588214807,30,65,46
"A0A087WSY6","20260527","High_vs_Control",-1.81799705764016,0.435611158127215,-2.68474281187528,-0.951251303405053,10.3209894295571,-4.173440059378,7.50517503986623e-05,0.00538121050358409,1.45460403153781,18,35,27
"O43157","20260527","High_vs_Control",-0.288611482719746,0.0712921802272853,-0.429533437625169,-0.147689527814323,13.0681170200744,-4.04829087565606,8.4158140115165e-05,0.00549812253031111,1.27513958456207,30,66,46
"Q9BXX0","20260527","High_vs_Control",-0.43052385101258,0.106362729719305,-0.640769122700666,-0.220278579324495,10.1462183193257,-4.04769464030069,8.43505548583295e-05,0.00549812253031111,1.27305386882065,30,66,46
"P0DOX2","20260527","High_vs_Control",-0.62937303191681,0.156364915404359,-0.938458974308065,-0.320287089525555,14.7721856731857,-4.02502716347368,9.20205801142081e-05,0.00573728312538149,1.19364074940579,30,66,46
