PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,overall_detection_rate,mean_observed_abundance,median_observed_abundance,missing_pct,coverage_class,overall__Overall__detection_rate,condition__high_stress__detection_rate,condition__high_temperature__detection_rate,group__FJ_FQ__detection_rate,group__FJ_PT__detection_rate,group__FJ_QZ__detection_rate,group__GZ_TH__detection_rate,group__XZ_GG__detection_rate,group__XZ_YA__detection_rate,group__XZ_YB__detection_rate,group__XZ_YC__detection_rate,group__XZ_YD__detection_rate,TREAT1_clean__control__detection_rate,TREAT1_clean__high__detection_rate,TREAT1_clean__low__detection_rate,TREAT1_clean__unknown__detection_rate,MS_batch_proxy__20250913__detection_rate,MS_batch_proxy__20250914__detection_rate,MS_batch_proxy__20251001__detection_rate,MS_batch_proxy__20251026__detection_rate,MS_batch_proxy__20251104__detection_rate,MS_batch_proxy__20251107__detection_rate,MS_batch_proxy__20260527__detection_rate,MS_batch_proxy__20260717__detection_rate,groups_meeting_ge50pct,conditions_meeting_ge50pct,groups_meeting_ge80pct,conditions_meeting_ge80pct,groups_meeting_ge90pct,conditions_meeting_ge90pct,global_core_ge80pct,global_core_ge90pct,all_groups_ge50pct,all_groups_ge80pct,all_conditions_ge80pct
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,TMA7B_HUMAN;TMA7_HUMAN,1.079098096069756,0.0073810825587752,7091.39;7066.29,0.5491329479768786,465.06350563450866,344.288818359375,45.08670520231214,Moderate (50–<80%),0.5491329479768786,0.48535564853556484,0.6035714285714285,0.7714285714285715,0.9230769230769231,0.8360655737704918,0.3252032520325203,0.23076923076923078,0.9090909090909091,1.0,0.8529411764705882,0.7857142857142857,0.5294117647058824,0.5113636363636364,0.5967741935483871,0.75,0.86,0.8285714285714286,0.8389830508474576,0.75,1.0,1.0,0.23076923076923078,0.3252032520325203,7,1,5,0,3,0,False,False,False,False,False
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,1.664694312465617,0.0016233766233766,12773.26,0.9788053949903661,3564.4495081638725,1541.9679565429685,2.119460500963391,High (≥90%),0.9788053949903661,0.9832635983263598,0.975,0.9857142857142858,1.0,0.9836065573770492,0.959349593495935,0.972027972027972,1.0,1.0,1.0,1.0,0.9803921568627451,0.9772727272727273,0.978494623655914,1.0,0.98,1.0,0.9915254237288136,1.0,1.0,1.0,0.972027972027972,0.959349593495935,9,2,9,2,9,2,True,True,True,True,True
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,1.380970370303645,0.0072727272727272,12814.37,0.9036608863198459,9536.75128189282,4799.939453125,9.633911368015415,High (≥90%),0.9036608863198459,0.895397489539749,0.9107142857142857,0.9,0.9230769230769231,0.819672131147541,0.959349593495935,0.8951048951048951,1.0,1.0,0.7647058823529411,0.9285714285714286,0.9019607843137255,0.9204545454545454,0.8924731182795699,0.75,0.82,0.9428571428571428,0.8728813559322034,0.8333333333333334,1.0,1.0,0.8951048951048951,0.959349593495935,9,2,8,2,6,1,True,True,True,False,True
A0A075B6I1,IGLV4-60,Immunoglobulin lambda variable 4-60,LV460_HUMAN,1.18726003542324,0.0055467511885895,12987.48,0.5626204238921002,719.8897069823252,455.19093322753906,43.73795761078998,Moderate (50–<80%),0.5626204238921002,0.5313807531380753,0.5892857142857143,0.7428571428571429,0.6153846153846154,0.5245901639344263,0.5284552845528455,0.46853146853146854,0.6818181818181818,0.3333333333333333,0.5588235294117647,0.7857142857142857,0.49673202614379086,0.6136363636363636,0.5752688172043011,0.25,0.52,0.7142857142857143,0.635593220338983,0.5,1.0,1.0,0.46853146853146854,0.5284552845528455,7,2,0,0,0,0,False,False,False,False,False
A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,LVX54_HUMAN,1.2147319760769,0.0072727272727272,12394.85,0.7052023121387283,1086.0691892644747,671.9632568359375,29.47976878612717,Moderate (50–<80%),0.7052023121387283,0.7405857740585774,0.675,0.6714285714285714,0.6923076923076923,0.6557377049180327,0.6829268292682927,0.7692307692307693,0.6818181818181818,0.75,0.7058823529411765,0.6785714285714286,0.673202614379085,0.7102272727272727,0.7365591397849462,0.25,0.76,0.7714285714285715,0.652542372881356,0.16666666666666666,0.0,1.0,0.7692307692307693,0.6829268292682927,9,2,0,0,0,0,False,False,True,False,False
A0A075B6I9,IGLV7-46,Immunoglobulin lambda variable 7-46,LV746_HUMAN,1.228836834883249,0.0073810825587752,12468.06,0.5183044315992292,1802.5240087402797,954.6311645507812,48.16955684007707,Moderate (50–<80%),0.5183044315992292,0.48535564853556484,0.5464285714285714,0.6428571428571429,0.7692307692307693,0.6065573770491803,0.4146341463414634,0.2097902097902098,0.7727272727272727,0.8333333333333334,0.9117647058823529,1.0,0.5228758169934641,0.5852272727272727,0.45698924731182794,0.25,0.66,0.6428571428571429,0.8728813559322034,0.4166666666666667,0.5,1.0,0.2097902097902098,0.4146341463414634,7,1,3,0,2,0,False,False,False,False,False
A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,LV537_HUMAN,3.027087548589104,0.0072727272727272,13276.81,0.21579961464354527,1210.2162803241185,288.9317626953125,78.42003853564547,Sparse (<50%),0.21579961464354527,0.21338912133891214,0.21785714285714286,0.34285714285714286,0.2692307692307692,0.26229508196721313,0.11382113821138211,0.04195804195804196,0.45454545454545453,0.16666666666666666,0.4117647058823529,0.6785714285714286,0.16993464052287582,0.23863636363636365,0.23118279569892472,0.25,0.3,0.3,0.4576271186440678,0.08333333333333333,0.0,1.0,0.04195804195804196,0.11382113821138211,1,0,0,0,0,0,False,False,False,False,False
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,1.388263967976395,0.0040983606557377,12411.7,0.9248554913294798,1199.416062970956,572.7840270996094,7.514450867052023,High (≥90%),0.9248554913294798,0.8828451882845189,0.9607142857142857,1.0,1.0,0.9836065573770492,0.9186991869918699,0.8111888111888111,1.0,1.0,0.9705882352941176,1.0,0.9019607843137255,0.9090909090909091,0.956989247311828,1.0,1.0,1.0,0.9915254237288136,0.9166666666666666,1.0,1.0,0.8111888111888111,0.9186991869918699,9,2,9,2,8,1,True,True,True,True,True
A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,LV312_HUMAN,0.9517078629556908,0.0072727272727272,12386.69,0.2003853564547206,766.0414183277351,572.9373168945312,79.96146435452793,Sparse (<50%),0.2003853564547206,0.23430962343096234,0.17142857142857143,0.2571428571428571,0.2692307692307692,0.04918032786885246,0.16260162601626016,0.027972027972027972,0.6363636363636364,0.16666666666666666,0.5,0.6785714285714286,0.16993464052287582,0.23295454545454544,0.1989247311827957,0.0,0.06,0.21428571428571427,0.5169491525423728,0.0,0.5,0.0,0.027972027972027972,0.16260162601626016,3,0,0,0,0,0,False,False,False,False,False
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,1.536986485734956,0.0073810825587752,12440.85,0.9094412331406551,2476.6325730247013,932.5996704101562,9.05587668593449,High (≥90%),0.9094412331406551,0.8619246861924686,0.95,0.9857142857142858,1.0,0.9836065573770492,0.9024390243902439,0.7692307692307693,1.0,1.0,1.0,1.0,0.9150326797385621,0.9034090909090909,0.9086021505376344,1.0,1.0,0.9857142857142858,1.0,0.9166666666666666,1.0,1.0,0.7692307692307693,0.9024390243902439,9,2,8,2,8,1,True,True,True,False,True
