PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,detected_samples,missing_pct,median_positive_abundance
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,TMA7B_HUMAN;TMA7_HUMAN,1.079098096069756,0.0073810825587752,7091.39;7066.29,285,45.08670520231214,344.288818359375
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,1.664694312465617,0.0016233766233766,12773.26,508,2.119460500963391,1541.9679565429685
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,1.380970370303645,0.0072727272727272,12814.37,469,9.633911368015415,4799.939453125
A0A075B6I1,IGLV4-60,Immunoglobulin lambda variable 4-60,LV460_HUMAN,1.18726003542324,0.0055467511885895,12987.48,292,43.73795761078998,455.19093322753906
A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,LVX54_HUMAN,1.2147319760769,0.0072727272727272,12394.85,366,29.47976878612717,671.9632568359375
A0A075B6I9,IGLV7-46,Immunoglobulin lambda variable 7-46,LV746_HUMAN,1.228836834883249,0.0073810825587752,12468.06,269,48.16955684007707,954.6311645507812
A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,LV537_HUMAN,3.027087548589104,0.0072727272727272,13276.81,112,78.42003853564547,288.9317626953125
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,1.388263967976395,0.0040983606557377,12411.7,480,7.514450867052023,572.7840270996094
A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,LV312_HUMAN,0.9517078629556908,0.0072727272727272,12386.69,104,79.96146435452793,572.9373168945312
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,1.536986485734956,0.0073810825587752,12440.85,472,9.05587668593449,932.5996704101562
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,1.525876730830765,0.0016233766233766,12331.71,519,0.0,1093.6669921875
A0A075B6K6,IGLV4-3,Immunoglobulin lambda variable 4-3,LV403_HUMAN,1.125389557143101,0.0073810825587752,13329.89,105,79.76878612716763,145.916259765625
