Sheet1_position,Sheet1_raw_header,Resolution_method,metadata_index,metadata_excel_row,UniqueSampleID,进样时间,sample,condition,group,TREAT1,TREAT1_clean,TREAT2,Tube_Mixing,WoleBlood_oldTime,Plasma_HoldTime_h,Note,detected_protein_groups,missing_pct,missing_protein_groups,median_observed_abundance,total_observed_abundance,mean_observed_abundance,q25_observed_abundance,q75_observed_abundance,MS_batch_proxy,overall
1,20250913_Q3,P1_UNIQUE_NAME,96,98,20250913_FJ_QZ_Q3,20250913,Q3,high_temperature,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2133,44.11841760544931,1684,354.2781372070312,21838871.4062891,10238.57074837745,135.5672149658203,1492.296997070312,20250913,Overall
2,20250913_Q4,P1_UNIQUE_NAME,97,99,20250913_FJ_QZ_Q4,20250913,Q4,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2384,37.54257270107414,1433,298.53538513183594,18944098.962336063,7946.350235879221,122.36621665954593,1108.3506469726562,20250913,Overall
3,20250913_Q12,P1_UNIQUE_NAME,98,100,20250913_FJ_QZ_Q12,20250913,Q12,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2023,47.00026198585277,1794,328.8905334472656,19757474.068216562,9766.42316767996,125.4045639038086,1383.5184326171875,20250913,Overall
4,20250913__Q13,P1_UNIQUE_NAME,99,101,20250913_FJ_QZ_Q13,20250913,Q13,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,1891,50.45847524233691,1926,305.0220642089844,18782914.486773252,9932.794546151905,113.1984672546387,1383.013305664062,20250913,Overall
5,20250913__Q14,P1_UNIQUE_NAME,100,102,20250913_FJ_QZ_Q14,20250913,Q14,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2425,36.46843070474194,1392,332.6954345703125,23542911.857136726,9708.417260674938,129.0649719238281,1326.45458984375,20250913,Overall
6,20250913__Q15,P1_UNIQUE_NAME,101,103,20250913_FJ_QZ_Q15,20250913,Q15,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2273,40.450615666754,1544,296.0374450683594,20088278.62302375,8837.782060283216,118.5037307739258,1169.009643554688,20250913,Overall
7,20250913__Q16,P1_UNIQUE_NAME,102,104,20250913_FJ_QZ_Q16,20250913,Q16,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,1948,48.9651558815824,1869,245.87762451171875,13579461.237260103,6970.9759944867055,101.9425964355469,1044.7363586425781,20250913,Overall
8,20250913__Q18_,P1_UNIQUE_NAME,103,105,20250913_FJ_QZ_Q18,20250913,Q18,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2233,41.4985590778098,1584,342.5662841796875,21862234.664931774,9790.521569606706,134.949951171875,1413.347534179688,20250913,Overall
9,20250913__Q20_,P1_UNIQUE_NAME,104,106,20250913_FJ_QZ_Q20,20250913,Q20,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,hemolysis observed,2366,38.01414723604925,1451,324.08201599121094,19006259.56646204,8033.076739840253,125.14639663696293,1283.512939453125,20250913,Overall
10,20250913__Q21_,P1_UNIQUE_NAME,105,107,20250913_FJ_QZ_Q21,20250913,Q21,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2187,42.70369400052397,1630,276.3467712402344,19613116.46300888,8968.045936446677,115.55697631835935,1163.181884765625,20250913,Overall
11,20250913__Q22_,P1_UNIQUE_NAME,106,108,20250913_FJ_QZ_Q22,20250913,Q22,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2306,39.58606235263296,1511,287.29747009277344,18551795.55793941,8045.011083234784,108.02954673767093,1076.120178222656,20250913,Overall
12,20250913__Q23_,P1_UNIQUE_NAME,107,109,20250913_FJ_QZ_Q23,20250913,Q23,high_temperature,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2063,45.95231857479696,1754,271.9599304199219,15709769.884736061,7615.012062402357,103.2142219543457,994.1067199707031,20250913,Overall
13,20250913__Q25_,P1_UNIQUE_NAME,108,110,20250913_FJ_QZ_Q25,20250913,Q25,high_temperature,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2365,38.04034582132565,1452,307.4714965820312,24806781.59296918,10489.125409289294,123.5085144042969,1330.371459960938,20250913,Overall
14,20250913__Q26_,P1_UNIQUE_NAME,109,111,20250913_FJ_QZ_Q26,20250913,Q26,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2256,40.89599161645271,1561,335.6483917236328,22658685.401942253,10043.743529229721,128.8981895446777,1325.8118896484375,20250913,Overall
15,20250913__Q27_,P1_UNIQUE_NAME,110,112,20250913_FJ_QZ_Q27,20250913,Q27,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2379,37.67356562745612,1438,328.2688598632812,23632262.661206245,9933.695948384298,123.3647346496582,1402.42626953125,20250913,Overall
16,20250913__Q28_,P1_UNIQUE_NAME,111,113,20250913_FJ_QZ_Q28,20250913,Q28,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2193,42.5465024888656,1624,290.3456726074219,17237703.431598663,7860.329882169933,108.1316452026367,1087.919067382812,20250913,Overall
17,20250913__Q29_,P1_UNIQUE_NAME,112,114,20250913_FJ_QZ_Q29,20250913,Q29,high_temperature,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2218,41.89153785695572,1599,303.7621154785156,21509785.501543522,9697.829351462364,123.34227371215823,1291.334411621094,20250913,Overall
18,20250913__Q31_,P1_UNIQUE_NAME,113,115,20250913_FJ_QZ_Q31,20250913,Q31,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2076,45.61173696620383,1741,304.5516662597656,19170650.901604414,9234.417582661086,113.83279228210448,1199.6690979003902,20250913,Overall
19,20250913__Q32_,P1_UNIQUE_NAME,114,116,20250913_FJ_QZ_Q32,20250913,Q32,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2158,43.46345297353943,1659,295.96836853027344,20103861.869042397,9315.969355441333,118.04734230041504,1300.5779113769531,20250913,Overall
20,20250913__Q33_,P1_UNIQUE_NAME,115,117,20250913_FJ_QZ_Q33,20250913,Q33,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2085,45.37594969871627,1732,261.8722534179688,19327075.647681236,9269.580646369897,104.8504028320312,1211.27490234375,20250913,Overall
21,20250913__Q34_,P1_UNIQUE_NAME,116,118,20250913_FJ_QZ_Q34,20250913,Q34,high_temperature,FJ_QZ,high,high,low_sound,Normal,0,Unknown,,2111,44.69478648153,1706,308.6693725585937,21435282.602995872,10154.089342963463,123.52275466918945,1277.538940429687,20250913,Overall
