"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status"
"A0A024R1R8;Q9Y2S6","TMA7B;TMA7","Translation machinery-associated protein 7B;Translation machinery-associated protein 7","TMA7B_HUMAN;TMA7_HUMAN",1.07909809606976,0.0073810825587752,"7091.39;7066.29",81,153,0.529411764705882,111,186,0.596774193548387,90,176,0.511363636363636,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0673624288425048,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6H9","IGLV4-69","Immunoglobulin lambda variable 4-69","LV469_HUMAN",1.66469431246562,0.0016233766233766,"12773.26",150,153,0.980392156862745,182,186,0.978494623655914,172,176,0.977272727272727,TRUE,"Low_vs_Control",0.301048283666628,0.41291830716393,-0.16514761910485,1,"ok","ok",-0.00189753320683106,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6I0","IGLV8-61","Immunoglobulin lambda variable 8-61","LV861_HUMAN",1.38097037030364,0.0072727272727272,"12814.37",138,153,0.901960784313726,166,186,0.89247311827957,162,176,0.920454545454545,TRUE,"Low_vs_Control",0.176042577382807,0.756558518108361,-0.0822966694677246,1,"ok","ok",-0.00948766603415563,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6I1","IGLV4-60","Immunoglobulin lambda variable 4-60","LV460_HUMAN",1.18726003542324,0.0055467511885895,"12987.48",76,153,0.496732026143791,107,186,0.575268817204301,108,176,0.613636363636364,TRUE,"Low_vs_Control",,,0.364406504824854,1,"ok","ok",0.0785367910605103,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6I4","IGLV10-54","Immunoglobulin lambda variable 10-54","LVX54_HUMAN",1.2147319760769,0.0072727272727272,"12394.85",103,153,0.673202614379085,137,186,0.736559139784946,125,176,0.710227272727273,TRUE,"Low_vs_Control",,,0.253442496486091,1,"ok","ok",0.0633565254058612,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6I9","IGLV7-46","Immunoglobulin lambda variable 7-46","LV746_HUMAN",1.22883683488325,0.0073810825587752,"12468.06",80,153,0.522875816993464,85,186,0.456989247311828,103,176,0.585227272727273,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0658865696816361,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6J1","IGLV5-37","Immunoglobulin lambda variable 5-37","LV537_HUMAN",3.0270875485891,0.0072727272727272,"13276.81",26,153,0.169934640522876,43,186,0.231182795698925,42,176,0.238636363636364,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0612481551760489,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6J9","IGLV2-18","Immunoglobulin lambda variable 2-18","LV218_HUMAN",1.3882639679764,0.0040983606557377,"12411.7",138,153,0.901960784313726,178,186,0.956989247311828,160,176,0.909090909090909,TRUE,"Low_vs_Control",0.284882663992374,0.460691075285178,1.12626023889995,0.858048581626581,"ok","ok",0.0550284629981025,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6K2","IGLV3-12","Immunoglobulin lambda variable 3-12","LV312_HUMAN",0.951707862955691,0.0072727272727272,"12386.69",26,153,0.169934640522876,37,186,0.198924731182796,41,176,0.232954545454545,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0289900906599199,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6K4","IGLV3-10","Immunoglobulin lambda variable 3-10","LV310_HUMAN",1.53698648573496,0.0073810825587752,"12440.85",140,153,0.915032679738562,169,186,0.908602150537634,159,176,0.903409090909091,TRUE,"Low_vs_Control",0.257877866260301,0.581273493377196,0.113334983239269,1,"ok","ok",-0.00643052920092768,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6K5","IGLV3-9","Immunoglobulin lambda variable 3-9","LV39_HUMAN",1.52587673083077,0.0016233766233766,"12331.71",153,153,1,186,186,1,176,176,1,TRUE,"Low_vs_Control",0.269117177840579,0.446496710701044,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A075B6K6","IGLV4-3","Immunoglobulin lambda variable 4-3","LV403_HUMAN",1.1253895571431,0.0073810825587752,"13329.89",35,153,0.228758169934641,35,186,0.188172043010753,34,176,0.193181818181818,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0405861269238878,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6P5;P01615","IGKV2-28;IGKV2D-28","Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28","KV228_HUMAN;KVD28_HUMAN",1.26650638146725,0.0016233766233766,"12956.74;12956.74",148,153,0.967320261437909,186,186,1,174,176,0.988636363636364,TRUE,"Low_vs_Control",0.359916596627734,0.218632024791986,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",0.0326797385620915,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A075B6Q5","IGHV3-64","Immunoglobulin heavy variable 3-64","HV364_HUMAN",3.38613098558526,0.006765899864682,"12890.68",66,153,0.431372549019608,93,186,0.5,92,176,0.522727272727273,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0686274509803921,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6R2","IGHV4-4","Immunoglobulin heavy variable 4-4","HV404_HUMAN",1.94692019058068,0.0073810825587752,"12847.71",91,153,0.594771241830065,117,186,0.629032258064516,120,176,0.681818181818182,TRUE,"Low_vs_Control",,,0.222168403135223,1,"ok","ok",0.0342610162344508,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6R9;A0A0C4DH68","IGKV2D-24;IGKV2-24","Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24","KVD24_HUMAN;KV224_HUMAN",1.21459680989853,0.0040983606557377,"13078.93;13079.01",105,153,0.686274509803922,147,186,0.790322580645161,142,176,0.806818181818182,TRUE,"Low_vs_Control",,,0.446217174051621,1,"ok","ok",0.10404807084124,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S2","IGKV2D-29","Immunoglobulin kappa variable 2D-29","KVD29_HUMAN",0.995437527876627,0.0073810825587752,"13143.12",39,153,0.254901960784314,59,186,0.317204301075269,58,176,0.329545454545455,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0623023402909551,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S5","IGKV1-27","Immunoglobulin kappa variable 1-27","KV127_HUMAN",0.800076779737156,0.0073810825587752,"12711.51",37,153,0.241830065359477,80,186,0.43010752688172,64,176,0.363636363636364,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.188277461522243,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S6","IGKV2D-30","Immunoglobulin kappa variable 2D-30","KVD30_HUMAN",2.1075117306134,0.0073810825587752,"13214.99",10,153,0.065359477124183,24,186,0.129032258064516,19,176,0.107954545454545,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0636727809403331,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6S9;P0DSN7","IGKV1-37;IGKV1D-37","Probable non-functional immunoglobulin kappa variable 1-37;Probable non-functional immunoglobulin kappa variable 1D-37","KV137_HUMAN;KVD37_HUMAN",0.990162906494473,0.0073810825587752,"12688.44;12688.44",23,153,0.150326797385621,30,186,0.161290322580645,32,176,0.181818181818182,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0109635251950242,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A087WSX0","IGLV5-45","Immunoglobulin lambda variable 5-45","LV545_HUMAN",1.63018257103547,0.006765899864682,"13161.78",152,153,0.993464052287582,183,186,0.983870967741935,176,176,1,TRUE,"Low_vs_Control",0.193654635030342,0.661615620812491,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",-0.00959308454564622,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A087WSY4","IGHV4-30-2","Immunoglobulin heavy variable 4-30-2","HV432_HUMAN",1.95023108022799,0.0072727272727272,"13024.91",96,153,0.627450980392157,123,186,0.661290322580645,127,176,0.721590909090909,TRUE,"Low_vs_Control",,,0.184069928010069,1,"ok","ok",0.0338393421884883,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A087WSY6","IGKV3D-15","Immunoglobulin kappa variable 3D-15","KVD15_HUMAN",1.24246744195097,0.0040983606557377,"12534.23",111,153,0.725490196078431,139,186,0.747311827956989,134,176,0.761363636363636,TRUE,"Low_vs_Control",-0.0643626404494473,0.915009226963576,0.150804855004411,1,"ok","ok",0.0218216318785579,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A087WSZ0","IGKV1D-8","Immunoglobulin kappa variable 1D-8","KVD08_HUMAN",1.02442077736166,0.0073810825587752,"12836.71",13,153,0.0849673202614379,19,186,0.102150537634409,34,176,0.193181818181818,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0171832173729707,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A087WW87;P01614","IGKV2-40;IGKV2D-40","Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40","KV240_HUMAN;KVD40_HUMAN",0.945618915314044,0.0073810825587752,"13310.11;13310.11",37,153,0.241830065359477,59,186,0.317204301075269,54,176,0.306818181818182,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.0753742357157917,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MRZ8;P04433","IGKV3D-11;IGKV3-11","Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11","KVD11_HUMAN;KV311_HUMAN",1.08478081628444,0.0040983606557377,"12625.24;12575.18",152,153,0.993464052287582,185,186,0.994623655913978,174,176,0.988636363636364,TRUE,"Low_vs_Control",0.249152312282551,0.393560637026293,0.235298371238126,1,"ok","ok",0.00115960362639678,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A0A0MRZ9","IGLV5-52","Immunoglobulin lambda variable 5-52","LV552_HUMAN",1.52184820502968,0.0073810825587752,"13445.97",29,153,0.189542483660131,35,186,0.188172043010753,23,176,0.130681818181818,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",-0.00137044064937802,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MS00","IGLV3-32","Probable non-functional immunoglobulin lambda variable 3-32","LV332_HUMAN",1.51298117233971,0.0073810825587752,"12354.76",1,153,0.0065359477124183,3,186,0.0161290322580645,2,176,0.0113636363636364,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.00959308454564621,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A0A0MS15","IGHV3-49","Immunoglobulin heavy variable 3-49","HV349_HUMAN",1.48349330503968,0.0072727272727272,"13055.93",152,153,0.993464052287582,184,186,0.989247311827957,176,176,1,TRUE,"Low_vs_Control",0.29567111570584,0.362055980419051,,,"separation_nonfinite_MLE","separation_nonfinite_MLE",-0.00421674045962472,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A0A0MT36","IGKV6D-21","Immunoglobulin kappa variable 6D-21","KVD21_HUMAN",1.51760607845716,0.0073810825587752,"12339.89",49,153,0.320261437908497,60,186,0.32258064516129,64,176,0.363636363636364,FALSE,"Low_vs_Control",,,,,,"outside_detection_analysis_universe",0.00231920725279361,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
