"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status","Rank","Detection_status"
"O75596","CLEC3A","C-type lectin domain family 3 member A","CLC3A_HUMAN",0.577773501583213,0.0073810825587752,"22232.53",102,153,0.666666666666667,154,186,0.827956989247312,113,176,0.642045454545455,TRUE,"High_vs_Low",,,-0.921868190402031,0.0978343472836936,"ok","ok",-0.185911534701857,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",1,"Not significant"
"Q96HF1","SFRP2","Secreted frizzled-related protein 2","SFRP2_HUMAN",0.762141697516152,0.0072727272727272,"33490.06",100,153,0.65359477124183,158,186,0.849462365591398,119,176,0.676136363636364,TRUE,"High_vs_Low",,,-0.960330878351202,0.0978343472836936,"ok","ok",-0.173326001955034,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",2,"Not significant"
"O60888","CUTA","Protein CutA","CUTA_HUMAN",0.678386709481566,0.0058910162002945,"19116.32",120,153,0.784313725490196,158,186,0.849462365591398,120,176,0.681818181818182,TRUE,"High_vs_Low",,,-0.921629787632146,0.140633047612741,"ok","ok",-0.167644183773216,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",3,"Not significant"
"O14717","TRDMT1","tRNA (cytosine(38)-C(5))-methyltransferase","TRDMT_HUMAN",0.623502941067029,0.0073810825587752,"44596.58",78,153,0.509803921568627,124,186,0.666666666666667,88,176,0.5,TRUE,"High_vs_Low",,,-0.654060047104453,0.358261822436494,"ok","ok",-0.166666666666667,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",4,"Not significant"
"P49788","RARRES1","Retinoic acid receptor responder protein 1","TIG1_HUMAN",0.951762744548111,0.0073810825587752,"33285.13",99,153,0.647058823529412,123,186,0.661290322580645,88,176,0.5,TRUE,"High_vs_Low",,,-0.607424447845186,0.428573091916622,"ok","ok",-0.161290322580645,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",5,"Not significant"
"Q9NZN4","EHD2","EH domain-containing protein 2","EHD2_HUMAN",0.53793192999472,0.0073810825587752,"61161.4",109,153,0.712418300653595,142,186,0.763440860215054,106,176,0.602272727272727,TRUE,"High_vs_Low",,,-0.729751113220296,0.287203871782773,"ok","ok",-0.161168132942326,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",6,"Not significant"
"P45880","VDAC2","Non-selective voltage-gated ion channel VDAC2","VDAC2_HUMAN",1.47538465971318,0.006765899864682,"31566.5",94,153,0.61437908496732,128,186,0.688172043010753,94,176,0.534090909090909,TRUE,"High_vs_Low",,,-0.546506416276879,0.515586753520767,"ok","ok",-0.154081133919844,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",7,"Not significant"
"Q86VG3","IFTAP","Intraflagellar transport-associated protein","IFTAP_HUMAN",0.612933338385329,0.0073810825587752,"25407.3",112,153,0.73202614379085,154,186,0.827956989247312,119,176,0.676136363636364,TRUE,"High_vs_Low",,,-0.741318207534082,0.397564550476757,"ok","ok",-0.151820625610948,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",8,"Not significant"
"P62241","RPS8","Small ribosomal subunit protein eS8","RS8_HUMAN",6.44151399917204,0.0016233766233766,"24205.18",118,153,0.77124183006536,131,186,0.704301075268817,98,176,0.556818181818182,TRUE,"High_vs_Low",,,-0.718135843695864,0.287203871782773,"ok","ok",-0.147482893450635,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",9,"Not significant"
"Q6UXI7","VIT","Vitrin","VITRN_HUMAN",0.642542221346152,0.0073810825587752,"73930.25",104,153,0.679738562091503,134,186,0.720430107526882,101,176,0.573863636363636,TRUE,"High_vs_Low",,,-0.676706211110567,0.358261822436494,"ok","ok",-0.146566471163245,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",10,"Not significant"
