PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,control_detected_samples,control_detection_rate,low_detected_samples,low_detection_rate,high_detected_samples,high_detection_rate
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,1.664694312465617,0.0016233766233766,12773.26,150,0.9803921568627451,182,0.978494623655914,172,0.9772727272727273
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,1.380970370303645,0.0072727272727272,12814.37,138,0.9019607843137255,166,0.8924731182795699,162,0.9204545454545454
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,1.388263967976395,0.0040983606557377,12411.7,138,0.9019607843137255,178,0.956989247311828,160,0.9090909090909091
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,1.536986485734956,0.0073810825587752,12440.85,140,0.9150326797385621,169,0.9086021505376344,159,0.9034090909090909
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,1.525876730830765,0.0016233766233766,12331.71,153,1.0,186,1.0,176,1.0
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,1.266506381467248,0.0016233766233766,12956.74;12956.74,148,0.9673202614379085,186,1.0,174,0.9886363636363636
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,1.630182571035466,0.006765899864682,13161.78,152,0.9934640522875817,183,0.9838709677419355,176,1.0
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,1.24246744195097,0.0040983606557377,12534.23,111,0.7254901960784313,139,0.7473118279569892,134,0.7613636363636364
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,1.084780816284444,0.0040983606557377,12625.24;12575.18,152,0.9934640522875817,185,0.9946236559139785,174,0.9886363636363636
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,1.483493305039684,0.0072727272727272,13055.93,152,0.9934640522875817,184,0.989247311827957,176,1.0
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,1.18320131043275,0.006765899864682,13481.28,145,0.9477124183006536,184,0.989247311827957,171,0.9715909090909091
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,1.318502772936979,0.0040983606557377,12925.78,150,0.9803921568627451,179,0.9623655913978495,170,0.9659090909090909
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,1.359522229571974,0.0073810825587752,12839.61,152,0.9934640522875817,184,0.989247311827957,175,0.9943181818181818
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,1.857165418733417,0.0065597667638483,13023.67,134,0.8758169934640523,169,0.9086021505376344,159,0.9034090909090909
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,1.068702801555426,0.0040983606557377,13202.93,153,1.0,186,1.0,176,1.0
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,1.19477827610204,0.0072727272727272,12515.07,140,0.9150326797385621,180,0.967741935483871,163,0.9261363636363636
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,1.070386719821807,0.0073810825587752,13124.06,140,0.9150326797385621,173,0.9301075268817204,162,0.9204545454545454
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,1.519484382505339,0.0040983606557377,12674.55,140,0.9150326797385621,178,0.956989247311828,164,0.9318181818181818
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,1.956001249093612,0.0073810825587752,13312.45,141,0.9215686274509803,166,0.8924731182795699,159,0.9034090909090909
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,0.9698835137681612,0.0016233766233766,12537.31,133,0.869281045751634,161,0.8655913978494624,167,0.9488636363636364
A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39,LV539_HUMAN,2.481968289063105,0.0073810825587752,13394.08,139,0.9084967320261438,163,0.8763440860215054,156,0.8863636363636364
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,1.316506323784345,0.0016233766233766,12822.57,137,0.8954248366013072,174,0.9354838709677419,164,0.9318181818181818
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,1.55214570211808,0.0073810825587752,12772.57,112,0.7320261437908496,148,0.7956989247311828,134,0.7613636363636364
A0A1B0GTC6,C3orf85,Uncharacterized protein C3orf85,CC085_HUMAN,0.6505657607169092,0.0040983606557377,10385.93,153,1.0,186,1.0,176,1.0
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,0.8616601287827661,0.0073810825587752,11253.59,151,0.9869281045751634,183,0.9838709677419355,172,0.9772727272727273
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SRCRL_HUMAN,0.6781561597944873,0.0040983606557377,165742.73,153,1.0,186,1.0,176,1.0
A2A3L6,TTC24,Tetratricopeptide repeat protein 24,TTC24_HUMAN,1.041152229553386,0.0073810825587752,63396.45,127,0.8300653594771242,172,0.9247311827956989,142,0.8068181818181818
A2CJ06,DYTN,Dystrotelin,DYTN_HUMAN,0.6173116738955943,0.0073810825587752,65319.79,132,0.8627450980392157,167,0.8978494623655914,153,0.8693181818181818
A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29,KV229_HUMAN,1.045029244500158,0.0016233766233766,13085.04,153,1.0,186,1.0,176,1.0
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,PGP_HUMAN,0.6262161281909103,0.0058910162002945,34006.06,140,0.9150326797385621,172,0.9247311827956989,153,0.8693181818181818
A6NL88,SHISA7,Protein shisa-7,SHSA7_HUMAN,0.7074428439055316,0.0040983606557377,56213.58,143,0.934640522875817,185,0.9946236559139785,165,0.9375
A6NM11;A6NMS7,LRRC37A2;LRRC37A,Leucine-rich repeat-containing protein 37A2;Leucine-rich repeat-containing protein 37A,L37A2_HUMAN;L37A1_HUMAN,0.5773559152371951,0.0072727272727272,188392.54;188258.42,142,0.9281045751633987,170,0.9139784946236559,151,0.8579545454545454
A8MYB1,TMCO5B,Transmembrane and coiled-coil domain-containing protein 5B,TMC5B_HUMAN,1.239290345531549,0.0073810825587752,35762.99,141,0.9215686274509803,175,0.9408602150537635,154,0.875
B0I1T2,MYO1G,Unconventional myosin-Ig,MYO1G_HUMAN,0.5956341969155148,0.0040983606557377,116442.07,153,1.0,182,0.978494623655914,169,0.9602272727272727
B2RUZ4,SMIM1,Small integral membrane protein 1,SMIM1_HUMAN,0.6655368202025893,0.0072727272727272,8749.12,132,0.8627450980392157,169,0.9086021505376344,145,0.8238636363636364
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACAM_HUMAN,0.5557732651453169,0.0065597667638483,205421.52,121,0.7908496732026143,150,0.8064516129032258,144,0.8181818181818182
O00151,PDLIM1,PDZ and LIM domain protein 1,PDLI1_HUMAN,2.158304876258407,0.0040983606557377,36071.71,144,0.9411764705882353,177,0.9516129032258065,166,0.9431818181818182
