"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status","Rank","Detection_status"
"A0PJW8","DAPL1","Death-associated protein-like 1","DAPL1_HUMAN",1.57696470895527,0.0073810825587752,"11879.96",108,153,0.705882352941177,93,186,0.5,107,176,0.607954545454545,TRUE,"Low_vs_Control",,,-0.744913547799074,0.447323493829649,"ok","ok",-0.205882352941177,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",1,"Not significant"
"Q13009","TIAM1","Rho guanine nucleotide exchange factor TIAM1","TIAM1_HUMAN",1.57560481481838,0.0073810825587752,"177508.16",115,153,0.751633986928105,113,186,0.60752688172043,125,176,0.710227272727273,TRUE,"Low_vs_Control",,,-0.382187369616688,1,"ok","ok",-0.144107105207674,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",2,"Not significant"
"P49321","NASP","Nuclear autoantigenic sperm protein","NASP_HUMAN",0.808883536471433,0.0040983606557377,"85237.71",122,153,0.797385620915033,122,186,0.655913978494624,115,176,0.653409090909091,TRUE,"Low_vs_Control",,,-0.699940500377631,0.763501472014203,"ok","ok",-0.141471642420409,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",3,"Not significant"
"P10721","KIT","Mast/stem cell growth factor receptor Kit","KIT_HUMAN",0.794080335224999,0.0072727272727272,"109864.56",115,153,0.751633986928105,114,186,0.612903225806452,114,176,0.647727272727273,TRUE,"Low_vs_Control",,,-0.500510944417465,1,"ok","ok",-0.138730761121653,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",4,"Not significant"
"O14983","ATP2A1","Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","AT2A1_HUMAN",2.04151507697287,0.0073810825587752,"110252.48",116,153,0.758169934640523,116,186,0.623655913978495,119,176,0.676136363636364,TRUE,"Low_vs_Control",,,-0.810324963634676,0.387596704565203,"ok","ok",-0.134514020662028,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",5,"Not significant"
"Q6PD74","AAGAB","Alpha- and gamma-adaptin-binding protein p34","AAGAB_HUMAN",1.37960272695555,0.0073810825587752,"34593.61",95,153,0.620915032679739,91,186,0.489247311827957,87,176,0.494318181818182,TRUE,"Low_vs_Control",,,-0.381681718599525,1,"ok","ok",-0.131667720851782,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",6,"Not significant"
"Q8NFP4","MDGA1","MAM domain-containing glycosylphosphatidylinositol anchor protein 1","MDGA1_HUMAN",1.41393917394639,0.0073810825587752,"105790.35",100,153,0.65359477124183,98,186,0.526881720430108,89,176,0.505681818181818,TRUE,"Low_vs_Control",,,-0.46706706295502,1,"ok","ok",-0.126713050811723,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",7,"Not significant"
"Q9UNZ2","NSFL1C","NSFL1 cofactor p47","NSF1C_HUMAN",0.833529245125836,0.0040983606557377,"40572.83",126,153,0.823529411764706,130,186,0.698924731182796,114,176,0.647727272727273,TRUE,"Low_vs_Control",,,-0.779748607666917,0.741580221570414,"ok","ok",-0.12460468058191,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",8,"Not significant"
"P16403","H1-2","Histone H1.2","H12_HUMAN",1.77582175765177,0.0072727272727272,"21364.75",125,153,0.816993464052288,129,186,0.693548387096774,131,176,0.744318181818182,TRUE,"Low_vs_Control",,,-0.631933504231438,0.858048581626581,"ok","ok",-0.123445076955513,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",9,"Not significant"
"Q92973","TNPO1","Transportin-1","TNPO1_HUMAN",0.968037080619858,0.0073810825587752,"102355.03",97,153,0.633986928104575,95,186,0.510752688172043,92,176,0.522727272727273,TRUE,"Low_vs_Control",,,-0.508727808781056,0.899395486799928,"ok","ok",-0.123234239932532,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",10,"Not significant"
"Q13618","CUL3","Cullin-3","CUL3_HUMAN",0.722229467625149,0.0073810825587752,"88930.19",105,153,0.686274509803922,105,186,0.564516129032258,95,176,0.539772727272727,TRUE,"Low_vs_Control",,,-0.61015832273035,0.774713400159294,"ok","ok",-0.121758380771663,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",11,"Not significant"
"Q15555","MAPRE2","Microtubule-associated protein RP/EB family member 2","MARE2_HUMAN",2.03488049606676,0.0040983606557377,"37031.32",122,153,0.797385620915033,126,186,0.67741935483871,123,176,0.698863636363636,TRUE,"Low_vs_Control",,,-0.733344370071986,0.741580221570414,"ok","ok",-0.119966266076323,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",12,"Not significant"
"Q9GZN8","ADISSP","Adipose-secreted signaling protein","ADSSP_HUMAN",0.749313415897455,0.0073810825587752,"19291",116,153,0.758169934640523,119,186,0.639784946236559,106,176,0.602272727272727,TRUE,"Low_vs_Control",,,-0.519430728514774,1,"ok","ok",-0.118384988403964,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",13,"Not significant"
"P62318","SNRPD3","Small nuclear ribonucleoprotein Sm D3","SMD3_HUMAN",0.923975114890655,0.0072727272727272,"13916.24",111,153,0.725490196078431,113,186,0.60752688172043,114,176,0.647727272727273,TRUE,"Low_vs_Control",,,-0.533476648000273,0.914732969715577,"ok","ok",-0.117963314358001,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",14,"Not significant"
"A8K2U0","A2ML1","Alpha-2-macroglobulin-like protein 1","A2ML1_HUMAN",1.52872015098005,0.0040983606557377,"161106.52",104,153,0.679738562091503,105,186,0.564516129032258,110,176,0.625,TRUE,"Low_vs_Control",,,-0.376832800249991,1,"ok","ok",-0.115222433059245,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",15,"Not significant"
"Q8TAX7","MUC7","Mucin-7","MUC7_HUMAN",0.75795366383693,0.0040983606557377,"39158.76",97,153,0.633986928104575,98,186,0.526881720430108,91,176,0.517045454545455,TRUE,"Low_vs_Control",,,-0.238251184429988,1,"ok","ok",-0.107105207674468,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",16,"Not significant"
