"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status"
"A0A024R1R8;Q9Y2S6","TMA7B;TMA7","Translation machinery-associated protein 7B;Translation machinery-associated protein 7","TMA7B_HUMAN;TMA7_HUMAN",1.07909809606976,0.0073810825587752,"7091.39;7066.29",81,153,0.529411764705882,111,186,0.596774193548387,90,176,0.511363636363636,FALSE,"High_vs_Control",,,,,,"outside_detection_analysis_universe",-0.018048128342246,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6H9","IGLV4-69","Immunoglobulin lambda variable 4-69","LV469_HUMAN",1.66469431246562,0.0016233766233766,"12773.26",150,153,0.980392156862745,182,186,0.978494623655914,172,176,0.977272727272727,TRUE,"High_vs_Control",0.270225315541529,0.56085645246921,-0.169532791082168,1,"ok","ok",-0.00311942959001776,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6I0","IGLV8-61","Immunoglobulin lambda variable 8-61","LV861_HUMAN",1.38097037030364,0.0072727272727272,"12814.37",138,153,0.901960784313726,166,186,0.89247311827957,162,176,0.920454545454545,TRUE,"High_vs_Control",0.123643709894775,0.874443897283639,0.235004622059316,1,"ok","ok",0.0184937611408199,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6I1","IGLV4-60","Immunoglobulin lambda variable 4-60","LV460_HUMAN",1.18726003542324,0.0055467511885895,"12987.48",76,153,0.496732026143791,107,186,0.575268817204301,108,176,0.613636363636364,TRUE,"High_vs_Control",,,0.49027155863401,0.593822987019819,"ok","ok",0.116904337492573,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6I4","IGLV10-54","Immunoglobulin lambda variable 10-54","LVX54_HUMAN",1.2147319760769,0.0072727272727272,"12394.85",103,153,0.673202614379085,137,186,0.736559139784946,125,176,0.710227272727273,TRUE,"High_vs_Control",,,0.160308354305141,1,"ok","ok",0.0370246583481877,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6I9","IGLV7-46","Immunoglobulin lambda variable 7-46","LV746_HUMAN",1.22883683488325,0.0073810825587752,"12468.06",80,153,0.522875816993464,85,186,0.456989247311828,103,176,0.585227272727273,FALSE,"High_vs_Control",,,,,,"outside_detection_analysis_universe",0.0623514557338086,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6J1","IGLV5-37","Immunoglobulin lambda variable 5-37","LV537_HUMAN",3.0270875485891,0.0072727272727272,"13276.81",26,153,0.169934640522876,43,186,0.231182795698925,42,176,0.238636363636364,FALSE,"High_vs_Control",,,,,,"outside_detection_analysis_universe",0.0687017231134878,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6J9","IGLV2-18","Immunoglobulin lambda variable 2-18","LV218_HUMAN",1.3882639679764,0.0040983606557377,"12411.7",138,153,0.901960784313726,178,186,0.956989247311828,160,176,0.909090909090909,TRUE,"High_vs_Control",0.52813785289538,0.293606469986091,0.151459581555259,1,"ok","ok",0.00713012477718356,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6K2","IGLV3-12","Immunoglobulin lambda variable 3-12","LV312_HUMAN",0.951707862955691,0.0072727272727272,"12386.69",26,153,0.169934640522876,37,186,0.198924731182796,41,176,0.232954545454545,FALSE,"High_vs_Control",,,,,,"outside_detection_analysis_universe",0.0630199049316696,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6K4","IGLV3-10","Immunoglobulin lambda variable 3-10","LV310_HUMAN",1.53698648573496,0.0073810825587752,"12440.85",140,153,0.915032679738562,169,186,0.908602150537634,159,176,0.903409090909091,TRUE,"High_vs_Control",0.417549571866887,0.436630658117469,-0.0889418891158516,1,"ok","ok",-0.0116235888294711,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6K5","IGLV3-9","Immunoglobulin lambda variable 3-9","LV39_HUMAN",1.52587673083077,0.0016233766233766,"12331.71",153,153,1,186,186,1,176,176,1,TRUE,"High_vs_Control",0.284833970644454,0.529495928765995,,,"constant_detection","constant_detection",0,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A075B6K6","IGLV4-3","Immunoglobulin lambda variable 4-3","LV403_HUMAN",1.1253895571431,0.0073810825587752,"13329.89",35,153,0.228758169934641,35,186,0.188172043010753,34,176,0.193181818181818,FALSE,"High_vs_Control",,,,,,"outside_detection_analysis_universe",-0.0355763517528223,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6P5;P01615","IGKV2-28;IGKV2D-28","Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28","KV228_HUMAN;KVD28_HUMAN",1.26650638146725,0.0016233766233766,"12956.74;12956.74",148,153,0.967320261437909,186,186,1,174,176,0.988636363636364,TRUE,"High_vs_Control",0.376880007481388,0.30154521240348,,,"full_model_separation_no_finite_MLE","full_model_separation_no_finite_MLE",0.0213161021984551,FALSE,,"Not jointly evaluable",TRUE,"tested"
"A0A075B6Q5","IGHV3-64","Immunoglobulin heavy variable 3-64","HV364_HUMAN",3.38613098558526,0.006765899864682,"12890.68",66,153,0.431372549019608,93,186,0.5,92,176,0.522727272727273,FALSE,"High_vs_Control",,,,,,"outside_detection_analysis_universe",0.0913547237076648,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
