"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status","Rank","Detection_status"
"P02724","GYPA","Glycophorin-A","GLPA_HUMAN",1.00461010864599,0.0073810825587752,"16429.62",104,153,0.679738562091503,109,186,0.586021505376344,81,176,0.460227272727273,TRUE,"High_vs_Control",,,-0.907628381925562,0.0983636996475691,"ok","ok",-0.219511289364231,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",1,"Not significant"
"P62241","RPS8","Small ribosomal subunit protein eS8","RS8_HUMAN",6.44151399917204,0.0016233766233766,"24205.18",118,153,0.77124183006536,131,186,0.704301075268817,98,176,0.556818181818182,TRUE,"High_vs_Control",,,-0.97649507533496,0.0983636996475691,"ok","ok",-0.214423648247178,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",2,"Not significant"
"Q9UNZ2","NSFL1C","NSFL1 cofactor p47","NSF1C_HUMAN",0.833529245125836,0.0040983606557377,"40572.83",126,153,0.823529411764706,130,186,0.698924731182796,114,176,0.647727272727273,TRUE,"High_vs_Control",,,-0.959276017206048,0.189755237313695,"ok","ok",-0.175802139037433,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",3,"Not significant"
"O75954","TSPAN9","Tetraspanin-9","TSN9_HUMAN",0.62088801155414,0.0016233766233766,"26778.92",118,153,0.77124183006536,131,186,0.704301075268817,107,176,0.607954545454545,TRUE,"High_vs_Control",,,-0.776845825845322,0.412237795512057,"ok","ok",-0.163287284610814,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",4,"Not significant"
"Q9GZN8","ADISSP","Adipose-secreted signaling protein","ADSSP_HUMAN",0.749313415897455,0.0073810825587752,"19291",116,153,0.758169934640523,119,186,0.639784946236559,106,176,0.602272727272727,TRUE,"High_vs_Control",,,-0.717081769144731,0.493596160782022,"ok","ok",-0.155897207367796,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",5,"Not significant"
"Q8NFP4","MDGA1","MAM domain-containing glycosylphosphatidylinositol anchor protein 1","MDGA1_HUMAN",1.41393917394639,0.0073810825587752,"105790.35",100,153,0.65359477124183,98,186,0.526881720430108,89,176,0.505681818181818,TRUE,"High_vs_Control",,,-0.599580792946444,0.510418868754764,"ok","ok",-0.147912953060012,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",6,"Not significant"
"Q9NR31","SAR1A","Small COPII coat GTPase SAR1A","SAR1A_HUMAN",1.63998880757682,0.0073810825587752,"22366.8",93,153,0.607843137254902,110,186,0.591397849462366,81,176,0.460227272727273,TRUE,"High_vs_Control",,,-0.642778337966681,0.493596160782022,"ok","ok",-0.147615864527629,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",7,"Not significant"
"P49788","RARRES1","Retinoic acid receptor responder protein 1","TIG1_HUMAN",0.951762744548111,0.0073810825587752,"33285.13",99,153,0.647058823529412,123,186,0.661290322580645,88,176,0.5,TRUE,"High_vs_Control",,,-0.645370186361119,0.493596160782022,"ok","ok",-0.147058823529412,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",8,"Not significant"
"Q9UNS2","COPS3","COP9 signalosome complex subunit 3","CSN3_HUMAN",0.845221260038633,0.0058910162002945,"47873.13",99,153,0.647058823529412,120,186,0.645161290322581,88,176,0.5,TRUE,"High_vs_Control",,,-0.612246250981363,0.493596160782022,"ok","ok",-0.147058823529412,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",9,"Not significant"
"Q13618","CUL3","Cullin-3","CUL3_HUMAN",0.722229467625149,0.0073810825587752,"88930.19",105,153,0.686274509803922,105,186,0.564516129032258,95,176,0.539772727272727,TRUE,"High_vs_Control",,,-0.652245867455815,0.493596160782022,"ok","ok",-0.146501782531194,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set",10,"Not significant"
